task_name,split_strategy,metric,p34_value,p37_model,p37_value,delta_positive_is_better
T1_maneuver_intensity_class,leave_one_view_out,macro_f1,0.187488997174914,p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,0.2046136279570929,0.017124630782178907
T1_maneuver_intensity_class,leave_one_view_out,balanced_accuracy,0.3447293447293447,p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,0.3532763532763532,0.008547008547008517
T1_maneuver_intensity_class,leave_one_sortie_out,macro_f1,0.2160654929206758,p37_t1_focal_gamma1_gate0p65_ls0p05,0.220099057606037,0.004033564685361202
T1_maneuver_intensity_class,leave_one_sortie_out,balanced_accuracy,0.3418803418803418,p37_t1_focal_gamma1_gate0p65_ls0p05,0.3376068376068376,-0.004273504273504203
