model_name,epoch,train_loss,p37_focal_gamma,p37_label_smoothing,p37_target_vehicle_contribution,p37_gate_mean
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,1,0.5352437496185303,2.0,0.1,0.85,0.8675570487976074
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,2,0.4955601990222931,2.0,0.1,0.85,0.8225295543670654
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,3,0.4867761135101318,2.0,0.1,0.85,0.7756018042564392
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,4,0.4880410134792328,2.0,0.1,0.85,0.7550675868988037
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,5,0.487096756696701,2.0,0.1,0.85,0.7610853314399719
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,6,0.4843017160892486,2.0,0.1,0.85,0.7820418477058411
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,7,0.4814326167106628,2.0,0.1,0.85,0.8084353804588318
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,8,0.479466825723648,2.0,0.1,0.85,0.8311866521835327
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,9,0.4786131978034973,2.0,0.1,0.85,0.8500316739082336
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,10,0.4783850908279419,2.0,0.1,0.85,0.8631756901741028
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,11,0.4778033196926117,2.0,0.1,0.85,0.8707242608070374
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,12,0.4768297374248504,2.0,0.1,0.85,0.8761613368988037
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,13,0.47591432929039,2.0,0.1,0.85,0.8779033422470093
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,14,0.4752365350723266,2.0,0.1,0.85,0.8777449727058411
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,15,0.4747093319892883,2.0,0.1,0.85,0.8774282336235046
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,16,0.4743074178695678,2.0,0.1,0.85,0.8751583695411682
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,17,0.4739588499069214,2.0,0.1,0.85,0.8710409998893738
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,18,0.4735776782035827,2.0,0.1,0.85,0.8686127662658691
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,19,0.4731462895870209,2.0,0.1,0.85,0.8625950217247009
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,20,0.4727094769477844,2.0,0.1,0.85,0.8581609129905701
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,1,0.5130073428153992,2.0,0.1,0.85,0.7869510054588318
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,2,0.485632061958313,2.0,0.1,0.85,0.7316300868988037
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,3,0.484396755695343,2.0,0.1,0.85,0.7064505815505981
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,4,0.4858807921409607,2.0,0.1,0.85,0.7261402010917664
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,5,0.483568787574768,2.0,0.1,0.85,0.7603462934494019
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,6,0.47945237159729,2.0,0.1,0.85,0.7941828966140747
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,7,0.4761232733726501,2.0,0.1,0.85,0.8187816739082336
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,8,0.4750039875507355,2.0,0.1,0.85,0.8338788151741028
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,9,0.4756533801555633,2.0,0.1,0.85,0.8433277010917664
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,10,0.4758980572223663,2.0,0.1,0.85,0.8509290814399719
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,11,0.4749383330345154,2.0,0.1,0.85,0.8565772771835327
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,12,0.4733825027942657,2.0,0.1,0.85,0.8604307770729065
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,13,0.4724149107933044,2.0,0.1,0.85,0.8680320978164673
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,14,0.4720211923122406,2.0,0.1,0.85,0.8717799782752991
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,15,0.472232848405838,2.0,0.1,0.85,0.8754222989082336
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,16,0.4724656343460083,2.0,0.1,0.85,0.8755279183387756
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,17,0.4725114405155182,2.0,0.1,0.85,0.8736803531646729
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,18,0.4722751975059509,2.0,0.1,0.85,0.8699852228164673
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,19,0.4718596339225769,2.0,0.1,0.85,0.8681904673576355
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,20,0.4715156853199005,2.0,0.1,0.85,0.8663957118988037
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,1,0.5541617274284363,2.0,0.1,0.85,0.8478146195411682
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,2,0.5018802285194397,2.0,0.1,0.85,0.7991976737976074
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,3,0.4858171939849853,2.0,0.1,0.85,0.7557538151741028
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,4,0.4869336187839508,2.0,0.1,0.85,0.7199641466140747
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,5,0.488102525472641,2.0,0.1,0.85,0.708984375
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,6,0.4852943420410156,2.0,0.1,0.85,0.7190139293670654
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,7,0.48122638463974,2.0,0.1,0.85,0.740287184715271
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,8,0.4781868457794189,2.0,0.1,0.85,0.7635135054588318
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,9,0.4766348004341125,2.0,0.1,0.85,0.7883762717247009
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,10,0.4763343334197998,2.0,0.1,0.85,0.8093327879905701
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,11,0.4761340022087097,2.0,0.1,0.85,0.8247466683387756
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,12,0.4757772982120514,2.0,0.1,0.85,0.839896559715271
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,13,0.4749158024787903,2.0,0.1,0.85,0.8476034998893738
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,14,0.4739411473274231,2.0,0.1,0.85,0.8533045053482056
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,15,0.473044604063034,2.0,0.1,0.85,0.8572107553482056
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,16,0.4723427593708038,2.0,0.1,0.85,0.8610114455223083
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,17,0.4720284938812256,2.0,0.1,0.85,0.8629645705223083
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,18,0.4718568027019501,2.0,0.1,0.85,0.8647593259811401
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,19,0.4716427624225616,2.0,0.1,0.85,0.8649704456329346
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,20,0.4714549779891968,2.0,0.1,0.85,0.8649176955223083
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,1,0.5046642422676086,2.0,0.1,0.85,0.8679793477058411
p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,2,0.4846730530261993,2.0,0.1,0.85,0.834037184715271
