dataset,task,consumer,seed,fold,role,metric,fusion_method,best_single_value,fusion_value,fusion_gain,direction_normalized,status
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,balanced_accuracy,chronaris,0.5278442028985507,0.43163043478260876,-0.09621376811594196,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,brier_score,naive_time_sync,0.6417964894445197,0.7091029051968327,-0.067306415752313,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,brier_score,mult,0.6417964894445197,0.7720030433568367,-0.13020655391231695,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,brier_score,contiformer,0.6417964894445197,0.6356961863337283,0.006100303110791461,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,brier_score,chronaris,0.6417964894445197,0.6879107255958482,-0.04611423615132848,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,ece_10_bins,naive_time_sync,0.1497342545493096,0.2155988607733653,-0.06586460622405568,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,ece_10_bins,mult,0.1497342545493096,0.33315734166566835,-0.18342308711635874,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,ece_10_bins,contiformer,0.1497342545493096,0.2388756358161912,-0.08914138126688159,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,ece_10_bins,chronaris,0.1497342545493096,0.32134803243994753,-0.17161377789063792,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,macro_auprc,naive_time_sync,0.5236804206996014,0.4393083852894842,-0.08437203541011723,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,macro_auprc,mult,0.5236804206996014,0.4699028823901046,-0.05377753830949683,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,macro_auprc,contiformer,0.5236804206996014,0.5864798250065669,0.06279940430696551,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,macro_auprc,chronaris,0.5236804206996014,0.603051771093346,0.07937135039374454,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,macro_f1,naive_time_sync,0.5038862055564808,0.39955395162663937,-0.10433225392984141,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,macro_f1,mult,0.5038862055564808,0.3235746208891989,-0.18031158466728187,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,macro_f1,contiformer,0.5038862055564808,0.5027922659501607,-0.0010939396063200935,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,macro_f1,chronaris,0.5038862055564808,0.410065422413549,-0.0938207831429318,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,balanced_accuracy,naive_time_sync,0.5278442028985507,0.4080132850241546,-0.11983091787439609,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,balanced_accuracy,mult,0.5278442028985507,0.37713164251207726,-0.15071256038647346,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,balanced_accuracy,contiformer,0.5278442028985507,0.5215579710144927,-0.006286231884057969,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,balanced_accuracy,chronaris,0.5278442028985507,0.43163043478260876,-0.09621376811594196,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,brier_score,naive_time_sync,0.6417964894445197,0.7091706841647875,-0.06737419472026773,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,brier_score,mult,0.6417964894445197,0.7720966755686604,-0.13030018612414063,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,brier_score,contiformer,0.6417964894445197,0.6355894929971451,0.0062069964473746575,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,brier_score,chronaris,0.6417964894445197,0.6878926542904867,-0.046096164845967014,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,ece_10_bins,naive_time_sync,0.141351938931177,0.21590462143384428,-0.07455268250266728,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,ece_10_bins,mult,0.141351938931177,0.3332635735369125,-0.1919116346057355,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,ece_10_bins,contiformer,0.141351938931177,0.24402534756851177,-0.10267340863733476,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,ece_10_bins,chronaris,0.141351938931177,0.32134809357439464,-0.17999615464321764,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,macro_auprc,naive_time_sync,0.5236804206996014,0.44007264744140934,-0.08360777325819208,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,macro_auprc,mult,0.5236804206996014,0.4699809984639658,-0.05369942223563562,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,macro_auprc,contiformer,0.5236804206996014,0.5865140581834056,0.06283363748380422,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,macro_auprc,chronaris,0.5236804206996014,0.6030196872182263,0.07933926651862488,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,macro_f1,naive_time_sync,0.5038862055564808,0.3874971124971125,-0.11638909305936829,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,macro_f1,mult,0.5038862055564808,0.3235746208891989,-0.18031158466728187,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,macro_f1,contiformer,0.5038862055564808,0.5027922659501607,-0.0010939396063200935,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,macro_f1,chronaris,0.5038862055564808,0.410065422413549,-0.0938207831429318,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+250ppm,held_out,balanced_accuracy,naive_time_sync,0.5278442028985507,0.4056763285024155,-0.12216787439613525,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+250ppm,held_out,balanced_accuracy,mult,0.5278442028985507,0.37713164251207726,-0.15071256038647346,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+250ppm,held_out,balanced_accuracy,contiformer,0.5278442028985507,0.514891304347826,-0.012952898550724679,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+250ppm,held_out,balanced_accuracy,chronaris,0.5278442028985507,0.43829710144927536,-0.08954710144927536,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+250ppm,held_out,brier_score,naive_time_sync,0.6417964894445197,0.7126768785743001,-0.07088038912978034,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+250ppm,held_out,brier_score,mult,0.6417964894445197,0.772379841407281,-0.13058335196276127,higher_is_better,available
