dataset_id,dataset_label,input_feature_count,parameter_count,output_dim,query_point_count,forward_elapsed_s,process_peak_rss_mb,ode_method,sequence_source
simulation,仿真,19,123222,64,96,0.2607080019079149,810.7578125,euler,task_head_free_continuous_fusion
dingxin,鼎新,967,306186,64,96,1.2093619899824262,826.23046875,euler,task_head_free_continuous_fusion
