task_name,model_name,split_strategy,metric,value_mean,value_std,seed_count,completed_fold_count,sample_count,higher_is_better,source_stage,p35_status
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_sortie_out,nrmse,2.050324618816376,0.0018082791812578,3,6,324,False,P34_reference,reference_only
T3_paired_pilot_window_retrieval,chronaris_v2_task_heads,leave_one_view_out,top1,0.0315315315315315,0.0063703313620409,3,6,222,True,P34_reference,reference_only
T3_paired_pilot_window_retrieval,chronaris_v2_task_heads,leave_one_view_out,top3,0.0855855855855856,0.0063703313620409,3,6,222,True,P34_reference,reference_only
T3_paired_pilot_window_retrieval,chronaris_v2_task_heads,leave_one_view_out,top5,0.1396396396396396,0.0063703313620409,3,6,222,True,P34_reference,reference_only
T3_paired_pilot_window_retrieval,chronaris_v2_task_heads,leave_one_view_out,mrr,0.1179391455671304,0.0031026649470111,3,6,222,True,P34_reference,reference_only
T3_paired_pilot_window_retrieval,v2_no_vehicle_aux_head,leave_one_view_out,top1,0.0315315315315315,0.0063703313620409,3,6,222,True,P34_reference,reference_only
T3_paired_pilot_window_retrieval,v2_no_vehicle_aux_head,leave_one_view_out,top3,0.0855855855855856,0.0063703313620409,3,6,222,True,P34_reference,reference_only
T3_paired_pilot_window_retrieval,v2_no_vehicle_aux_head,leave_one_view_out,top5,0.1396396396396396,0.0063703313620409,3,6,222,True,P34_reference,reference_only
T3_paired_pilot_window_retrieval,v2_no_vehicle_aux_head,leave_one_view_out,mrr,0.1179391455671304,0.0031026649470111,3,6,222,True,P34_reference,reference_only
T3_paired_pilot_window_retrieval,v2_no_residual_t2_head,leave_one_view_out,top1,0.0315315315315315,0.0063703313620409,3,6,222,True,P34_reference,reference_only
T3_paired_pilot_window_retrieval,v2_no_residual_t2_head,leave_one_view_out,top3,0.0855855855855856,0.0063703313620409,3,6,222,True,P34_reference,reference_only
T3_paired_pilot_window_retrieval,v2_no_residual_t2_head,leave_one_view_out,top5,0.1396396396396396,0.0063703313620409,3,6,222,True,P34_reference,reference_only
T3_paired_pilot_window_retrieval,v2_no_residual_t2_head,leave_one_view_out,mrr,0.1179391455671304,0.0031026649470111,3,6,222,True,P34_reference,reference_only
T3_paired_pilot_window_retrieval,v2_no_contrastive_t3_loss,leave_one_view_out,top1,0.0315315315315315,0.0063703313620409,3,6,222,True,P34_reference,reference_only
T3_paired_pilot_window_retrieval,v2_no_contrastive_t3_loss,leave_one_view_out,top3,0.0855855855855856,0.0063703313620409,3,6,222,True,P34_reference,reference_only
T3_paired_pilot_window_retrieval,v2_no_contrastive_t3_loss,leave_one_view_out,top5,0.1396396396396396,0.0063703313620409,3,6,222,True,P34_reference,reference_only
T3_paired_pilot_window_retrieval,v2_no_contrastive_t3_loss,leave_one_view_out,mrr,0.1179391455671304,0.0031026649470111,3,6,222,True,P34_reference,reference_only
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,macro_f1,0.1882095817050224,0.0168419125732192,3,9,333,True,P35_v3_confirm,v3_confirm
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,balanced_accuracy,0.3447293447293447,0.0080581969365988,3,9,333,True,P35_v3_confirm,v3_confirm
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_sortie_out,macro_f1,0.2438753774492697,0.015477858235199,3,6,333,True,P35_v3_confirm,v3_confirm
T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_sortie_out,balanced_accuracy,0.3482905982905982,0.0079949944161836,3,6,333,True,P35_v3_confirm,v3_confirm
T1_maneuver_intensity_class,v3_no_role_gate,leave_one_view_out,macro_f1,0.1886035927373313,0.0162848800431259,3,9,333,True,P35_v3_confirm,v3_confirm
T1_maneuver_intensity_class,v3_no_role_gate,leave_one_view_out,balanced_accuracy,0.3447293447293447,0.0080581969365988,3,9,333,True,P35_v3_confirm,v3_confirm
T1_maneuver_intensity_class,v3_no_role_gate,leave_one_sortie_out,macro_f1,0.2438753774492697,0.015477858235199,3,6,333,True,P35_v3_confirm,v3_confirm
T1_maneuver_intensity_class,v3_no_role_gate,leave_one_sortie_out,balanced_accuracy,0.3482905982905982,0.0079949944161836,3,6,333,True,P35_v3_confirm,v3_confirm
T1_maneuver_intensity_class,v3_fixed_causal_lag,leave_one_view_out,macro_f1,0.1886035927373313,0.0162848800431259,3,9,333,True,P35_v3_confirm,v3_confirm
T1_maneuver_intensity_class,v3_fixed_causal_lag,leave_one_view_out,balanced_accuracy,0.3447293447293447,0.0080581969365988,3,9,333,True,P35_v3_confirm,v3_confirm
T1_maneuver_intensity_class,v3_fixed_causal_lag,leave_one_sortie_out,macro_f1,0.2438753774492697,0.015477858235199,3,6,333,True,P35_v3_confirm,v3_confirm
T1_maneuver_intensity_class,v3_fixed_causal_lag,leave_one_sortie_out,balanced_accuracy,0.3482905982905982,0.0079949944161836,3,6,333,True,P35_v3_confirm,v3_confirm
T2_next_window_physiology_response,chronaris_v3_stream_role_fusion,leave_one_view_out,rmse,342.69094693916577,0.3253757988261914,3,9,324,False,P35_v3_confirm,v3_confirm
T2_next_window_physiology_response,chronaris_v3_stream_role_fusion,leave_one_view_out,mae,271.32993570963544,0.3582566284195354,3,9,324,False,P35_v3_confirm,v3_confirm
T2_next_window_physiology_response,chronaris_v3_stream_role_fusion,leave_one_view_out,nrmse,2.226762639151679,0.0035408806001029,3,9,324,False,P35_v3_confirm,v3_confirm
T2_next_window_physiology_response,chronaris_v3_stream_role_fusion,leave_one_sortie_out,rmse,412.69021997100623,0.2021128329254742,3,6,324,False,P35_v3_confirm,v3_confirm
T2_next_window_physiology_response,chronaris_v3_stream_role_fusion,leave_one_sortie_out,mae,313.6324971516927,0.2856928364301556,3,6,324,False,P35_v3_confirm,v3_confirm
T2_next_window_physiology_response,chronaris_v3_stream_role_fusion,leave_one_sortie_out,nrmse,2.0415525436401367,0.0023336624757386,3,6,324,False,P35_v3_confirm,v3_confirm
T2_next_window_physiology_response,v3_no_role_gate,leave_one_view_out,rmse,342.69094693916577,0.3253757988261914,3,9,324,False,P35_v3_confirm,v3_confirm
T2_next_window_physiology_response,v3_no_role_gate,leave_one_view_out,mae,271.32993570963544,0.3582566284195354,3,9,324,False,P35_v3_confirm,v3_confirm
T2_next_window_physiology_response,v3_no_role_gate,leave_one_view_out,nrmse,2.226762639151679,0.0035408806001029,3,9,324,False,P35_v3_confirm,v3_confirm
T2_next_window_physiology_response,v3_no_role_gate,leave_one_sortie_out,rmse,412.69021997100623,0.2021128329254742,3,6,324,False,P35_v3_confirm,v3_confirm
T2_next_window_physiology_response,v3_no_role_gate,leave_one_sortie_out,mae,313.6324971516927,0.2856928364301556,3,6,324,False,P35_v3_confirm,v3_confirm
T2_next_window_physiology_response,v3_no_role_gate,leave_one_sortie_out,nrmse,2.0415525436401367,0.0023336624757386,3,6,324,False,P35_v3_confirm,v3_confirm
T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_view_out,rmse,342.69094693916577,0.3253757988261914,3,9,324,False,P35_v3_confirm,v3_confirm
T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_view_out,mae,271.32993570963544,0.3582566284195354,3,9,324,False,P35_v3_confirm,v3_confirm
T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_view_out,nrmse,2.226762639151679,0.0035408806001029,3,9,324,False,P35_v3_confirm,v3_confirm
T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_sortie_out,rmse,412.69021997100623,0.2021128329254742,3,6,324,False,P35_v3_confirm,v3_confirm
T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_sortie_out,mae,313.6324971516927,0.2856928364301556,3,6,324,False,P35_v3_confirm,v3_confirm
T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_sortie_out,nrmse,2.0415525436401367,0.0023336624757386,3,6,324,False,P35_v3_confirm,v3_confirm
T3_paired_pilot_window_retrieval,chronaris_v3_stream_role_fusion,leave_one_view_out,top1,0.0315315315315315,0.0063703313620409,3,6,222,True,P35_v3_confirm,v3_confirm
T3_paired_pilot_window_retrieval,chronaris_v3_stream_role_fusion,leave_one_view_out,top3,0.0900900900900901,0.0063703313620409,3,6,222,True,P35_v3_confirm,v3_confirm
T3_paired_pilot_window_retrieval,chronaris_v3_stream_role_fusion,leave_one_view_out,top5,0.1441441441441441,0.0063703313620409,3,6,222,True,P35_v3_confirm,v3_confirm
T3_paired_pilot_window_retrieval,chronaris_v3_stream_role_fusion,leave_one_view_out,mrr,0.1200662726942576,0.0053642753804732,3,6,222,True,P35_v3_confirm,v3_confirm
T3_paired_pilot_window_retrieval,v3_no_role_gate,leave_one_view_out,top1,0.0315315315315315,0.0063703313620409,3,6,222,True,P35_v3_confirm,v3_confirm
T3_paired_pilot_window_retrieval,v3_no_role_gate,leave_one_view_out,top3,0.0900900900900901,0.0063703313620409,3,6,222,True,P35_v3_confirm,v3_confirm
T3_paired_pilot_window_retrieval,v3_no_role_gate,leave_one_view_out,top5,0.1441441441441441,0.0063703313620409,3,6,222,True,P35_v3_confirm,v3_confirm
T3_paired_pilot_window_retrieval,v3_no_role_gate,leave_one_view_out,mrr,0.1200662726942576,0.0053642753804732,3,6,222,True,P35_v3_confirm,v3_confirm
T3_paired_pilot_window_retrieval,v3_fixed_causal_lag,leave_one_view_out,top1,0.0315315315315315,0.0063703313620409,3,6,222,True,P35_v3_confirm,v3_confirm
T3_paired_pilot_window_retrieval,v3_fixed_causal_lag,leave_one_view_out,top3,0.0900900900900901,0.0063703313620409,3,6,222,True,P35_v3_confirm,v3_confirm
T3_paired_pilot_window_retrieval,v3_fixed_causal_lag,leave_one_view_out,top5,0.1441441441441441,0.0063703313620409,3,6,222,True,P35_v3_confirm,v3_confirm
T3_paired_pilot_window_retrieval,v3_fixed_causal_lag,leave_one_view_out,mrr,0.1200662726942576,0.0053642753804732,3,6,222,True,P35_v3_confirm,v3_confirm
