dataset_id,variant_id,fused_dim,second_stream_role,second_stream_is_real_vehicle,evidence_role,fusion_route,lag_policy,causal_policy,lag_gate_mean,context_gate_mean,vehicle_gate_mean,causal_gate_mean,source_stage,status,task_name,model_name,split_strategy,seed,fold_index,test_group,sample_count,macro_f1,balanced_accuracy,rmse,mae,nrmse,top1,top3,top5,mrr,fold_skipped_reason,stage,track,evaluation_group,split_group
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_sortie_out,17.0,2.0,20251005_四01_ACT-4_云_J20_22#01,37.0,0.2591016548463357,0.3846153846153846,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_sortie_out,29.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01,74.0,0.2687136785497441,0.3333333333333333,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_sortie_out,29.0,2.0,20251005_四01_ACT-4_云_J20_22#01,37.0,0.2142857142857142,0.358974358974359,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,v3_no_role_gate,leave_one_view_out,42.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,37.0,0.1702127659574468,0.3333333333333333,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,v3_no_role_gate,leave_one_view_out,42.0,2.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,37.0,0.1632653061224489,0.3333333333333333,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,v3_no_role_gate,leave_one_view_out,42.0,3.0,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,37.0,0.1632653061224489,0.3333333333333333,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,v3_no_role_gate,leave_one_view_out,17.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,37.0,0.2142857142857142,0.358974358974359,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,v3_no_role_gate,leave_one_view_out,17.0,2.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,37.0,0.1733333333333333,0.3333333333333333,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,v3_no_role_gate,leave_one_view_out,17.0,3.0,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,37.0,0.2142857142857142,0.358974358974359,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,v3_no_role_gate,leave_one_view_out,29.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,37.0,0.1702127659574468,0.3333333333333333,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,v3_no_role_gate,leave_one_view_out,29.0,2.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,37.0,0.2142857142857142,0.358974358974359,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,v3_no_role_gate,leave_one_view_out,29.0,3.0,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,37.0,0.2142857142857142,0.358974358974359,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,v3_no_role_gate,leave_one_sortie_out,42.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01,74.0,0.2891722323416312,0.3461538461538461,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,v3_no_role_gate,leave_one_sortie_out,42.0,2.0,20251005_四01_ACT-4_云_J20_22#01,37.0,0.1632653061224489,0.3333333333333333,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,v3_no_role_gate,leave_one_sortie_out,17.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01,74.0,0.2687136785497441,0.3333333333333333,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,v3_no_role_gate,leave_one_sortie_out,17.0,2.0,20251005_四01_ACT-4_云_J20_22#01,37.0,0.2591016548463357,0.3846153846153846,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,v3_no_role_gate,leave_one_sortie_out,29.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01,74.0,0.2687136785497441,0.3333333333333333,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,v3_no_role_gate,leave_one_sortie_out,29.0,2.0,20251005_四01_ACT-4_云_J20_22#01,37.0,0.2142857142857142,0.358974358974359,,,,,,,,,,,,
