split_id,outer_pool_id,main_selection,seed,method,candidate_id,status,best_epoch,completed_epochs,stopped_early,best_public_selection_loss,training_elapsed_s,checkpoint_path,checkpoint_sha256,task_targets_opened,outer_test_opened
leave_one_view_out__fold02__candidate_328,leave_one_view_out__fold02,True,17,chronaris,A,resumed,28,36,True,0.5081358924508095,0.10559660599392373,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold02__candidate_328/chronaris/best.pt,9c0f62fb422bdfe22c10f5e470e218fd04917a2d2a225621dc82de032e98cb15,False,False
leave_one_view_out__fold02__candidate_328,leave_one_view_out__fold02,True,17,naive_time_sync,train_only_pca,resumed,0,0,False,,0.0,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold02__candidate_328/naive_time_sync/best.pt,1163212143d0b573b7ba30fdf6f853539cc29931d75cf0b027718ec6f96c5658,False,False
leave_one_view_out__fold02__candidate_329,leave_one_view_out__fold02,True,17,physiology_only,A,resumed,50,50,False,0.5740235298871994,0.07365599999320693,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold02__candidate_329/physiology_only/A/best.pt,9e0ff5d0473c8630b0c00e0547103b297fcab8f6992bfcfa03cb9d8881b80128,False,False
leave_one_view_out__fold02__candidate_329,leave_one_view_out__fold02,True,17,vehicle_only,A,resumed,50,50,False,0.5419113337993622,0.07543844501196872,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold02__candidate_329/vehicle_only/A/best.pt,988361e70fc7bfc4911068da8a7597104a849f10bf47f9aab333cbacfbc9a7e2,False,False
leave_one_view_out__fold02__candidate_329,leave_one_view_out__fold02,True,17,mult,A,resumed,28,36,True,0.4509948417544365,0.15590037500078324,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold02__candidate_329/mult/A/best.pt,27cb85e9c77eba804e0c5e249373794a53868b80897886dff34d02914772b18e,False,False
leave_one_view_out__fold02__candidate_329,leave_one_view_out__fold02,True,17,contiformer,A,resumed,50,50,False,0.47074583172798157,0.07520019200455863,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold02__candidate_329/contiformer/A/best.pt,e3e037bab43de312cd77fb237e70cc0345256486bc93702e7159594faa930dc1,False,False
leave_one_view_out__fold02__candidate_329,leave_one_view_out__fold02,True,17,chronaris,A,resumed,49,50,False,0.47711683064699173,0.1096596809948096,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold02__candidate_329/chronaris/best.pt,7d417c861fec7ea6f8a7f8c302e00c265fbcb74c1904fc38aca9165399f59a56,False,False
leave_one_view_out__fold02__candidate_329,leave_one_view_out__fold02,True,17,naive_time_sync,train_only_pca,resumed,0,0,False,,0.0,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold02__candidate_329/naive_time_sync/best.pt,f19b5d3bbb6c057a693f4daba38cc8ae18163de0664eee49e936c3b7d1281397,False,False
leave_one_view_out__fold01__candidate_340,leave_one_view_out__fold01,True,17,physiology_only,A,resumed,50,50,False,0.6506269872188568,0.07116256500012241,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold01__candidate_340/physiology_only/A/best.pt,36a1f7e5c5cca7aa316f197bdd549b71e298e7624f129aca5dfed055d7f54b84,False,False
leave_one_view_out__fold01__candidate_340,leave_one_view_out__fold01,True,17,vehicle_only,A,resumed,50,50,False,0.548651710152626,0.07330804799858015,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold01__candidate_340/vehicle_only/A/best.pt,6c2c9e0f7568a4815ce7bd90fa133558632814c8ab5e12268f0753ac43009d99,False,False
leave_one_view_out__fold01__candidate_340,leave_one_view_out__fold01,True,17,mult,A,resumed,47,50,False,0.523703970015049,0.15577985600975808,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold01__candidate_340/mult/A/best.pt,50a6b6938ae3ef1b10c6ffe5bbe64c3bc68da835a198de599d3085d40b348c01,False,False
