split_id,outer_pool_id,split_kind,main_selection,method,task,metric,value,representation_variant,time_baseline_value,standardized_gain,status,fit_role,evaluation_role,outer_test_opened
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,vehicle_only,high_residual_response,normalized_ap,0.6666666666666666,train_phase_residualized_pooled_64d,0.5555555555555557,0.2499999999999997,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,vehicle_only,high_residual_response,normalized_ap,0.5238095238095237,raw_pooled_64d_diagnostic,0.5555555555555557,-0.07142857142857195,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,vehicle_only,high_residual_response,auprc,0.75,train_phase_residualized_pooled_64d,0.5555555555555557,0.2499999999999997,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,vehicle_only,high_residual_response,prevalence,0.25,train_phase_residualized_pooled_64d,0.5555555555555557,0.2499999999999997,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,naive_time_sync,future_maneuver_score,spearman,-0.5874125874125874,train_phase_residualized_pooled_64d,0.7622377622377624,-5.676470588235299,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,naive_time_sync,future_maneuver_score,spearman,-0.5734265734265735,raw_pooled_64d_diagnostic,0.7622377622377624,-5.617647058823534,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,naive_time_sync,future_maneuver_trend,macro_f1,0.4666666666666666,train_phase_residualized_pooled_64d,0.7388888888888889,-1.0425531914893622,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,naive_time_sync,future_maneuver_trend,macro_f1,0.4666666666666666,raw_pooled_64d_diagnostic,0.7388888888888889,-1.0425531914893622,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,naive_time_sync,physiology_residual,rmse,1.1509520928844792,train_phase_residualized_pooled_64d,0.2825606216030745,-3.073292613651144,completed,inner_train,inner_validation,False
leave_one_view_out__fold01__candidate_339,leave_one_view_out__fold01,main_selection,True,naive_time_sync,physiology_residual,rmse,0.6824958452764853,raw_pooled_64d_diagnostic,0.2825606216030745,-1.4153961773032113,completed,inner_train,inner_validation,False
