task,method,metric,mean,median,worst,positive_split_count,median_standardized_gain_over_time,completed_split_count,mean_skill,median_rmse_ratio,positive_skill_split_count,mean_normalized_ap,median_normalized_ap,positive_normalized_ap_split_count
future_maneuver_score,physiology_only,spearman,-0.5743006993006994,-0.5384615384615385,-0.7412587412587414,0,-2.6315987933634997,6,,,,,,
future_maneuver_score,vehicle_only,spearman,0.46590909090909094,0.44055944055944063,0.3076923076923077,2,-0.08742619431025234,6,,,,,,
future_maneuver_score,naive_time_sync,spearman,-0.34702797202797203,-0.3356643356643357,-0.7342657342657343,0,-2.497195512820513,6,,,,,,
future_maneuver_score,mult,spearman,-0.5375874125874127,-0.6433566433566436,-0.7832167832167832,0,-2.92345399698341,6,,,,,,
future_maneuver_score,contiformer,spearman,0.5498251748251749,0.5979020979020979,0.31468531468531474,3,-0.14290281329923307,6,,,,,,
future_maneuver_score,chronaris,spearman,-0.6625874125874126,-0.6993006993006994,-0.965034965034965,0,-3.047888386123681,6,,,,,,
future_maneuver_trend,physiology_only,macro_f1,0.08998015873015873,0.06666666666666667,0.0,0,-0.9171262699564585,6,,,,,,
future_maneuver_trend,vehicle_only,macro_f1,0.6597613035113035,0.8246632996632997,0.35353535353535354,4,0.4874538815927816,6,,,,,,
future_maneuver_trend,naive_time_sync,macro_f1,0.24357864357864356,0.25281385281385277,0.09523809523809523,0,-0.6537784434173504,6,,,,,,
future_maneuver_trend,mult,macro_f1,0.25060865060865056,0.3427609427609427,0.0,1,-0.3765082510202875,6,,,,,,
future_maneuver_trend,contiformer,macro_f1,0.47053710178710184,0.5696248196248196,0.20512820512820515,2,-0.16810344827586213,6,,,,,,
future_maneuver_trend,chronaris,macro_f1,0.28175990675990675,0.33535353535353535,0.05128205128205129,1,-0.6907242562252323,6,,,,,,
physiology_residual,physiology_only,rmse,1.814579704530237,1.5653606971653382,5.410275606196161,1,-2.1239912080663794,6,-19.165603926406046,3.4874505522972665,1.0,,,
physiology_residual,vehicle_only,rmse,0.6602764118671658,0.6061043608002129,0.875552760028461,3,-0.00558153602667154,6,-0.2528631618101157,1.1614403422349038,0.0,,,
physiology_residual,naive_time_sync,rmse,1.6378869797544082,1.2836441972230026,4.08568751919035,0,-1.5075637723863242,6,-11.476326930260452,2.7635611954524775,0.0,,,
physiology_residual,mult,rmse,1.3212383479995775,1.291694012849415,2.7185096344128765,1,-1.7609294597594316,6,-9.11008346664343,2.5021545386708337,1.0,,,
physiology_residual,contiformer,rmse,0.9431008978940096,0.91968166827685,1.770581708892257,2,-0.6666312881463046,6,-2.455665468762172,1.4568420956449213,0.0,,,
physiology_residual,chronaris,rmse,2.126780139638208,1.2480776777643172,9.262087187999736,1,-1.6758856278354268,6,-43.56143462216494,2.688752131014607,1.0,,,
high_residual_response,physiology_only,normalized_ap,0.06481481481481481,0.0,0.0,0,0.0,6,,,,0.06481481481481481,0.0,1.0
high_residual_response,vehicle_only,normalized_ap,0.08333333333333333,0.0,0.0,1,0.0,6,,,,0.08333333333333333,0.0,1.0
high_residual_response,naive_time_sync,normalized_ap,0.037037037037037035,0.0,0.0,0,0.0,6,,,,0.037037037037037035,0.0,1.0
high_residual_response,mult,normalized_ap,-0.007495590828924162,0.0,-0.059964726631393295,0,0.0,6,,,,-0.007495590828924162,0.0,0.0
high_residual_response,contiformer,normalized_ap,0.008333333333333331,0.0,0.0,0,0.0,6,,,,0.008333333333333331,0.0,1.0
high_residual_response,chronaris,normalized_ap,-0.007495590828924162,0.0,-0.059964726631393295,0,0.0,6,,,,-0.007495590828924162,0.0,0.0
