sample_id,reference_point_count,state_dim,fused_dim,mean_attention_entropy,mean_max_attention,mean_causal_option_count,top_event_offset_s,top_event_score,top_contribution_offset_s,top_contribution_score
20251005_四01_ACT-4_云_J20_22#01:0020,16,32,96,0.932071328163147,0.2248719483613968,8.5,4.333333492279053,1.0,0.3333333432674408,2.597949743270874
20251005_四01_ACT-4_云_J20_22#01:0021,16,32,96,0.932071328163147,0.2248719483613968,8.5,4.333333492279053,1.0,0.3333333432674408,2.597949743270874
20251005_四01_ACT-4_云_J20_22#01:0022,16,32,96,0.932071328163147,0.2248719483613968,8.5,4.333333492279053,1.0,0.3333333432674408,2.597949743270874
