task_name,split_strategy,metric,p37_t1_focal_gamma1_gate0p65_ls0p05,p37_t1_focal_gamma2_gate0p75_vehicle_skip_collapse0p05,p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10
T1_maneuver_intensity_class,leave_one_sortie_out,balanced_accuracy,0.3269230769230769,0.33974358974358976,0.33974358974358976
T1_maneuver_intensity_class,leave_one_sortie_out,macro_f1,0.2106649111257406,0.23617511520737328,0.23617511520737328
T1_maneuver_intensity_class,leave_one_view_out,balanced_accuracy,0.35042735042735035,0.3247863247863248,0.3333333333333333
T1_maneuver_intensity_class,leave_one_view_out,macro_f1,0.19856676476737267,0.16997732426303855,0.17333333333333334
