anchor_id,view_id,sortie_id,pilot_id,view_verdict,sample_id,window_index,start_offset_ms,end_offset_ms,rank_in_view,anchor_score,top_event_offset_s,top_event_score,top_contribution_offset_s,top_contribution_score,strongest_ablation_name,strongest_ablation_delta_top_event,strongest_ablation_delta_top_contribution,paired_abs_delta_mean_projection_cosine,paired_abs_delta_mean_top_contribution_score,anchor_rank
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033:20251002_单01_ACT-8_翼云_J16_12#01:0036,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,20251002_单01_ACT-8_翼云_J16_12#01,10033,WARN,20251002_单01_ACT-8_翼云_J16_12#01:0036,36,180000,180991,1,3.3174148805669073,0.0660666674375534,1.0,0.0660666674375534,2.4960389137268066,vehicle_delta_suppressed,-1.0,-2.428823173046112,0.17006755643201277,0.21747684478759766,1
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033:20251002_单01_ACT-8_翼云_J16_12#01:0029,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,20251002_单01_ACT-8_翼云_J16_12#01,10033,WARN,20251002_单01_ACT-8_翼云_J16_12#01:0029,29,145000,150000,2,3.240596891217542,0.3333333432674408,1.0,0.3333333432674408,2.4192209243774414,vehicle_delta_suppressed,-1.0,-2.428823173046112,0.17006755643201277,0.21747684478759766,2
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033:20251002_单01_ACT-8_翼云_J16_12#01:0030,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,20251002_单01_ACT-8_翼云_J16_12#01,10033,WARN,20251002_单01_ACT-8_翼云_J16_12#01:0030,30,150000,155000,3,3.240596891217542,0.3333333432674408,1.0,0.3333333432674408,2.4192209243774414,vehicle_delta_suppressed,-1.0,-2.428823173046112,0.17006755643201277,0.21747684478759766,3
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035:20251002_单01_ACT-8_翼云_J16_12#01:0029,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20251002_单01_ACT-8_翼云_J16_12#01,10035,PASS,20251002_单01_ACT-8_翼云_J16_12#01:0029,29,145000,150000,1,3.2348350294163946,0.3333333432674408,1.0,0.3333333432674408,2.663459062576294,vehicle_delta_suppressed,-1.0,-2.6463000178337097,0.17006755643201277,0.21747684478759766,4
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035:20251002_单01_ACT-8_翼云_J16_12#01:0030,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20251002_单01_ACT-8_翼云_J16_12#01,10035,PASS,20251002_单01_ACT-8_翼云_J16_12#01:0030,30,150000,155000,2,3.2348350294163946,0.3333333432674408,1.0,0.3333333432674408,2.663459062576294,vehicle_delta_suppressed,-1.0,-2.6463000178337097,0.17006755643201277,0.21747684478759766,5
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035:20251002_单01_ACT-8_翼云_J16_12#01:0031,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20251002_单01_ACT-8_翼云_J16_12#01,10035,PASS,20251002_单01_ACT-8_翼云_J16_12#01:0031,31,155000,160000,3,3.2348350294163946,0.3333333432674408,1.0,0.3333333432674408,2.663459062576294,vehicle_delta_suppressed,-1.0,-2.6463000178337097,0.17006755643201277,0.21747684478759766,6
20251005_四01_ACT-4_云_J20_22#01__pilot_10033:20251005_四01_ACT-4_云_J20_22#01:0029,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,20251005_四01_ACT-4_云_J20_22#01,10033,PASS,20251005_四01_ACT-4_云_J20_22#01:0029,29,145000,150000,1,2.700608968734741,0.6666666865348816,1.0,0.3333333432674408,2.200608968734741,vehicle_delta_suppressed,-1.0,-2.1242537200450897,0.0,0.0,7
20251005_四01_ACT-4_云_J20_22#01__pilot_10033:20251005_四01_ACT-4_云_J20_22#01:0030,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,20251005_四01_ACT-4_云_J20_22#01,10033,PASS,20251005_四01_ACT-4_云_J20_22#01:0030,30,150000,155000,2,2.700608968734741,0.6666666865348816,1.0,0.3333333432674408,2.200608968734741,vehicle_delta_suppressed,-1.0,-2.1242537200450897,0.0,0.0,8
20251005_四01_ACT-4_云_J20_22#01__pilot_10033:20251005_四01_ACT-4_云_J20_22#01:0031,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,20251005_四01_ACT-4_云_J20_22#01,10033,PASS,20251005_四01_ACT-4_云_J20_22#01:0031,31,155000,160000,3,2.700608968734741,0.6666666865348816,1.0,0.3333333432674408,2.200608968734741,vehicle_delta_suppressed,-1.0,-2.1242537200450897,0.0,0.0,9
