ablation_group,component,delta_vs_full,display_name_cn,evidence_layer,feature_family,leakage_safe,metric_definition,metric_direction,primary_metric_name,primary_metric_std,primary_metric_value,protocol,relative_delta_percent,seed_count,source_variant,split_strategy,task_name,task_type,valid_fold_count,variant_name
model_backbone,continuous_state_backbone,-0.10327122153209106,双流连续表示,private_proxy_leakage_safe,dual_projection,True,Macro-F1 and balanced accuracy; higher is better.,higher_is_better,macro_f1,0.0,0.2766045548654244,leakage_safe_v1,-59.57955088389869,5,f_full,leave_one_view_out,T1_maneuver_intensity_class,classification,15,continuous_dual_state
model_backbone,continuous_state_backbone,-364.03175625623663,双流连续表示,private_proxy_leakage_safe,dual_projection,True,RMSE/MAE/NRMSE with target_range normalization and persistence baseline; lower RMSE is better.,lower_is_better,rmse,6.355287432313019e-14,498.66241860168594,leakage_safe_v1,-42.19708059535572,5,f_full,leave_one_view_out,T2_next_window_physiology_response,regression,15,continuous_dual_state
model_backbone,continuous_state_backbone,0.0,双流连续表示,private_proxy_leakage_safe,dual_projection,True,Top-k and MRR over leakage-safe candidate vectors; higher is better.,higher_is_better,top1_accuracy,0.0,0.0,leakage_safe_v1,0.0,5,f_full,candidate_pool,T3_paired_pilot_window_retrieval,retrieval,5,continuous_dual_state
model_backbone,full_model,0.0,完整方案,private_proxy_leakage_safe,full_safe,True,Macro-F1 and balanced accuracy; higher is better.,higher_is_better,macro_f1,0.0,0.17333333333333334,leakage_safe_v1,0.0,5,chronaris_opt,leave_one_view_out,T1_maneuver_intensity_class,classification,15,full_model
model_backbone,full_model,0.0,完整方案,private_proxy_leakage_safe,full_safe,True,RMSE/MAE/NRMSE with target_range normalization and persistence baseline; lower RMSE is better.,lower_is_better,rmse,0.0,862.6941748579226,leakage_safe_v1,0.0,5,chronaris_opt,leave_one_view_out,T2_next_window_physiology_response,regression,15,full_model
model_backbone,full_model,0.0,完整方案,private_proxy_leakage_safe,full_safe,True,Top-k and MRR over leakage-safe candidate vectors; higher is better.,higher_is_better,top1_accuracy,0.0,0.0,leakage_safe_v1,0.0,5,chronaris_opt,candidate_pool,T3_paired_pilot_window_retrieval,retrieval,5,full_model
model_backbone,naive_time_sync,-0.10327122153209106,朴素时间同步,private_proxy_leakage_safe,dual_projection,True,Macro-F1 and balanced accuracy; higher is better.,higher_is_better,macro_f1,0.0,0.2766045548654244,leakage_safe_v1,-59.57955088389869,5,f_full,leave_one_view_out,T1_maneuver_intensity_class,classification,15,naive_time_sync
model_backbone,naive_time_sync,-364.03175625623663,朴素时间同步,private_proxy_leakage_safe,dual_projection,True,RMSE/MAE/NRMSE with target_range normalization and persistence baseline; lower RMSE is better.,lower_is_better,rmse,6.355287432313019e-14,498.66241860168594,leakage_safe_v1,-42.19708059535572,5,f_full,leave_one_view_out,T2_next_window_physiology_response,regression,15,naive_time_sync
model_backbone,naive_time_sync,0.0,朴素时间同步,private_proxy_leakage_safe,dual_projection,True,Top-k and MRR over leakage-safe candidate vectors; higher is better.,higher_is_better,top1_accuracy,0.0,0.0,leakage_safe_v1,0.0,5,f_full,candidate_pool,T3_paired_pilot_window_retrieval,retrieval,5,naive_time_sync
model_backbone,remove_causal_mask,0.0,移除因果掩码,private_proxy_leakage_safe,full_safe,True,Macro-F1 and balanced accuracy; higher is better.,higher_is_better,macro_f1,0.0,0.17333333333333334,leakage_safe_v1,0.0,5,chronaris_opt_no_causal_mask,leave_one_view_out,T1_maneuver_intensity_class,classification,15,remove_causal_mask
model_backbone,remove_causal_mask,0.1295370010084298,移除因果掩码,private_proxy_leakage_safe,full_safe,True,RMSE/MAE/NRMSE with target_range normalization and persistence baseline; lower RMSE is better.,lower_is_better,rmse,1.2710574864626038e-13,862.823711858931,leakage_safe_v1,0.015015402304039353,5,chronaris_opt_no_causal_mask,leave_one_view_out,T2_next_window_physiology_response,regression,15,remove_causal_mask
model_backbone,remove_causal_mask,0.0,移除因果掩码,private_proxy_leakage_safe,full_safe,True,Top-k and MRR over leakage-safe candidate vectors; higher is better.,higher_is_better,top1_accuracy,0.0,0.0,leakage_safe_v1,0.0,5,chronaris_opt_no_causal_mask,candidate_pool,T3_paired_pilot_window_retrieval,retrieval,5,remove_causal_mask
model_backbone,remove_physics_constraint,0.0033109619686800817,移除物理约束,private_proxy_leakage_safe,dual_projection,True,Macro-F1 and balanced accuracy; higher is better.,higher_is_better,macro_f1,0.0,0.17002237136465326,leakage_safe_v1,1.9101703665462009,5,e_baseline,leave_one_view_out,T1_maneuver_intensity_class,classification,15,remove_physics_constraint
model_backbone,remove_physics_constraint,2419.2862637297276,移除物理约束,private_proxy_leakage_safe,dual_projection,True,RMSE/MAE/NRMSE with target_range normalization and persistence baseline; lower RMSE is better.,lower_is_better,rmse,5.084229945850415e-13,3281.98043858765,leakage_safe_v1,280.43382397106836,5,e_baseline,leave_one_view_out,T2_next_window_physiology_response,regression,15,remove_physics_constraint
model_backbone,remove_physics_constraint,0.0,移除物理约束,private_proxy_leakage_safe,dual_projection,True,Top-k and MRR over leakage-safe candidate vectors; higher is better.,higher_is_better,top1_accuracy,0.0,0.0,leakage_safe_v1,0.0,5,e_baseline,candidate_pool,T3_paired_pilot_window_retrieval,retrieval,5,remove_physics_constraint
model_backbone,remove_semantic_event_fusion,0.0,移除语义事件融合,private_proxy_leakage_safe,fused_only,True,Macro-F1 and balanced accuracy; higher is better.,higher_is_better,macro_f1,0.0,0.17333333333333334,leakage_safe_v1,0.0,5,g_min,leave_one_view_out,T1_maneuver_intensity_class,classification,15,remove_semantic_event_fusion
