ablation_group,balanced_accuracy,candidate_count,component,confusion_matrix,display_name_cn,feature_family,leakage_safe,mae,metric_direction,model_mode,mrr,negative_similarity_mean,nrmse,nrmse_normalization,per_class_f1,per_class_precision,per_class_recall,persistence_improvement_rate,persistence_rmse,positive_similarity_mean,primary_metric_name,primary_metric_value,protocol,seed,skipped_fold_count,skipped_reason,source_variant,split_strategy,status,task_name,task_type,top1_accuracy,top3_accuracy,top5_accuracy,valid_fold_count,valid_query_count,variant_name
model_backbone,,,continuous_state_backbone,,双流连续表示,dual_projection,True,11333.535742618913,lower_is_better,learned,,,7.7133090535074365,target_range,,,,-88.37491445003883,201.4895651832178,,rmse,18008.112650825613,leakage_safe_v1,97,0,,f_full,leave_one_sortie_out,completed,T2_next_window_physiology_response,regression,,,,2,,continuous_dual_state
model_backbone,,8140,continuous_state_backbone,,双流连续表示,dual_projection,True,,higher_is_better,learned,0.011502220818883928,0.4521991846362023,,,,,,,,0.16309382806758624,top1_accuracy,0.0,leakage_safe_v1,17,37,,f_full,candidate_pool,completed,T3_paired_pilot_window_retrieval,retrieval,0.0,0.0,0.0,1,74,continuous_dual_state
model_backbone,,8140,continuous_state_backbone,,双流连续表示,dual_projection,True,,higher_is_better,learned,0.011502220818883928,0.4521991846362023,,,,,,,,0.16309382806758624,top1_accuracy,0.0,leakage_safe_v1,29,37,,f_full,candidate_pool,completed,T3_paired_pilot_window_retrieval,retrieval,0.0,0.0,0.0,1,74,continuous_dual_state
model_backbone,,8140,continuous_state_backbone,,双流连续表示,dual_projection,True,,higher_is_better,learned,0.011502220818883928,0.4521991846362023,,,,,,,,0.16309382806758624,top1_accuracy,0.0,leakage_safe_v1,43,37,,f_full,candidate_pool,completed,T3_paired_pilot_window_retrieval,retrieval,0.0,0.0,0.0,1,74,continuous_dual_state
model_backbone,,8140,continuous_state_backbone,,双流连续表示,dual_projection,True,,higher_is_better,learned,0.011502220818883928,0.4521991846362023,,,,,,,,0.16309382806758624,top1_accuracy,0.0,leakage_safe_v1,71,37,,f_full,candidate_pool,completed,T3_paired_pilot_window_retrieval,retrieval,0.0,0.0,0.0,1,74,continuous_dual_state
model_backbone,,8140,continuous_state_backbone,,双流连续表示,dual_projection,True,,higher_is_better,learned,0.011502220818883928,0.4521991846362023,,,,,,,,0.16309382806758624,top1_accuracy,0.0,leakage_safe_v1,97,37,,f_full,candidate_pool,completed,T3_paired_pilot_window_retrieval,retrieval,0.0,0.0,0.0,1,74,continuous_dual_state
model_backbone,0.3247863247863248,,remove_physics_constraint,"[[38, 1, 0], [36, 0, 0], [36, 0, 0]]",移除物理约束,dual_projection,True,,higher_is_better,learned,,,,,"{""low"": 0.5100671140939598, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.34545454545454546, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.9743589743589743, ""medium"": 0.0, ""high"": 0.0}",,,,macro_f1,0.17002237136465326,leakage_safe_v1,17,0,,e_baseline,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,,,,3,,remove_physics_constraint
model_backbone,0.3162393162393162,,remove_physics_constraint,"[[37, 0, 2], [36, 0, 0], [36, 0, 0]]",移除物理约束,dual_projection,True,,higher_is_better,learned,,,,,"{""low"": 0.5, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.3394495412844037, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.9487179487179487, ""medium"": 0.0, ""high"": 0.0}",,,,macro_f1,0.16666666666666666,leakage_safe_v1,17,0,,e_baseline,leave_one_sortie_out,completed,T1_maneuver_intensity_class,classification,,,,2,,remove_physics_constraint
model_backbone,0.3247863247863248,,remove_physics_constraint,"[[38, 1, 0], [36, 0, 0], [36, 0, 0]]",移除物理约束,dual_projection,True,,higher_is_better,learned,,,,,"{""low"": 0.5100671140939598, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.34545454545454546, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.9743589743589743, ""medium"": 0.0, ""high"": 0.0}",,,,macro_f1,0.17002237136465326,leakage_safe_v1,29,0,,e_baseline,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,,,,3,,remove_physics_constraint
model_backbone,0.3162393162393162,,remove_physics_constraint,"[[37, 0, 2], [36, 0, 0], [36, 0, 0]]",移除物理约束,dual_projection,True,,higher_is_better,learned,,,,,"{""low"": 0.5, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.3394495412844037, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.9487179487179487, ""medium"": 0.0, ""high"": 0.0}",,,,macro_f1,0.16666666666666666,leakage_safe_v1,29,0,,e_baseline,leave_one_sortie_out,completed,T1_maneuver_intensity_class,classification,,,,2,,remove_physics_constraint
