ablation_group,balanced_accuracy,component,confusion_matrix,display_name_cn,feature_family,leakage_safe,mae,metric_direction,model_mode,nrmse,nrmse_normalization,per_class_f1,per_class_precision,per_class_recall,persistence_improvement_rate,persistence_rmse,primary_metric_name,primary_metric_value,protocol,seed,skipped_fold_count,skipped_reason,source_variant,split_strategy,status,task_name,task_type,valid_fold_count,variant_name
model_backbone,0.3247863247863248,remove_physics_constraint,"[[38, 1, 0], [36, 0, 0], [36, 0, 0]]",移除物理约束,dual_projection,True,,higher_is_better,learned,,,"{""low"": 0.5100671140939598, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.34545454545454546, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.9743589743589743, ""medium"": 0.0, ""high"": 0.0}",,,macro_f1,0.17002237136465326,leakage_safe_v1,43,0,,e_baseline,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,remove_physics_constraint
model_backbone,0.3247863247863248,remove_physics_constraint,"[[38, 1, 0], [36, 0, 0], [36, 0, 0]]",移除物理约束,dual_projection,True,,higher_is_better,learned,,,"{""low"": 0.5100671140939598, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.34545454545454546, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.9743589743589743, ""medium"": 0.0, ""high"": 0.0}",,,macro_f1,0.17002237136465326,leakage_safe_v1,71,0,,e_baseline,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,remove_physics_constraint
model_backbone,0.3247863247863248,remove_physics_constraint,"[[38, 1, 0], [36, 0, 0], [36, 0, 0]]",移除物理约束,dual_projection,True,,higher_is_better,learned,,,"{""low"": 0.5100671140939598, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.34545454545454546, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.9743589743589743, ""medium"": 0.0, ""high"": 0.0}",,,macro_f1,0.17002237136465326,leakage_safe_v1,97,0,,e_baseline,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,remove_physics_constraint
model_backbone,,remove_physics_constraint,,移除物理约束,dual_projection,True,2009.9498526831612,lower_is_better,learned,1.4057513922333125,target_range,,,,-15.28858762786694,201.4895651832178,rmse,3281.9804385876505,leakage_safe_v1,17,0,,e_baseline,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,remove_physics_constraint
model_backbone,,remove_physics_constraint,,移除物理约束,dual_projection,True,2009.9498526831612,lower_is_better,learned,1.4057513922333125,target_range,,,,-15.28858762786694,201.4895651832178,rmse,3281.9804385876505,leakage_safe_v1,29,0,,e_baseline,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,remove_physics_constraint
model_backbone,,remove_physics_constraint,,移除物理约束,dual_projection,True,2009.9498526831612,lower_is_better,learned,1.4057513922333125,target_range,,,,-15.28858762786694,201.4895651832178,rmse,3281.9804385876505,leakage_safe_v1,43,0,,e_baseline,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,remove_physics_constraint
model_backbone,,remove_physics_constraint,,移除物理约束,dual_projection,True,2009.9498526831612,lower_is_better,learned,1.4057513922333125,target_range,,,,-15.28858762786694,201.4895651832178,rmse,3281.9804385876505,leakage_safe_v1,71,0,,e_baseline,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,remove_physics_constraint
model_backbone,,remove_physics_constraint,,移除物理约束,dual_projection,True,2009.9498526831612,lower_is_better,learned,1.4057513922333125,target_range,,,,-15.28858762786694,201.4895651832178,rmse,3281.9804385876505,leakage_safe_v1,97,0,,e_baseline,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,remove_physics_constraint
model_backbone,0.3333333333333333,remove_causal_mask,"[[39, 0, 0], [36, 0, 0], [36, 0, 0]]",移除因果掩码,full_safe,True,,higher_is_better,learned,,,"{""low"": 0.52, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.35135135135135137, ""medium"": 0.0, ""high"": 0.0}","{""low"": 1.0, ""medium"": 0.0, ""high"": 0.0}",,,macro_f1,0.17333333333333334,leakage_safe_v1,17,0,,chronaris_opt_no_causal_mask,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,remove_causal_mask
model_backbone,0.3333333333333333,remove_causal_mask,"[[39, 0, 0], [36, 0, 0], [36, 0, 0]]",移除因果掩码,full_safe,True,,higher_is_better,learned,,,"{""low"": 0.52, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.35135135135135137, ""medium"": 0.0, ""high"": 0.0}","{""low"": 1.0, ""medium"": 0.0, ""high"": 0.0}",,,macro_f1,0.17333333333333334,leakage_safe_v1,29,0,,chronaris_opt_no_causal_mask,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,remove_causal_mask
model_backbone,0.3333333333333333,remove_causal_mask,"[[39, 0, 0], [36, 0, 0], [36, 0, 0]]",移除因果掩码,full_safe,True,,higher_is_better,learned,,,"{""low"": 0.52, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.35135135135135137, ""medium"": 0.0, ""high"": 0.0}","{""low"": 1.0, ""medium"": 0.0, ""high"": 0.0}",,,macro_f1,0.17333333333333334,leakage_safe_v1,43,0,,chronaris_opt_no_causal_mask,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,remove_causal_mask
model_backbone,0.3333333333333333,remove_causal_mask,"[[39, 0, 0], [36, 0, 0], [36, 0, 0]]",移除因果掩码,full_safe,True,,higher_is_better,learned,,,"{""low"": 0.52, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.35135135135135137, ""medium"": 0.0, ""high"": 0.0}","{""low"": 1.0, ""medium"": 0.0, ""high"": 0.0}",,,macro_f1,0.17333333333333334,leakage_safe_v1,71,0,,chronaris_opt_no_causal_mask,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,remove_causal_mask
model_backbone,0.3333333333333333,remove_causal_mask,"[[39, 0, 0], [36, 0, 0], [36, 0, 0]]",移除因果掩码,full_safe,True,,higher_is_better,learned,,,"{""low"": 0.52, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.35135135135135137, ""medium"": 0.0, ""high"": 0.0}","{""low"": 1.0, ""medium"": 0.0, ""high"": 0.0}",,,macro_f1,0.17333333333333334,leakage_safe_v1,97,0,,chronaris_opt_no_causal_mask,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,remove_causal_mask
model_backbone,,remove_causal_mask,,移除因果掩码,full_safe,True,734.4641280202486,lower_is_better,learned,0.36956820946792907,target_range,,,,-3.2822252907953375,201.4895651832178,rmse,862.8237118589309,leakage_safe_v1,17,0,,chronaris_opt_no_causal_mask,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,remove_causal_mask
model_backbone,,remove_causal_mask,,移除因果掩码,full_safe,True,734.4641280202486,lower_is_better,learned,0.36956820946792907,target_range,,,,-3.2822252907953375,201.4895651832178,rmse,862.8237118589309,leakage_safe_v1,29,0,,chronaris_opt_no_causal_mask,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,remove_causal_mask
model_backbone,,remove_causal_mask,,移除因果掩码,full_safe,True,734.4641280202486,lower_is_better,learned,0.36956820946792907,target_range,,,,-3.2822252907953375,201.4895651832178,rmse,862.8237118589309,leakage_safe_v1,43,0,,chronaris_opt_no_causal_mask,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,remove_causal_mask
model_backbone,,remove_causal_mask,,移除因果掩码,full_safe,True,734.4641280202486,lower_is_better,learned,0.36956820946792907,target_range,,,,-3.2822252907953375,201.4895651832178,rmse,862.8237118589309,leakage_safe_v1,71,0,,chronaris_opt_no_causal_mask,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,remove_causal_mask
model_backbone,,remove_causal_mask,,移除因果掩码,full_safe,True,734.4641280202486,lower_is_better,learned,0.36956820946792907,target_range,,,,-3.2822252907953375,201.4895651832178,rmse,862.8237118589309,leakage_safe_v1,97,0,,chronaris_opt_no_causal_mask,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,remove_causal_mask
model_backbone,0.3333333333333333,remove_semantic_event_fusion,"[[39, 0, 0], [36, 0, 0], [36, 0, 0]]",移除语义事件融合,fused_only,True,,higher_is_better,learned,,,"{""low"": 0.52, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.35135135135135137, ""medium"": 0.0, ""high"": 0.0}","{""low"": 1.0, ""medium"": 0.0, ""high"": 0.0}",,,macro_f1,0.17333333333333334,leakage_safe_v1,17,0,,g_min,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,remove_semantic_event_fusion
model_backbone,0.3333333333333333,remove_semantic_event_fusion,"[[39, 0, 0], [36, 0, 0], [36, 0, 0]]",移除语义事件融合,fused_only,True,,higher_is_better,learned,,,"{""low"": 0.52, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.35135135135135137, ""medium"": 0.0, ""high"": 0.0}","{""low"": 1.0, ""medium"": 0.0, ""high"": 0.0}",,,macro_f1,0.17333333333333334,leakage_safe_v1,29,0,,g_min,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,remove_semantic_event_fusion
model_backbone,0.3333333333333333,remove_semantic_event_fusion,"[[39, 0, 0], [36, 0, 0], [36, 0, 0]]",移除语义事件融合,fused_only,True,,higher_is_better,learned,,,"{""low"": 0.52, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.35135135135135137, ""medium"": 0.0, ""high"": 0.0}","{""low"": 1.0, ""medium"": 0.0, ""high"": 0.0}",,,macro_f1,0.17333333333333334,leakage_safe_v1,43,0,,g_min,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,remove_semantic_event_fusion
