seed,method,scenario_id,task,target,consumer,metric,value,direction,available,trajectory_count,tolerance_s,smoke_only
17,naive_time_sync,clock_offset_+0.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,0.0,higher,True,48,0.5,False
17,naive_time_sync,clock_offset_+0.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False
17,naive_time_sync,clock_offset_+0.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,mae_s,6.663833599163215,lower,True,48,2.0,False
17,naive_time_sync,clock_offset_+0.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,7.601727936174521,lower,True,48,2.0,False
17,naive_time_sync,clock_offset_+0.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.125,higher,True,48,2.0,False
17,naive_time_sync,clock_offset_+0.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,0.5158759848644017,higher,True,48,2.0,False
17,naive_time_sync,clock_offset_-0.25s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,mae_s,0.7916254755109549,lower,True,48,0.5,False
17,naive_time_sync,clock_offset_-0.25s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,rmse_s,0.7975811457572788,lower,True,48,0.5,False
17,naive_time_sync,clock_offset_-0.25s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,0.0,higher,True,48,0.5,False
17,naive_time_sync,clock_offset_-0.25s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False
17,naive_time_sync,clock_offset_-0.25s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,mae_s,6.7757795215488414,lower,True,48,2.0,False
17,naive_time_sync,clock_offset_-0.25s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,7.836630619057585,lower,True,48,2.0,False
17,naive_time_sync,clock_offset_-0.25s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.125,higher,True,48,2.0,False
17,naive_time_sync,clock_offset_-0.25s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,0.5171886464034969,higher,True,48,2.0,False
17,naive_time_sync,clock_offset_+0.25s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,mae_s,0.7896507084369659,lower,True,48,0.5,False
