seed,fold_id,fold_family,method_name,status,protocol_sha256,hyperparameter_selection_role,outer_test_metrics_opened
29,leave_one_view_out__fold02,leave_one_view_out_main,physiology_only,completed,8e1d4ac019b9f4e1ad9e1386b15d9ebcf53670e5ceab7c1b2b7d1111ffbdf484,validation,True
29,leave_one_view_out__fold02,leave_one_view_out_main,vehicle_only,completed,e6e85cf9badc833cacdb0d5b26324507a0d88aac1ff008e8db9d5373c4336ff2,validation,True
29,leave_one_view_out__fold02,leave_one_view_out_main,naive_time_sync,completed,e56a3a284a13cf69c112ac3ab18a0d0027b8d5cb37ce9ea67f8bd4103a2c3103,validation,True
29,leave_one_view_out__fold02,leave_one_view_out_main,mult,completed,80dde38516adfb01e4d66add057a13a6285de699ef0351ad3549b6f6144777ea,validation,True
29,leave_one_view_out__fold02,leave_one_view_out_main,contiformer,completed,f5a75af34ee35906c5c563ca097f8944f13b841f8188ee74807189ed2f8d7f4a,validation,True
29,leave_one_view_out__fold02,leave_one_view_out_main,chronaris,completed,7400c6b28eefa52d5ebc8d2a73ce0b5af7d54130918de36d2d1de16e5ba85923,validation,True
29,leave_one_view_out__fold03,leave_one_view_out_main,physiology_only,completed,8381bd1ab16b0fd38770df37ecd8165c6213534f2d32372003093820d9743a3a,validation,True
29,leave_one_view_out__fold03,leave_one_view_out_main,vehicle_only,completed,83c39538478c20d7bce4f73d8c4c20bdc989db058e67b9165bb10639553f89e7,validation,True
29,leave_one_view_out__fold03,leave_one_view_out_main,naive_time_sync,completed,a66aa27bda5ed62a3e1dc0e265272ebafab3a9967192dbc3604462a3ee6fc4a9,validation,True
29,leave_one_view_out__fold03,leave_one_view_out_main,mult,completed,fb99e7fb3f45080914c32b2682317d8cb95dd4a9db5a23f303dd9a29cc013f53,validation,True
29,leave_one_view_out__fold03,leave_one_view_out_main,contiformer,completed,4e2437c36f1c383ce5bc5da3df26ec060be95ee9936c43a55cc98471f61c551f,validation,True
29,leave_one_view_out__fold03,leave_one_view_out_main,chronaris,completed,775f4c75e727d2a0bd1b52254036ec36e50ba68575d9920c2a0e220306138556,validation,True
29,leave_one_sortie_out__fold01,leave_one_sortie_out_auxiliary,physiology_only,completed,e0ccaa86a9e14602520249278db747a0f3ff49b9afd81895f27a5de31eb4ac8e,validation,True
