seed,fold_id,method,consumer,status,elapsed_s,smoke_only
29,leave_one_view_out__fold02,contiformer,linear,completed,0.029735716059803963,False
29,leave_one_view_out__fold02,contiformer,minirocket,completed,0.38165959576144814,False
29,leave_one_view_out__fold02,chronaris,linear,completed,0.029920821078121662,False
29,leave_one_view_out__fold02,chronaris,minirocket,completed,0.4330243207514286,False
29,leave_one_view_out__fold03,physiology_only,linear,completed,0.02717893011868,False
29,leave_one_view_out__fold03,physiology_only,minirocket,completed,0.38792838994413614,False
29,leave_one_view_out__fold03,vehicle_only,linear,completed,0.023286425042897463,False
29,leave_one_view_out__fold03,vehicle_only,minirocket,completed,0.3543871599249542,False
29,leave_one_view_out__fold03,naive_time_sync,linear,completed,0.021240731701254845,False
29,leave_one_view_out__fold03,naive_time_sync,minirocket,completed,0.37917268415912986,False
29,leave_one_view_out__fold03,mult,linear,completed,0.024175107944756746,False
29,leave_one_view_out__fold03,mult,minirocket,completed,0.37144852289929986,False
29,leave_one_view_out__fold03,contiformer,linear,completed,0.02624692488461733,False
29,leave_one_view_out__fold03,contiformer,minirocket,completed,0.3964114021509886,False
29,leave_one_view_out__fold03,chronaris,linear,completed,0.027919229120016098,False
29,leave_one_view_out__fold03,chronaris,minirocket,completed,0.3913572421297431,False
29,leave_one_sortie_out__fold01,physiology_only,linear,completed,0.027082182001322508,False
29,leave_one_sortie_out__fold01,physiology_only,minirocket,completed,0.22747813258320093,False
29,leave_one_sortie_out__fold01,vehicle_only,linear,completed,0.02441003080457449,False
29,leave_one_sortie_out__fold01,vehicle_only,minirocket,completed,0.19608008302748203,False
29,leave_one_sortie_out__fold01,naive_time_sync,linear,completed,0.020498958881944418,False
29,leave_one_sortie_out__fold01,naive_time_sync,minirocket,completed,0.21828524908050895,False
29,leave_one_sortie_out__fold01,mult,linear,completed,0.028272715862840414,False
29,leave_one_sortie_out__fold01,mult,minirocket,completed,0.21369267720729113,False
29,leave_one_sortie_out__fold01,contiformer,linear,completed,0.02788823237642646,False
29,leave_one_sortie_out__fold01,contiformer,minirocket,completed,0.2073417268693447,False
29,leave_one_sortie_out__fold01,chronaris,linear,completed,0.02768707275390625,False
29,leave_one_sortie_out__fold01,chronaris,minirocket,completed,0.23158748680725694,False
29,leave_one_sortie_out__fold02,physiology_only,linear,completed,0.026361113879829645,False
29,leave_one_sortie_out__fold02,physiology_only,minirocket,completed,0.39164078794419765,False
