metric_name,seed,method,direction,value
simulation_load_rmse,43,naive_time_sync,lower,0.2292615626935696
simulation_load_rmse,43,physiology_only,lower,0.2539085515735874
simulation_load_rmse,43,vehicle_only,lower,0.1750794401208426
simulation_segmentation_macro_f1,17,chronaris,higher,0.3711051540398714
simulation_segmentation_macro_f1,17,contiformer,higher,0.3423492104300608
simulation_segmentation_macro_f1,17,mult,higher,0.4090730105799317
simulation_segmentation_macro_f1,17,naive_time_sync,higher,0.4027403519603947
simulation_segmentation_macro_f1,17,physiology_only,higher,0.2745166058484632
simulation_segmentation_macro_f1,17,vehicle_only,higher,0.3723297495193934
simulation_segmentation_macro_f1,29,chronaris,higher,0.4377797949513909
simulation_segmentation_macro_f1,29,contiformer,higher,0.3611153526812677
simulation_segmentation_macro_f1,29,mult,higher,0.3840450619022801
simulation_segmentation_macro_f1,29,naive_time_sync,higher,0.411545544581441
simulation_segmentation_macro_f1,29,physiology_only,higher,0.3201376349367448
simulation_segmentation_macro_f1,29,vehicle_only,higher,0.3639346803169325
simulation_segmentation_macro_f1,43,chronaris,higher,0.4280446046644783
simulation_segmentation_macro_f1,43,contiformer,higher,0.3817581295396685
simulation_segmentation_macro_f1,43,mult,higher,0.3691864616683597
simulation_segmentation_macro_f1,43,naive_time_sync,higher,0.4065738835973737
simulation_segmentation_macro_f1,43,physiology_only,higher,0.3457828380573683
simulation_segmentation_macro_f1,43,vehicle_only,higher,0.3390729761354509
