gate,item,actual,reference,passed
single_stream_no_harm,dingxin_high_response_auprc:seed_17,0.8235711209360533,0.8797430616065358,False
single_stream_no_harm,dingxin_high_response_auprc:seed_29,0.8437718238919526,0.8766464037861242,False
single_stream_no_harm,dingxin_high_response_auprc:seed_43,0.8555087901446065,0.8669737171522608,True
single_stream_no_harm,dingxin_maneuver_macro_f1:seed_17,0.7300053676865271,0.9193415637860082,False
single_stream_no_harm,dingxin_maneuver_macro_f1:seed_29,0.7253487253487254,0.94006734006734,False
single_stream_no_harm,dingxin_maneuver_macro_f1:seed_43,0.7207792207792209,0.9299145299145298,False
single_stream_no_harm,dingxin_response_rmse:seed_17,0.3495538173751255,0.298595275832189,False
single_stream_no_harm,dingxin_response_rmse:seed_29,0.3537276633662309,0.2992009329609962,False
single_stream_no_harm,dingxin_response_rmse:seed_43,0.3006068994084341,0.3107082599582965,True
single_stream_no_harm,simulation_load_macro_f1:seed_17,0.2760428237945746,0.5285335452391918,False
single_stream_no_harm,simulation_load_macro_f1:seed_29,0.3365839243498817,0.4915856182787856,False
single_stream_no_harm,simulation_load_macro_f1:seed_43,0.3004916342524371,0.6009404246353732,False
single_stream_no_harm,simulation_load_rmse:seed_17,0.298847611157392,0.1889619935996349,False
single_stream_no_harm,simulation_load_rmse:seed_29,0.241385839328551,0.2439064290498657,True
single_stream_no_harm,simulation_load_rmse:seed_43,0.2215221947040546,0.1750794401208426,False
single_stream_no_harm,simulation_segmentation_macro_f1:seed_17,0.3711051540398714,0.3723297495193934,True
single_stream_no_harm,simulation_segmentation_macro_f1:seed_29,0.4377797949513909,0.3639346803169325,True
single_stream_no_harm,simulation_segmentation_macro_f1:seed_43,0.4280446046644783,0.3457828380573683,True
class_recall_gap_within_0_05,class_0,0.7333333333333334,1.0,False
class_recall_gap_within_0_05,class_1,0.676470588235294,0.9607843137254902,False
class_recall_gap_within_0_05,class_2,0.4705882352941176,0.8725490196078431,False
time_mechanism_within_10_percent,primary_physiology_response_lag_s,7.154617939346052,7.5198953855567385,True
time_mechanism_within_10_percent,relative_clock_offset_magnitude_s,0.8944220415242609,0.8864231815265994,True
missingness_slopes_top_three,random_missing_rate,2,3,True
missingness_slopes_top_three,contiguous_gap_s,4,3,False
causal_future_invariance,v2_h96_continuous_basis_euler_lr1e3,True,True,True
invalid_queries_excluded_from_pooling,v2_h96_continuous_basis_euler_lr1e3,True,True,True
