seed,method_name,role,status,sample_count,checkpoint_sha256,representation_sha256,output_root
17,physiology_only,train,completed,384,f1a13dcf2f7e0e55a4b03573e6e610beed0adeb5595559c886a95a3c9b1e638c,06922c1e098080d8e3034111b32f35499bb46fb308d782ee962a16c1af8ea34b,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_17/physiology_only/train
17,physiology_only,validation,completed,96,f1a13dcf2f7e0e55a4b03573e6e610beed0adeb5595559c886a95a3c9b1e638c,f23a8bc2c2ec86abab7b15d788afb78c3d2dfe85f7af0d3c1104206370363986,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_17/physiology_only/validation
17,physiology_only,held_out,completed,192,f1a13dcf2f7e0e55a4b03573e6e610beed0adeb5595559c886a95a3c9b1e638c,c512fd2e029b805679d668e83a76a8a8880535ece2284b951d59fd7c2994a831,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_17/physiology_only/held_out
17,vehicle_only,train,completed,384,c3173c7b1465574ff2d687caea9f42e5f4bbcb5088f34bc39819df0e51f21d89,e7e1964cd1d7e0ac835fb27494aa7fe757be1b349d817b858488e36931429e41,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_17/vehicle_only/train
17,vehicle_only,validation,completed,96,c3173c7b1465574ff2d687caea9f42e5f4bbcb5088f34bc39819df0e51f21d89,3136ca1dfeb7a40e1c3202b995a884124a7284642579497e7b5ee2f31c6e8235,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_17/vehicle_only/validation
17,vehicle_only,held_out,completed,192,c3173c7b1465574ff2d687caea9f42e5f4bbcb5088f34bc39819df0e51f21d89,4a4edd079bb6f85ae11bdca8c1a6091969f00263de6ac33cf5912acfa139f041,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_17/vehicle_only/held_out
17,naive_time_sync,train,completed,384,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,ed69895d5b59519e3dbd5cdb32b321987466447bf4ca991dee9960a359349c0d,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_17/naive_time_sync/train
17,naive_time_sync,validation,completed,96,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,328a598f435104b5a3b38579f3137bbb8224b734e2d6cc3a1fbb4a73db458292,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_17/naive_time_sync/validation
17,naive_time_sync,held_out,completed,192,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,3852f4d10589dd5b745b0047b725aedde98f37fcc2febd28814b1009f8435629,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_17/naive_time_sync/held_out
17,mult,train,completed,384,5303906a85268b5f25af9e4010790f847d12484b597e07ae6fdf7c3445cc82f2,38cd543828c6755773a9aa973c1952b4dbd6b97878df10b9787b4e4a639d86f4,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_17/mult/train
