seed,scenario_id,method_name,metric_count,consumer_refit,source_model_protocol_sha256,prediction_sha256
29,timestamp_jitter_020ms,physiology_only,32,False,417355ca42a22fed25ae0be8ff3fa6fc446d5664d01b944a2105cbefbc835126,ca0d82aedf696704fa86903ec54d314220da53faf604273d1aea0b3482dbf504
29,timestamp_jitter_020ms,vehicle_only,32,False,dc974d7b7d1f1aa46099201b77653709acaa33db18ff9fb6c254a78fa151eaf4,a8a4eabbfa607bfb51ddca9e1f71590730d8ff519656a18f9cd2ad14d1f4c21f
29,timestamp_jitter_020ms,naive_time_sync,32,False,efa048378ecd92b0893b830f153c9d909a76ee5ab79104273aa90011353ffb90,452b6218e95916cb7b2ea8ed7b7d364fa2188994c4121e789611131476111452
29,timestamp_jitter_020ms,mult,32,False,0e5420dacb83fdc6fcce04564f64b959da4f76d31205bb729b25e0ae891d3024,24c823b256ef94e99d72d39be3aeb86c5390f97594523d5cf2ca634a0fdf6572
29,timestamp_jitter_020ms,contiformer,32,False,91e846cf4014c2f1fe1b9b6c6ccd212acc328ba491c38d5e339196c0f43afdf1,5b71090e97d1b40935f2ac3832de0bc9552732024ddcbaf6396c96ddbd28bced
29,timestamp_jitter_020ms,chronaris,32,False,4a6527fcaeebfe7fe43f31b536189b09da5aeaed8028876abd2fd73a08ae7287,de87bc6bfe0149eb976c5ebd0e93c54de896a77673b954b2806cf5f4f85f109a
43,timestamp_jitter_020ms,physiology_only,32,False,cdd6bdb538c3460a6b5a451bd5d2e60b9b0b65bdf90d63dd4c8bf02200889098,8121fa0f2be90bd4a399ad2be3488459ed44290860b993cb1be1105d9c9e92f7
43,timestamp_jitter_020ms,vehicle_only,32,False,6c24423d3c7b6a7c3ab86dd802d9b3ba67dec3631bcd8c29b3ddaa895f5802b3,082d648cc8b81400b7fee3586dae49a337c8f718510359f0eafcb0ccf2020583
43,timestamp_jitter_020ms,naive_time_sync,32,False,fd2fb9b1e4df7e5376d48f94865d8d6f61826a63b2b736a2f3fe090e70e97488,473d99602524f00854c388032f8dc87f7b6fdccc91686a345b3809c5ea630b02
43,timestamp_jitter_020ms,mult,32,False,fe27b6d563f131edbc7b57408a93d0db1ae0b9fc6b7442f7a8a81565b6ed684a,2864fc019b5b094f372994c113283bc295dba00a7286ee61ca72972688b0704d
43,timestamp_jitter_020ms,contiformer,32,False,331f12e6432a5a45af82fd0c9c0014df76e6b8273f0be088059bb7326d86137a,7500a3c70d868d05c1fb410552451a25938464f6d055d42aed1806b85f70f0f7
43,timestamp_jitter_020ms,chronaris,32,False,aa56db3ab720ca37d17b02412c21cd7d7a8fbc0fa7236c7ca13a12fba2ef103a,b837ab5175e408f6e98e69e5c3e3826204d0089fac93c329fccc7eecffe52bb8
17,timestamp_jitter_050ms,physiology_only,32,False,3e8d2edb1c3ef2082fd85f286684aad83899f6b919b449836547a34e3b4169a4,b529dd7729ea479991466348c73e120c3870bb45f76cb7397681aa4c0c13f7fc
17,timestamp_jitter_050ms,vehicle_only,32,False,2e8b3a524b32619d373857d21846f0e34401ad94db011df3b0ecf149bcf75427,6ba5964dbeba656d20d3f71d22b4eff99f870dc14e8954e20fb45d285db9fa9a
17,timestamp_jitter_050ms,naive_time_sync,32,False,0b6c1a3cc9aaa64c558661d2d4c6aa1f0b633d6f0e55319e535ac93452ec26d6,08bc3e6c6383f24f51b58df714eb517c8a71bf3fdd083c48a064d74c0c95ae3d
17,timestamp_jitter_050ms,mult,32,False,885a772ce5b9f54da47db1c982ef2240607d5640ca796202b9e5e54289cd85a9,26ef597e871401c1bd10b1edc6b6482bace23f6917ec3aad00110f78db4a82e7
17,timestamp_jitter_050ms,contiformer,32,False,365e49ecde066f067ba9ef713ec0358faea37e16578b9bc762d5579f937246ec,f83d88bae70827e44538099403192c4d4aa999626d8b970445a778524ef4dd2a
17,timestamp_jitter_050ms,chronaris,32,False,42db93384195a32daa7e5f44f3a97f56929829847cf90006f4372a2e85b4a5ba,cb145a7a000fdcc3d7ed2723f45fdf11bdf30f220226f99f56b11c315e9d2608
29,timestamp_jitter_050ms,physiology_only,32,False,417355ca42a22fed25ae0be8ff3fa6fc446d5664d01b944a2105cbefbc835126,f75f09bfa252fc51f9d12ac7985f8e53ca037473269106bb0b92ff8b23f216df
