fold_id,candidate_id,public_self_supervised_validation_loss,vehicle_fidelity_ratio,physiology_fidelity_ratio,worst_fold_fidelity_ratio,effective_rank,near_zero_variance_fraction,clock_offset_mae_s,response_lag_mae_s,v1_clock_offset_mae_s,v1_response_lag_mae_s,causal_future_invariance_passed,invalid_query_pooling_passed,lag_mask_passed,parameter_count,task_labels_opened,outer_test_opened,sealed_confirmation_opened,time_mechanism_ratio,gate_passed
leave_one_view_out__fold01,v2_h96_continuous_basis_euler_lr1e3,1.6253859847784042,0.006327566822954611,3.4572381083989767,0.006327566822954611,8.513140873330713,0.015625,0.07683946393174737,3.8,0.8883,7.4859,True,True,True,443767,False,False,False,0.5076209941356417,False
leave_one_view_out__fold01,v2_h96_continuous_basis_rk4_lr1e3,1.6261398792266846,0.006384347185077192,3.5941034279691126,0.006384347185077192,8.477239108745195,0.015625,0.07226614594996525,3.8,0.8883,7.4859,True,True,True,443767,False,False,False,0.5076209941356417,False
leave_one_view_out__fold01,v2_h96_fixed_five_rk4_lr1e3,1.6259236633777618,0.006610500030988266,3.5258940826016527,0.006610500030988266,8.532545828550155,0.015625,0.07451107042790234,3.8,0.8883,7.4859,True,True,True,443767,False,False,False,0.5076209941356417,False
leave_one_view_out__fold02,v2_h96_continuous_basis_euler_lr1e3,1.6241389214992523,0.004820717505771361,3.48674278011707,0.004820717505771361,8.34797336826027,0.015625,0.07130022316089414,1.8,0.8883,7.4859,True,True,True,443767,False,False,False,0.240452049853725,False
leave_one_view_out__fold02,v2_h96_continuous_basis_rk4_lr1e3,1.6235855370759964,0.004757208039890669,3.620210718002735,0.004757208039890669,8.39251241550536,0.015625,0.05886427598837849,1.8,0.8883,7.4859,True,True,True,443767,False,False,False,0.240452049853725,False
leave_one_view_out__fold02,v2_h96_fixed_five_rk4_lr1e3,1.6234772503376007,0.004832576213735483,3.6232625057103,0.004832576213735483,8.480202112620159,0.015625,0.062393305643173,3.8,0.8883,7.4859,True,True,True,443767,False,False,False,0.5076209941356417,False
leave_one_view_out__fold03,v2_h96_continuous_basis_euler_lr1e3,2.4202200025320053,0.2860031654608528,1.7900836389621257,0.2860031654608528,12.785104610484007,0.015625,0.10710712695497454,0.5,0.8883,7.4859,True,True,True,443767,False,False,False,0.12057539902620122,False
leave_one_view_out__fold03,v2_h96_continuous_basis_rk4_lr1e3,2.421315014362335,0.2701117489602818,1.7882687007560691,0.2701117489602818,12.953148362460796,0.015625,0.08115231661726555,0.5,0.8883,7.4859,True,True,True,443767,False,False,False,0.09135688012750821,False
leave_one_view_out__fold03,v2_h96_fixed_five_rk4_lr1e3,2.4208756387233734,0.2532230242693508,1.7513856128532865,0.2532230242693508,13.17259010934333,0.015625,0.08376412931257518,0.5,0.8883,7.4859,True,True,True,443767,False,False,False,0.0942971173168695,False
