seed,method_name,candidate_id,status,best_epoch,completed_epochs,stopped_early,best_public_selection_loss,training_elapsed_s,parameter_count,checkpoint_path,checkpoint_sha256,training_device,training_device_history,chronaris_auxiliary_enabled,reserved_confirmation_loss,reserved_confirmation_sample_count,g2_locked_test_opened,task_targets_opened
17,physiology_only,A,resumed,49,50,False,0.34809349849820137,747.4346836199984,110208,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_17/physiology_only/A/best.pt,f1a13dcf2f7e0e55a4b03573e6e610beed0adeb5595559c886a95a3c9b1e638c,cuda,"[""cuda""]",False,0.34953558444976807,1,False,False
17,vehicle_only,C,resumed,50,50,False,0.23147624358534813,760.3858443577774,31072,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_17/vehicle_only/C/best.pt,c3173c7b1465574ff2d687caea9f42e5f4bbcb5088f34bc39819df0e51f21d89,cuda,"[""cuda""]",False,0.17456452921032906,1,False,False
17,mult,A,resumed,49,50,False,0.1056301798671484,785.4311014851555,1014784,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_17/mult/A/best.pt,5303906a85268b5f25af9e4010790f847d12484b597e07ae6fdf7c3445cc82f2,cuda,"[""cuda""]",False,0.12474639620631933,1,False,False
17,contiformer,A,resumed,50,50,False,0.21436011418700218,775.9503612681292,112512,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_17/contiformer/A/best.pt,1274b44c1221eadcf12051277769d56c1a9a2af930214349dde56e7c2e098ba0,cuda,"[""cuda""]",False,0.14388865791261196,1,False,False
17,chronaris,A,resumed,50,50,False,0.16346208564937115,3307.3691032407805,123222,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_17/chronaris/best.pt,011878f38c480566357fa923b42d548824ae7ce67dd4e0c79b03f91622f8a650,cpu,"[""cpu""]",True,0.10406907089054585,1,False,False
29,physiology_only,A,resumed,50,50,False,0.3450932875275612,726.2892371527851,110208,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_29/physiology_only/A/best.pt,15b57d6c2c15699eae671637bc1f48252bf253e2c473227b2c88c684cb197e28,cuda,"[""cuda""]",False,0.34519559144973755,1,False,False
29,vehicle_only,C,resumed,50,50,False,0.19191010296344757,830.976330245845,31072,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_29/vehicle_only/C/best.pt,13939bf62743833bb9d09739d1ed008c533eb82e65a20f9156354f79fa188acd,cuda,"[""cuda""]",False,0.16441422700881958,1,False,False
29,mult,A,completed,50,50,False,0.10277526918798685,441.3128097578883,1014784,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_29/mult/A/best.pt,12d22389da27f4527ca194e142ad305c23bdf3150f32ea1cc9b8a9bbb605fb24,cpu,"[""cuda"", ""cpu""]",False,0.05111372657120228,1,False,False
29,contiformer,A,completed,50,50,False,0.17842895537614822,94.63811446167529,112512,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_29/contiformer/A/best.pt,fe4d0fddd0f34aa9d2c34e1aea7e636580c3736b645f5963a8abab54b8ab15b7,cpu,"[""cpu""]",False,0.13604773581027985,1,False,False
29,chronaris,A,completed,50,50,False,0.15338938869535923,1362.9180138022639,123222,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_29/chronaris/best.pt,769ded96b5674497fbbc9263179377ca3f7a513fae820d792414c31b0d482eba,cpu,"[""cpu""]",True,0.10544144362211227,1,False,False
43,physiology_only,A,completed,50,50,False,0.34561319649219513,82.11121963104233,110208,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_43/physiology_only/A/best.pt,818b906cc6eeaaa9840da30e67162b3a5b28474866f76e61b9e3c0137fa5c8cb,cpu,"[""cpu""]",False,0.355072233825922,1,False,False
43,vehicle_only,C,completed,50,50,False,0.24028005078434944,78.42727461317554,31072,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_43/vehicle_only/C/best.pt,6b7b3cb8350ec24d37bd062d52369b06634c8fbf32d4c3164228ea50094a2824,cpu,"[""cpu""]",False,0.497682299464941,1,False,False
43,mult,A,completed,50,50,False,0.1825914103537798,153.549624518957,1014784,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_43/mult/A/best.pt,6873e3c0ca791937d2eb89b0a5fef58a7f15e2499dbbfa289728a30cbf1fee00,cpu,"[""cpu""]",False,0.239295007660985,1,False,False
43,contiformer,A,completed,50,50,False,0.24087009206414223,83.82487044204026,112512,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_43/contiformer/A/best.pt,cee99c8c8bf4139a6ed66c9fd219071937e6db6ea5275ab4101a31ae559d8d2e,cpu,"[""cpu""]",False,0.31466519087553024,1,False,False
43,chronaris,A,completed,50,50,False,0.22670936584472656,1828.0545873520896,123222,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_43/chronaris/best.pt,9a0c430f1d0319193f1d9315f0def70ba5b17ca8b98ffd36cd80f86681fca292,cpu,"[""cpu""]",True,0.16186303459107876,1,False,False
