method_name,task_name,metric_name,mean,std,minimum,maximum,unit_count
chronaris,future_maneuver,balanced_accuracy,0.3444444444444444,0.027216552697590896,0.3333333333333333,0.4000000000000001,6
contiformer,future_maneuver,balanced_accuracy,0.4777777777777778,0.1003696870278775,0.3333333333333333,0.6,6
mult,future_maneuver,balanced_accuracy,0.3333333333333333,0.02108185106778921,0.3,0.3666666666666667,6
naive_time_sync,future_maneuver,balanced_accuracy,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,6
physiology_only,future_maneuver,balanced_accuracy,0.31666666666666665,0.027888667551135834,0.26666666666666666,0.3333333333333333,6
vehicle_only,future_maneuver,balanced_accuracy,0.8111111111111112,0.017213259316477367,0.7999999999999999,0.8333333333333334,6
chronaris,future_maneuver,independent_vehicle_context_count,30.0,0.0,30.0,30.0,6
contiformer,future_maneuver,independent_vehicle_context_count,30.0,0.0,30.0,30.0,6
mult,future_maneuver,independent_vehicle_context_count,30.0,0.0,30.0,30.0,6
naive_time_sync,future_maneuver,independent_vehicle_context_count,30.0,0.0,30.0,30.0,6
physiology_only,future_maneuver,independent_vehicle_context_count,30.0,0.0,30.0,30.0,6
vehicle_only,future_maneuver,independent_vehicle_context_count,30.0,0.0,30.0,30.0,6
chronaris,future_maneuver,macro_f1,0.19475568004979768,0.06880375016687888,0.16666666666666666,0.3352007469654528,6
contiformer,future_maneuver,macro_f1,0.3843173619640649,0.14424687205612968,0.16666666666666666,0.5851851851851851,6
mult,future_maneuver,macro_f1,0.19719556230712418,0.053168573269577336,0.16666666666666666,0.29666119321291734,6
naive_time_sync,future_maneuver,macro_f1,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,6
physiology_only,future_maneuver,macro_f1,0.17034313725490194,0.014354461239555218,0.1568627450980392,0.19852941176470587,6
vehicle_only,future_maneuver,macro_f1,0.8083707604885871,0.016429590487822703,0.796583850931677,0.8329513623631271,6
chronaris,future_maneuver,normalized_mae,19.41835035826986,4.6777444370802135,15.781544967242377,28.309610380554208,6
contiformer,future_maneuver,normalized_mae,2.223990118177527,1.4360418845336582,0.8471440582753458,4.438415428368322,6
mult,future_maneuver,normalized_mae,18.46189187421168,21.106450779516003,2.0822530291648804,58.31840029761309,6
naive_time_sync,future_maneuver,normalized_mae,32.371972354345246,23.716916441870357,10.72148880488265,54.02245590380784,6
physiology_only,future_maneuver,normalized_mae,42.429764026099015,34.623059653412376,13.02726942685933,98.48074188803105,6
vehicle_only,future_maneuver,normalized_mae,0.7155233971093625,0.027643978190667797,0.6641286250934642,0.7410433195688491,6
chronaris,future_maneuver,skill_vs_current_maneuver,-123.5859137369901,64.30875910874633,-248.2883439371038,-77.74530254951488,6
contiformer,future_maneuver,skill_vs_current_maneuver,-1.4614415219132006,2.4118363690617888,-5.629604928113818,0.5157700354602446,6
mult,future_maneuver,skill_vs_current_maneuver,-223.14010903901783,411.56257188738533,-1052.0896118363,-0.9950791179607439,6
naive_time_sync,future_maneuver,skill_vs_current_maneuver,-469.43088639399775,474.2486216692223,-902.358666317275,-36.50310647072048,6
physiology_only,future_maneuver,skill_vs_current_maneuver,-873.6035508806681,1167.6090616186273,-3018.789587338429,-53.92873919096549,6
vehicle_only,future_maneuver,skill_vs_current_maneuver,0.6684512257565,0.02153454194236976,0.648557508441032,0.7079072687574852,6
chronaris,future_maneuver,spearman,0.06852057842046717,0.11002672221661762,-0.14616240266963293,0.16484983314794216,6
contiformer,future_maneuver,spearman,0.5088616981831665,0.08715915031270864,0.3819799777530589,0.5919911012235817,6
mult,future_maneuver,spearman,0.19985168705969594,0.15335994067020825,0.025583982202447165,0.44160177975528364,6
naive_time_sync,future_maneuver,spearman,0.5056729699666296,0.14378478706475994,0.37441601779755285,0.6369299221357063,6
physiology_only,future_maneuver,spearman,-0.11672228401928068,0.0798470783169427,-0.1982202447163515,-0.026918798665183537,6
vehicle_only,future_maneuver,spearman,0.6165368928439007,0.04630735202579023,0.5688542825361512,0.6823136818687431,6
chronaris,future_physiology,eeg_rmse_macro,9.139451202516996,1.0688551323020852,7.643914014596373,10.672202901905184,6
contiformer,future_physiology,eeg_rmse_macro,8.101786895088884,1.755281698803435,6.39830744125099,9.802888557201946,6
mult,future_physiology,eeg_rmse_macro,12.816753885049266,4.037171512510802,7.879400953649846,17.615761228243258,6
naive_time_sync,future_physiology,eeg_rmse_macro,16.028636103265516,5.02762520514188,11.439063210702605,20.618208995828425,6
physiology_only,future_physiology,eeg_rmse_macro,18.251698645871247,3.7343822775634528,14.541883373840975,25.186191438380504,6
vehicle_only,future_physiology,eeg_rmse_macro,8.007629227901047,1.9522017843096966,6.224202119470344,9.790675520658723,6
chronaris,future_physiology,field_count,11.5,0.5477225575051661,11.0,12.0,6
contiformer,future_physiology,field_count,11.5,0.5477225575051661,11.0,12.0,6
mult,future_physiology,field_count,11.5,0.5477225575051661,11.0,12.0,6
naive_time_sync,future_physiology,field_count,11.5,0.5477225575051661,11.0,12.0,6
physiology_only,future_physiology,field_count,11.5,0.5477225575051661,11.0,12.0,6
vehicle_only,future_physiology,field_count,11.5,0.5477225575051661,11.0,12.0,6
chronaris,future_physiology,positive_skill_field_ratio,0.0,0.0,0.0,0.0,6
contiformer,future_physiology,positive_skill_field_ratio,0.0,0.0,0.0,0.0,6
mult,future_physiology,positive_skill_field_ratio,0.0,0.0,0.0,0.0,6
naive_time_sync,future_physiology,positive_skill_field_ratio,0.0,0.0,0.0,0.0,6
physiology_only,future_physiology,positive_skill_field_ratio,0.0,0.0,0.0,0.0,6
vehicle_only,future_physiology,positive_skill_field_ratio,0.0,0.0,0.0,0.0,6
chronaris,future_physiology,skill_vs_persistence,-1268.8988846079658,678.9753212482905,-1956.5173143939833,-602.5630335324316,6
contiformer,future_physiology,skill_vs_persistence,-1283.5043247460576,926.6471767307368,-2157.2270658441894,-429.3299499375779,6
mult,future_physiology,skill_vs_persistence,-2191.120099511797,1621.5902271514155,-3970.0798389152505,-543.2080829746587,6
naive_time_sync,future_physiology,skill_vs_persistence,-2359.6886947217404,414.7480370241648,-2738.300120653612,-1981.077268789869,6
physiology_only,future_physiology,skill_vs_persistence,-5263.133857764899,2946.1896647030585,-9766.365632683373,-2588.2247428867827,6
vehicle_only,future_physiology,skill_vs_persistence,-1276.3749441210032,920.1160029514298,-2116.343302608406,-436.38789498150015,6
chronaris,future_physiology,spo2_rmse_macro,7.715624609724607,3.16196686991132,4.4646574946747295,11.718076820387132,6
contiformer,future_physiology,spo2_rmse_macro,3.0212635748437955,0.8923902038697892,1.7322850633332116,4.260950672452487,6
mult,future_physiology,spo2_rmse_macro,11.055723322966768,8.697537157522437,2.7084171836122533,21.85210761599956,6
naive_time_sync,future_physiology,spo2_rmse_macro,15.891482435549195,11.466312003695345,5.424219542522197,26.358745328576195,6
physiology_only,future_physiology,spo2_rmse_macro,39.42144061536957,35.89476830185568,4.680789006481014,88.40901083926369,6
vehicle_only,future_physiology,spo2_rmse_macro,2.650209664968984,0.5613572751268716,2.1360724719912607,3.1640909336206873,6
chronaris,future_physiology,standardized_mae_macro,8.736999450774736,1.0215563812334227,6.865770425549533,9.659451703811316,6
contiformer,future_physiology,standardized_mae_macro,7.083390326926037,1.5849523412812314,5.587456699895597,8.613353622043812,6
mult,future_physiology,standardized_mae_macro,12.37909556173537,4.844506901622046,7.055049816998315,17.740254908881454,6
naive_time_sync,future_physiology,standardized_mae_macro,15.990822655325251,6.145941940767129,10.380370925199857,21.601274385450644,6
physiology_only,future_physiology,standardized_mae_macro,21.60207824755219,6.475080600974539,15.189979959624678,29.702115647410555,6
vehicle_only,future_physiology,standardized_mae_macro,6.89062528762178,1.8223821624809249,5.226546311406389,8.555419924934165,6
chronaris,future_physiology,standardized_rmse_macro,8.890097372764638,0.9655759254576476,7.06586737461062,9.704045323527856,6
contiformer,future_physiology,standardized_rmse_macro,7.227150715957188,1.5302488993175287,5.770865587109949,8.706782659779156,6
mult,future_physiology,standardized_rmse_macro,12.476647964220838,4.75557877633614,7.245243130273234,17.751401152872948,6
naive_time_sync,future_physiology,standardized_rmse_macro,16.049266070257854,6.148379387349638,10.43658926600587,21.661942874509837,6
physiology_only,future_physiology,standardized_rmse_macro,21.70861812054898,6.376613004371053,15.387217781609541,29.708746507558104,6
vehicle_only,future_physiology,standardized_rmse_macro,7.083758117045963,1.7543176271758332,5.480905819928693,8.686130633603767,6
chronaris,future_physiology,view_context_count,45.0,16.431676725154983,30.0,60.0,6
contiformer,future_physiology,view_context_count,45.0,16.431676725154983,30.0,60.0,6
mult,future_physiology,view_context_count,45.0,16.431676725154983,30.0,60.0,6
naive_time_sync,future_physiology,view_context_count,45.0,16.431676725154983,30.0,60.0,6
physiology_only,future_physiology,view_context_count,45.0,16.431676725154983,30.0,60.0,6
vehicle_only,future_physiology,view_context_count,45.0,16.431676725154983,30.0,60.0,6
