dataset,task,consumer,seed,fold,role,metric,fusion_method,best_single_value,fusion_value,fusion_gain,direction_normalized,status
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,validation,brier_score,mult,0.5482571983384216,0.7101054503611229,-0.16184825202270137,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,validation,brier_score,contiformer,0.5482571983384216,0.6392105694699184,-0.09095337113149682,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,validation,brier_score,chronaris,0.5482571983384216,0.6507208123581447,-0.10246361401972315,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,validation,ece_10_bins,naive_time_sync,0.12400970178454677,0.330372554556431,-0.2063628527718842,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,validation,ece_10_bins,mult,0.12400970178454677,0.2375235192134227,-0.11351381742887594,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,validation,ece_10_bins,contiformer,0.12400970178454677,0.19151938920037215,-0.06750968741582537,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,validation,ece_10_bins,chronaris,0.12400970178454677,0.26586859869028745,-0.14185889690574066,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,validation,macro_auprc,naive_time_sync,0.5658764425324582,0.3755157101397206,-0.19036073239273754,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,validation,macro_auprc,mult,0.5658764425324582,0.48525329125953726,-0.08062315127292091,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,validation,macro_auprc,contiformer,0.5658764425324582,0.5777345971520212,0.011858154619563077,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,validation,macro_auprc,chronaris,0.5658764425324582,0.556458384776929,-0.009418057755529174,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,validation,macro_f1,naive_time_sync,0.5606509955907546,0.3261358524516419,-0.2345151431391127,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,validation,macro_f1,mult,0.5606509955907546,0.4881035896091748,-0.07254740598157977,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,validation,macro_f1,contiformer,0.5606509955907546,0.5321637426900585,-0.02848725290069609,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,validation,macro_f1,chronaris,0.5606509955907546,0.5039567517828387,-0.05669424380791588,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,29,simulation_g1_to_g2_clean_locked__seed_29,held_out,balanced_accuracy,naive_time_sync,0.5306665649463214,0.35385329383193254,-0.17681327111438883,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,29,simulation_g1_to_g2_clean_locked__seed_29,held_out,balanced_accuracy,mult,0.5306665649463214,0.4443398985339555,-0.08632666641236586,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,29,simulation_g1_to_g2_clean_locked__seed_29,held_out,balanced_accuracy,contiformer,0.5306665649463214,0.47228968259013904,-0.058376882356182325,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,29,simulation_g1_to_g2_clean_locked__seed_29,held_out,balanced_accuracy,chronaris,0.5306665649463214,0.4442297014931699,-0.08643686345315144,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,29,simulation_g1_to_g2_clean_locked__seed_29,held_out,brier_score,naive_time_sync,0.5705114051773453,0.7614004385626707,-0.19088903338532537,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,29,simulation_g1_to_g2_clean_locked__seed_29,held_out,brier_score,mult,0.5705114051773453,0.6373989987746252,-0.06688759359727992,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,29,simulation_g1_to_g2_clean_locked__seed_29,held_out,brier_score,contiformer,0.5705114051773453,0.6843796461662404,-0.11386824098889503,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,29,simulation_g1_to_g2_clean_locked__seed_29,held_out,brier_score,chronaris,0.5705114051773453,0.5495428798444814,0.020968525332863974,higher_is_better,available
