context_id,sortie_id,view_id,input_end_exclusive_ms,target_start_offset_ms,target_end_exclusive_ms,snapshot_stop_offset_ms,fully_observed,unavailable_reason
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0033,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,170000,170000,175000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0034,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,175000,175000,180000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033::context_end_0035,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,180000,180000,185000,181000,False,future_interval_not_fully_observed
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0005,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,30000,30000,35000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0006,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,35000,35000,40000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0007,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,40000,40000,45000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0008,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,45000,45000,50000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0009,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,50000,50000,55000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0010,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,55000,55000,60000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0011,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,60000,60000,65000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0012,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,65000,65000,70000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0013,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,70000,70000,75000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0014,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,75000,75000,80000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0015,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,80000,80000,85000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0016,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,85000,85000,90000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0017,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,90000,90000,95000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0018,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,95000,95000,100000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0019,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,100000,100000,105000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0020,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,105000,105000,110000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0021,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,110000,110000,115000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0022,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,115000,115000,120000,181000,True,
