fold_id,split_strategy,held_out_group,task_id,parameter_type,parameter_name,median_std,iqr_std,median_abs_delta,iqr_abs_delta,fit_sample_hash,exclusion_reason,lower_bound,upper_bound,iqr_delta,train_valid_ratio,representative_statistic,high_response_threshold,source_contract
leave_one_sortie_out__fold02,leave_one_sortie_out,20251005_四01_ACT-4_云_J20_22#01,dingxin_maneuver_intensity_weak_classification_v2,semantic_scaler_excluded,speed_west,0.0,0.0,0.0,0.0,9e4be28979433b6256c838ba308870f79a37c1247251e77d19d2ba71161e5fcb,both_train_iqrs_are_zero,,,,,,,g1_fold_fitted_aligned_window_statistics
leave_one_sortie_out__fold02,leave_one_sortie_out,20251005_四01_ACT-4_云_J20_22#01,dingxin_maneuver_intensity_weak_classification_v2,semantic_scaler_excluded,yaw_or_heading,0.0,0.0,0.0,0.0,9e4be28979433b6256c838ba308870f79a37c1247251e77d19d2ba71161e5fcb,both_train_iqrs_are_zero,,,,,,,g1_fold_fitted_aligned_window_statistics
leave_one_sortie_out__fold02,leave_one_sortie_out,20251005_四01_ACT-4_云_J20_22#01,dingxin_maneuver_intensity_weak_classification_v2,class_bounds,low_medium_high,,,,,9e4be28979433b6256c838ba308870f79a37c1247251e77d19d2ba71161e5fcb,,0.2722712886565713,0.6045567323548064,,,,,g1_fold_fitted_aligned_window_statistics
leave_one_view_out__fold01,,,dingxin_future_physiology_response_v2_raw_median_v1,response_field_scale,eeg.af3,,,,,d5acf18922cf6486f94e56152d9d29a3fa415fbe788be791f56e985894997fe4,,,,65.84822082519531,1.0,raw_window_median,,fixed_raw_point_window_median
leave_one_view_out__fold01,,,dingxin_future_physiology_response_v2_raw_median_v1,response_field_scale,eeg.af4,,,,,d5acf18922cf6486f94e56152d9d29a3fa415fbe788be791f56e985894997fe4,,,,77.04365539550781,1.0,raw_window_median,,fixed_raw_point_window_median
leave_one_view_out__fold01,,,dingxin_future_physiology_response_v2_raw_median_v1,response_field_scale,eeg.f3,,,,,d5acf18922cf6486f94e56152d9d29a3fa415fbe788be791f56e985894997fe4,,,,78.2252197265625,1.0,raw_window_median,,fixed_raw_point_window_median
leave_one_view_out__fold01,,,dingxin_future_physiology_response_v2_raw_median_v1,response_field_scale,eeg.f4,,,,,d5acf18922cf6486f94e56152d9d29a3fa415fbe788be791f56e985894997fe4,,,,68.804443359375,1.0,raw_window_median,,fixed_raw_point_window_median
leave_one_view_out__fold01,,,dingxin_future_physiology_response_v2_raw_median_v1,response_field_scale,eeg.f7,,,,,d5acf18922cf6486f94e56152d9d29a3fa415fbe788be791f56e985894997fe4,,,,66.20864808559418,1.0,raw_window_median,,fixed_raw_point_window_median
leave_one_view_out__fold01,,,dingxin_future_physiology_response_v2_raw_median_v1,response_field_scale,eeg.f8,,,,,d5acf18922cf6486f94e56152d9d29a3fa415fbe788be791f56e985894997fe4,,,,71.22100830078125,1.0,raw_window_median,,fixed_raw_point_window_median
leave_one_view_out__fold01,,,dingxin_future_physiology_response_v2_raw_median_v1,response_field_scale,eeg.fp1,,,,,d5acf18922cf6486f94e56152d9d29a3fa415fbe788be791f56e985894997fe4,,,,68.43543410301208,1.0,raw_window_median,,fixed_raw_point_window_median
leave_one_view_out__fold01,,,dingxin_future_physiology_response_v2_raw_median_v1,response_field_scale,eeg.fp2,,,,,d5acf18922cf6486f94e56152d9d29a3fa415fbe788be791f56e985894997fe4,,,,82.27947998046875,1.0,raw_window_median,,fixed_raw_point_window_median
leave_one_view_out__fold01,,,dingxin_future_physiology_response_v2_raw_median_v1,response_field_scale,eeg.fpz,,,,,d5acf18922cf6486f94e56152d9d29a3fa415fbe788be791f56e985894997fe4,,,,70.9029541015625,1.0,raw_window_median,,fixed_raw_point_window_median
leave_one_view_out__fold01,,,dingxin_future_physiology_response_v2_raw_median_v1,response_field_scale,eeg.fz,,,,,d5acf18922cf6486f94e56152d9d29a3fa415fbe788be791f56e985894997fe4,,,,339.7919921875,1.0,raw_window_median,,fixed_raw_point_window_median
leave_one_view_out__fold01,,,dingxin_future_physiology_response_v2_raw_median_v1,response_field_scale,spo2.toi1,,,,,d5acf18922cf6486f94e56152d9d29a3fa415fbe788be791f56e985894997fe4,,,,0.741093635559082,1.0,raw_window_median,,fixed_raw_point_window_median
leave_one_view_out__fold01,,,dingxin_future_physiology_response_v2_raw_median_v1,response_field_scale,spo2.toi2,,,,,d5acf18922cf6486f94e56152d9d29a3fa415fbe788be791f56e985894997fe4,,,,0.62103271484375,1.0,raw_window_median,,fixed_raw_point_window_median
leave_one_view_out__fold01,,,dingxin_future_physiology_response_v2_raw_median_v1,high_response_bound,train_q75,,,,,d5acf18922cf6486f94e56152d9d29a3fa415fbe788be791f56e985894997fe4,,,,,,raw_window_median,1.2516832397785098,fixed_raw_point_window_median
leave_one_view_out__fold02,,,dingxin_future_physiology_response_v2_raw_median_v1,response_field_scale,eeg.af3,,,,,7ca63916645d4793980be8b013cf87133e6c0e92361ecfdca77dd068d304ddea,,,,65.84822082519531,1.0,raw_window_median,,fixed_raw_point_window_median
leave_one_view_out__fold02,,,dingxin_future_physiology_response_v2_raw_median_v1,response_field_scale,eeg.af4,,,,,7ca63916645d4793980be8b013cf87133e6c0e92361ecfdca77dd068d304ddea,,,,77.04365539550781,1.0,raw_window_median,,fixed_raw_point_window_median
leave_one_view_out__fold02,,,dingxin_future_physiology_response_v2_raw_median_v1,response_field_scale,eeg.f3,,,,,7ca63916645d4793980be8b013cf87133e6c0e92361ecfdca77dd068d304ddea,,,,78.2252197265625,1.0,raw_window_median,,fixed_raw_point_window_median
leave_one_view_out__fold02,,,dingxin_future_physiology_response_v2_raw_median_v1,response_field_scale,eeg.f4,,,,,7ca63916645d4793980be8b013cf87133e6c0e92361ecfdca77dd068d304ddea,,,,68.804443359375,1.0,raw_window_median,,fixed_raw_point_window_median
leave_one_view_out__fold02,,,dingxin_future_physiology_response_v2_raw_median_v1,response_field_scale,eeg.f7,,,,,7ca63916645d4793980be8b013cf87133e6c0e92361ecfdca77dd068d304ddea,,,,66.20864808559418,1.0,raw_window_median,,fixed_raw_point_window_median
leave_one_view_out__fold02,,,dingxin_future_physiology_response_v2_raw_median_v1,response_field_scale,eeg.f8,,,,,7ca63916645d4793980be8b013cf87133e6c0e92361ecfdca77dd068d304ddea,,,,71.22100830078125,1.0,raw_window_median,,fixed_raw_point_window_median
