task_name,split_strategy,metric,chronaris_v3_stream_role_fusion,v3_fixed_causal_lag,v3_no_role_gate
T1_maneuver_intensity_class,leave_one_sortie_out,balanced_accuracy,0.3482905982905982,0.3482905982905982,0.3482905982905982
T1_maneuver_intensity_class,leave_one_sortie_out,macro_f1,0.2438753774492697,0.2438753774492697,0.2438753774492697
T1_maneuver_intensity_class,leave_one_view_out,balanced_accuracy,0.34472934472934474,0.34472934472934474,0.34472934472934474
T1_maneuver_intensity_class,leave_one_view_out,macro_f1,0.18820958170502244,0.18860359273733132,0.18860359273733132
T2_next_window_physiology_response,leave_one_sortie_out,mae,313.6324971516927,313.6324971516927,313.6324971516927
T2_next_window_physiology_response,leave_one_sortie_out,nrmse,2.0415525436401367,2.0415525436401367,2.0415525436401367
T2_next_window_physiology_response,leave_one_sortie_out,rmse,412.69021997100623,412.69021997100623,412.69021997100623
T2_next_window_physiology_response,leave_one_view_out,mae,271.32993570963544,271.32993570963544,271.32993570963544
T2_next_window_physiology_response,leave_one_view_out,nrmse,2.226762639151679,2.226762639151679,2.226762639151679
T2_next_window_physiology_response,leave_one_view_out,rmse,342.69094693916577,342.69094693916577,342.69094693916577
T3_paired_pilot_window_retrieval,leave_one_view_out,mrr,0.12006627269425763,0.12006627269425763,0.12006627269425763
T3_paired_pilot_window_retrieval,leave_one_view_out,top1,0.031531531531531536,0.031531531531531536,0.031531531531531536
T3_paired_pilot_window_retrieval,leave_one_view_out,top3,0.0900900900900901,0.0900900900900901,0.0900900900900901
T3_paired_pilot_window_retrieval,leave_one_view_out,top5,0.14414414414414414,0.14414414414414414,0.14414414414414414
