candidate_id,direction,evaluation_role,fit_role,fold_id,head_variant,metric,outer_test_accessed,status,task,value
summary_dual_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold01,continuous_score_then_bucket,macro_f1,False,completed,maneuver,0.5079365079365079
summary_dual_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=0.1;target=raw,rmse,False,completed,response,1.4701900633774305
summary_dual_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=0.1;target=log1p,rmse,False,completed,response,1.119623827166909
summary_dual_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=1;target=raw,rmse,False,completed,response,1.1418351795296275
summary_dual_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=1;target=log1p,rmse,False,completed,response,0.9307032869193891
summary_dual_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=10;target=raw,rmse,False,completed,response,0.8660794323428642
summary_dual_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=10;target=log1p,rmse,False,completed,response,0.8774146148128382
summary_dual_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=100;target=raw,rmse,False,completed,response,0.7754005136260458
summary_dual_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=100;target=log1p,rmse,False,completed,response,0.7871185140099277
summary_dual_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,pls_components=2,rmse,False,completed,response,0.8430451649990338
summary_dual_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,pls_components=4,rmse,False,completed,response,0.9150394967341126
summary_dual_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,huber,rmse,False,completed,response,2.014181455719252
summary_dual_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,kernel_ridge_rbf,rmse,False,completed,response,1.2595331058513055
summary_dual_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold01,bce,auprc,False,completed,high_response,0.5455475043671331
summary_dual_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold01,balanced_bce,auprc,False,completed,high_response,0.6080017168213454
summary_dual_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold01,continuous_regression_threshold,auprc,False,completed,high_response,0.6243105825798134
summary_dual_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold01,joint_regression_risk,auprc,False,completed,high_response,0.6166038983505251
summary_physiology_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold01,balanced_logistic,macro_f1,False,completed,maneuver,0.16260162601626016
summary_physiology_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold01,linear_svm,macro_f1,False,completed,maneuver,0.16260162601626016
summary_physiology_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold01,ordinal_cumulative,macro_f1,False,completed,maneuver,0.16260162601626016
summary_physiology_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold01,continuous_score_then_bucket,macro_f1,False,completed,maneuver,0.16260162601626016
summary_physiology_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=0.1;target=raw,rmse,False,completed,response,1.5016696533039933
summary_physiology_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=0.1;target=log1p,rmse,False,completed,response,1.5016696533039933
summary_physiology_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=1;target=raw,rmse,False,completed,response,1.5016696533039933
summary_physiology_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=1;target=log1p,rmse,False,completed,response,1.5016696533039933
summary_physiology_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=10;target=raw,rmse,False,completed,response,1.5016696533039933
summary_physiology_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=10;target=log1p,rmse,False,completed,response,1.5016696533039933
summary_physiology_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=100;target=raw,rmse,False,completed,response,1.5016696533039933
summary_physiology_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=100;target=log1p,rmse,False,completed,response,1.5016696533039933
summary_physiology_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,pls_components=2,rmse,False,completed,response,3.4104228367002336
summary_physiology_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,pls_components=4,rmse,False,completed,response,12.12873046094328
summary_physiology_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,huber,rmse,False,completed,response,34.47433513285518
summary_physiology_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold01,kernel_ridge_rbf,rmse,False,completed,response,1.5016696533039933
summary_physiology_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold01,bce,auprc,False,completed,high_response,0.320216087131691
summary_physiology_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold01,balanced_bce,auprc,False,completed,high_response,0.321347308851148
summary_physiology_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold01,continuous_regression_threshold,auprc,False,completed,high_response,0.3508919922908065
summary_physiology_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold01,joint_regression_risk,auprc,False,completed,high_response,0.321347308851148
