candidate_id,direction,evaluation_role,fit_role,fold_id,metric,outer_test_accessed,selected_head_variant,status,task,value,head_variant
fieldwise_physiology_30s,lower,inner_validation,inner_train,leave_one_view_out__fold02,rmse,False,fieldwise_ridge_alpha=0.1,completed,response,0.8571517534595594,fieldwise_ridge_alpha=0.1
summary_vehicle_5s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold03,macro_f1,False,balanced_logistic,completed,maneuver,0.19999999999999998,
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold03,rmse,False,ridge_alpha=10;target=log1p,completed,response,1.1266379057227613,
summary_vehicle_5s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold03,auprc,False,bce,completed,high_response,0.8041666666666667,
summary_vehicle_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold03,macro_f1,False,continuous_score_then_bucket,completed,maneuver,0.47222222222222215,
summary_vehicle_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold03,rmse,False,ridge_alpha=10;target=log1p,completed,response,0.9596973371888414,
summary_vehicle_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold03,auprc,False,bce,completed,high_response,0.8875,
summary_dual_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold03,macro_f1,False,continuous_score_then_bucket,completed,maneuver,0.47222222222222215,
summary_dual_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold03,rmse,False,ridge_alpha=10;target=log1p,completed,response,0.9596973371888414,
summary_dual_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold03,auprc,False,balanced_bce,completed,high_response,0.8875,
summary_physiology_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold03,macro_f1,False,linear_svm,completed,maneuver,0.26666666666666666,
summary_physiology_30s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold03,rmse,False,ridge_alpha=100;target=log1p,completed,response,1.3908419040827846,
summary_physiology_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold03,auprc,False,bce,completed,high_response,0.9166666666666666,
summary_vehicle_30s_histgb,higher,inner_validation,inner_train,leave_one_view_out__fold03,macro_f1,False,hist_gradient_boosting,completed,maneuver,0.0,
summary_vehicle_30s_histgb,lower,inner_validation,inner_train,leave_one_view_out__fold03,rmse,False,hist_gradient_boosting,completed,response,1.1095143399877048,
summary_vehicle_30s_histgb,higher,inner_validation,inner_train,leave_one_view_out__fold03,auprc,False,bce,completed,high_response,0.8875,
summary_dual_30s_histgb,higher,inner_validation,inner_train,leave_one_view_out__fold03,macro_f1,False,hist_gradient_boosting,completed,maneuver,0.0,
summary_dual_30s_histgb,lower,inner_validation,inner_train,leave_one_view_out__fold03,rmse,False,hist_gradient_boosting,completed,response,1.1095143399877048,
summary_dual_30s_histgb,higher,inner_validation,inner_train,leave_one_view_out__fold03,auprc,False,balanced_bce,completed,high_response,0.8875,
sequence_minirocket_1000,higher,inner_validation,inner_train,leave_one_view_out__fold03,macro_f1,False,balanced_logistic,completed,maneuver,0.19999999999999998,
sequence_minirocket_1000,lower,inner_validation,inner_train,leave_one_view_out__fold03,rmse,False,ridge_alpha=0.1;target=log1p,completed,response,0.9977997314334839,
sequence_minirocket_1000,higher,inner_validation,inner_train,leave_one_view_out__fold03,auprc,False,continuous_regression_threshold,completed,high_response,0.9166666666666666,
sequence_minirocket_5000,higher,inner_validation,inner_train,leave_one_view_out__fold03,macro_f1,False,ordinal_cumulative,completed,maneuver,0.24242424242424243,
sequence_minirocket_5000,lower,inner_validation,inner_train,leave_one_view_out__fold03,rmse,False,ridge_alpha=100;target=log1p,completed,response,1.1882376183651793,
sequence_minirocket_5000,higher,inner_validation,inner_train,leave_one_view_out__fold03,auprc,False,bce,completed,high_response,0.9166666666666666,
sequence_multirocket,higher,inner_validation,inner_train,leave_one_view_out__fold03,macro_f1,False,balanced_logistic,completed,maneuver,0.27777777777777773,
sequence_multirocket,lower,inner_validation,inner_train,leave_one_view_out__fold03,rmse,False,ridge_alpha=10;target=log1p,completed,response,1.459287199067222,
sequence_multirocket,higher,inner_validation,inner_train,leave_one_view_out__fold03,auprc,False,joint_regression_risk,completed,high_response,0.9166666666666666,
sequence_hydra,higher,inner_validation,inner_train,leave_one_view_out__fold03,macro_f1,False,continuous_score_then_bucket,completed,maneuver,0.22857142857142856,
