fold_id,purged_train_context_count,maneuver_lower_bound,maneuver_upper_bound,high_response_threshold,train_maneuver_count,train_maneuver_class_counts,train_maneuver_class_count,train_response_count,train_response_mean,train_response_std,train_high_response_rate,validation_maneuver_count,validation_maneuver_class_counts,validation_maneuver_class_count,validation_response_count,validation_response_mean,validation_response_std,validation_high_response_rate
leave_one_view_out__fold01,0,0.28756083658243436,0.5683197409473026,1.1652492008327062,31,0:11;1:10;2:10,3,30,1.093804582125447,0.7243874612785828,0.26666666666666666,31,0:11;1:10;2:10,3,30,1.290711895102891,0.7806327350699561,0.43333333333333335
leave_one_view_out__fold02,0,0.28756083658243436,0.5683197409473026,1.1652492008327062,31,0:11;1:10;2:10,3,30,1.093804582125447,0.7243874612785828,0.26666666666666666,31,0:11;1:10;2:10,3,30,1.290711895102891,0.7806327350699561,0.43333333333333335
leave_one_view_out__fold03,2,0.2847171204348149,1.0841579481244639,0.971294898831908,36,0:12;1:12;2:12,3,36,1.0285570882892492,0.64518540204367,0.2777777777777778,14,1:8;2:6,2,12,1.4983093943476042,1.0498596485892129,0.6666666666666666
