representation_route,optimizer_update,dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,smoke_only
self_supervised,50,model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,macro_f1,0.6183028816921344,higher,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,rmse,0.1446529971824847,lower,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,frame_macro_f1,0.5674245314376694,higher,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,segmental_f1_iou_0.50,0.4140928495121364,higher,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,boundary_f1_1s,0.2593654223340513,higher,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,boundary_detection_delay_s,3.682898773006135,lower,available,,False
self_supervised,200,model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,macro_f1,0.6080012725682017,higher,available,,False
self_supervised,200,model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,rmse,0.1514847960024389,lower,available,,False
self_supervised,200,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,frame_macro_f1,0.6374143713275717,higher,available,,False
self_supervised,200,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,segmental_f1_iou_0.50,0.5112320622086247,higher,available,,False
self_supervised,200,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,boundary_f1_1s,0.2830040402306027,higher,available,,False
self_supervised,200,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,boundary_detection_delay_s,3.4133663366336635,lower,available,,False
self_supervised,500,model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,macro_f1,0.6056512298936877,higher,available,,False
self_supervised,500,model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,rmse,0.1486505384210252,lower,available,,False
self_supervised,500,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,frame_macro_f1,0.6858557884742502,higher,available,,False
self_supervised,500,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,segmental_f1_iou_0.50,0.5914933915910479,higher,available,,False
self_supervised,500,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,boundary_f1_1s,0.310234427031302,higher,available,,False
self_supervised,500,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,boundary_detection_delay_s,2.6983642578125,lower,available,,False
task_guided,50,model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,macro_f1,0.6054080486061594,higher,available,,False
task_guided,50,model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,rmse,0.1463055999129644,lower,available,,False
task_guided,50,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,frame_macro_f1,0.7004149015832244,higher,available,,False
task_guided,50,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,segmental_f1_iou_0.50,0.5964530261405262,higher,available,,False
task_guided,50,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,boundary_f1_1s,0.3330931438353313,higher,available,,False
task_guided,50,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,boundary_detection_delay_s,2.723907766990292,lower,available,,False
task_guided,200,model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,macro_f1,0.6425222333077687,higher,available,,False
task_guided,200,model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,rmse,0.144934109241853,lower,available,,False
task_guided,200,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,frame_macro_f1,0.7145384334997051,higher,available,,False
task_guided,200,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,segmental_f1_iou_0.50,0.6263698107448107,higher,available,,False
task_guided,200,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,boundary_f1_1s,0.3498163295038294,higher,available,,False
task_guided,200,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,boundary_detection_delay_s,2.6831896551724137,lower,available,,False
task_guided,500,model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,macro_f1,0.6306776956057532,higher,available,,False
task_guided,500,model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,rmse,0.1468201884568019,lower,available,,False
task_guided,500,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,frame_macro_f1,0.7213509820813989,higher,available,,False
task_guided,500,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,segmental_f1_iou_0.50,0.6375517928252303,higher,available,,False
task_guided,500,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,boundary_f1_1s,0.345503108003108,higher,available,,False
task_guided,500,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris,17,v4_simulation_g1_development_g2_confirmation,validation,boundary_detection_delay_s,2.937021072796935,lower,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_future_workload_classification,linear,physiology_only,17,v4_simulation_g1_development_g2_confirmation,validation,macro_f1,0.561422817444227,higher,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_future_workload_regression,linear,physiology_only,17,v4_simulation_g1_development_g2_confirmation,validation,rmse,0.1735743531168526,lower,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,v4_simulation_g1_development_g2_confirmation,validation,frame_macro_f1,0.3307335776325109,higher,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,v4_simulation_g1_development_g2_confirmation,validation,segmental_f1_iou_0.50,0.2690866565521896,higher,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,v4_simulation_g1_development_g2_confirmation,validation,boundary_f1_1s,0.1253877849580974,higher,available,,False
self_supervised,50,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,v4_simulation_g1_development_g2_confirmation,validation,boundary_detection_delay_s,4.6838235294117645,lower,available,,False
self_supervised,200,model_independent_aviation_simulation,simulated_future_workload_classification,linear,physiology_only,17,v4_simulation_g1_development_g2_confirmation,validation,macro_f1,0.5331581598478383,higher,available,,False
self_supervised,200,model_independent_aviation_simulation,simulated_future_workload_regression,linear,physiology_only,17,v4_simulation_g1_development_g2_confirmation,validation,rmse,0.1783144961660051,lower,available,,False
self_supervised,200,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,v4_simulation_g1_development_g2_confirmation,validation,frame_macro_f1,0.3443148375237379,higher,available,,False
self_supervised,200,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,v4_simulation_g1_development_g2_confirmation,validation,segmental_f1_iou_0.50,0.2593332448801199,higher,available,,False
self_supervised,200,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,v4_simulation_g1_development_g2_confirmation,validation,boundary_f1_1s,0.1639478576978577,higher,available,,False
self_supervised,200,model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,v4_simulation_g1_development_g2_confirmation,validation,boundary_detection_delay_s,4.994019138755981,lower,available,,False
self_supervised,500,model_independent_aviation_simulation,simulated_future_workload_classification,linear,physiology_only,17,v4_simulation_g1_development_g2_confirmation,validation,macro_f1,0.5419305315678372,higher,available,,False
