seed,method_name,target_name,status,selected_alpha,protocol_sha256,fit_role,selection_role,g2_used_for_model_selection
17,naive_time_sync,relative_clock_offset_magnitude_s,completed,100.0,ce3a72c007355bc00148c91d56b9e1449f0a42ea53e7d164204c7297e035dd0a,g1_train,g1_validation,False
17,naive_time_sync,primary_physiology_response_lag_s,completed,100.0,b529608a0b68de6b7430ef0732f583acd383e11fc10bcb3ebde38ce2ec9c3860,g1_train,g1_validation,False
17,mult,relative_clock_offset_magnitude_s,completed,1.0,969bd190d717f5d4d1803d2704ba61f0f43eef403e5d8027524ba9280538603e,g1_train,g1_validation,False
17,mult,primary_physiology_response_lag_s,completed,0.1,8e2456eaa7f3356252b048c8c269cb962ccabbe13f1ba20b10407191f2ec784c,g1_train,g1_validation,False
17,contiformer,relative_clock_offset_magnitude_s,completed,1.0,47a7c582b5fc0a26bfdbb4d815f602761aef2488c81881f7300a5558c332ba00,g1_train,g1_validation,False
17,contiformer,primary_physiology_response_lag_s,completed,0.1,b737970e1358dc9cf0ed0485424f4387814c5c6b945f109c5438f8b4babad662,g1_train,g1_validation,False
17,chronaris,relative_clock_offset_magnitude_s,completed,0.1,8ceaff66ac78478b421e711f7064d89da2b526a679ef701c621e095a2bf9f443,g1_train,g1_validation,False
17,chronaris,primary_physiology_response_lag_s,completed,0.1,30e676744c7c9c168d615338738165115f99bbb4b7aa143d53fbff64db1a61bc,g1_train,g1_validation,False
29,naive_time_sync,relative_clock_offset_magnitude_s,completed,100.0,d668d2d10e49ad24ee9cffea61156449bb22742e0dd34ed08b135f8939e95c1a,g1_train,g1_validation,False
29,naive_time_sync,primary_physiology_response_lag_s,completed,100.0,25651af89d853d3ce65ea69a0135f340e6c123b484dd2b99ec8a667c22757517,g1_train,g1_validation,False
29,mult,relative_clock_offset_magnitude_s,completed,1.0,1e1a386cddd0b32401050c2e8f9794a4b980e3eae7fb4e01669a01760042ec53,g1_train,g1_validation,False
29,mult,primary_physiology_response_lag_s,completed,1.0,13eeea512f601593c5219b3560f5ee7e77b37af140dc2d25e96945eb05d005e6,g1_train,g1_validation,False
29,contiformer,relative_clock_offset_magnitude_s,completed,1.0,b28fc047a6e2145020b44766967427b676b16b996755a7f2aadc142cd81f2c8e,g1_train,g1_validation,False
29,contiformer,primary_physiology_response_lag_s,completed,1.0,754c8e161e6b4c117522082a7013c52f178788da84ed816cb9e1e40d73e9db75,g1_train,g1_validation,False
29,chronaris,relative_clock_offset_magnitude_s,completed,1.0,3e3b64797b9db062af2d2e3d4828f4da3ba69fb5a898d04f96704aafad82835d,g1_train,g1_validation,False
29,chronaris,primary_physiology_response_lag_s,completed,1.0,b266947a79bd711260fdf75fa5a2dda49dc3dde2bf45fbb541bf5456ac55a9ef,g1_train,g1_validation,False
43,naive_time_sync,relative_clock_offset_magnitude_s,completed,100.0,578027f063aa996580f82fd62390db55b774eb56f912ab6ef1ec20b9e4444f27,g1_train,g1_validation,False
43,naive_time_sync,primary_physiology_response_lag_s,completed,100.0,27e47f63efe4a3899cb874100d74644b79f43c088ddf9413ef69bb2aeba84ef0,g1_train,g1_validation,False
43,mult,relative_clock_offset_magnitude_s,completed,0.1,b1b1c182c0410081ccd0c69a7997020e6fcbc7fa41e04556899e93354c3d7429,g1_train,g1_validation,False
43,mult,primary_physiology_response_lag_s,completed,0.1,24cf91271b951cca31fa14561e163f007a161c801614a7306a407ea7a9d17900,g1_train,g1_validation,False
43,contiformer,relative_clock_offset_magnitude_s,completed,1.0,debbb0e442297591b96423ed509bc44f4dfeed45936511ecf75f022b0f38d285,g1_train,g1_validation,False
43,contiformer,primary_physiology_response_lag_s,completed,0.1,6f071e045079a78d773a9e555f251039e0b0e93fe481d8c02e105aeb27d32df3,g1_train,g1_validation,False
43,chronaris,relative_clock_offset_magnitude_s,completed,0.1,0326d617f27f7c737a99085fe9005159f99e880675a0aec8d60b4d984cdddaa9,g1_train,g1_validation,False
43,chronaris,primary_physiology_response_lag_s,completed,1.0,9baa15b3c9465099a782cd50052682c1e9c03208d829620ef4e5ed3d70d9bd06,g1_train,g1_validation,False
