seed,scenario_id,role,reference_method,comparison_method,consumer,unit_metric,difference_semantics,mean_difference,bootstrap_lower,bootstrap_upper,permutation_p_value,independent_unit_count,smoke_only
17,clock_offset_+0.00s,held_out,chronaris,contiformer,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.05326042617899481,-0.9952027096773071,1.070694921043658,0.9263073692630737,48,False
17,clock_offset_+0.00s,held_out,chronaris,mult,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,4.770378862023004,3.1808160475469633,6.332592856071236,9.999000099990002e-05,48,False
17,clock_offset_+0.00s,held_out,chronaris,naive_time_sync,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.47680652886706043,-0.5863799844810869,1.497235194313339,0.38046195380461956,48,False
17,clock_offset_+0.00s,held_out,chronaris,contiformer,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,-0.0063304466505845385,-0.12997083125325543,0.13438619412481767,0.9271072892710729,48,False
17,clock_offset_+0.00s,held_out,chronaris,mult,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,0.20674209607144198,0.0710147640046974,0.35137763841388114,0.007999200079992,48,False
17,clock_offset_+0.00s,held_out,chronaris,naive_time_sync,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,0.19949556390444437,0.11309912798460572,0.29267042537685484,0.00029997000299970003,48,False
17,clock_offset_-0.25s,held_out,chronaris,contiformer,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.529747090976424,-0.3925864453701395,1.3660713015538815,0.25207479252074794,48,False
17,clock_offset_-0.25s,held_out,chronaris,mult,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,3.1576009491786654,1.8689155874345875,4.478953755094558,9.999000099990002e-05,48,False
17,clock_offset_-0.25s,held_out,chronaris,naive_time_sync,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.5382388552331105,-0.547377173253508,1.5736986788637117,0.3250674932506749,48,False
17,clock_offset_-0.25s,held_out,chronaris,contiformer,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,0.14817353679488102,0.02175297507395347,0.29037099717340115,0.040195980401959805,48,False
17,clock_offset_-0.25s,held_out,chronaris,mult,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,0.017581949320932228,-0.11187352066238722,0.15660174067597832,0.8034196580341966,48,False
17,clock_offset_-0.25s,held_out,chronaris,naive_time_sync,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,-0.001762143336236477,-0.0837170403993999,0.08703497980410853,0.9647035296470353,48,False
17,clock_offset_+0.25s,held_out,chronaris,contiformer,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.5073262498910286,-0.4086370852645385,1.3377084136276576,0.27417258274172585,48,False
17,clock_offset_+0.25s,held_out,chronaris,mult,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,3.1837338705564835,1.900739660761873,4.505515491951562,9.999000099990002e-05,48,False
17,clock_offset_+0.25s,held_out,chronaris,naive_time_sync,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.5478330076041992,-0.5365449307823216,1.5867459224298135,0.31596840315968405,48,False
17,clock_offset_+0.25s,held_out,chronaris,contiformer,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,0.15162616347273192,0.02747801992421349,0.29474619279305136,0.0347965203479652,48,False
17,clock_offset_+0.25s,held_out,chronaris,mult,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,0.020754670724272728,-0.10933854623387257,0.1597740488282094,0.7729227077292271,48,False
17,clock_offset_+0.25s,held_out,chronaris,naive_time_sync,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,-0.004492904680470626,-0.0862235934395964,0.08430726762550561,0.9162083791620838,48,False
17,clock_offset_-1.00s,held_out,chronaris,contiformer,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.037308862924722574,-1.0246750124608501,1.0690127040449673,0.9474052594740526,48,False
17,clock_offset_-1.00s,held_out,chronaris,mult,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,4.742000093561799,3.1537423965315523,6.327956600066337,9.999000099990002e-05,48,False
17,clock_offset_-1.00s,held_out,chronaris,naive_time_sync,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.4573570130303679,-0.6065037307497164,1.4825727020210795,0.40315968403159685,48,False
17,clock_offset_-1.00s,held_out,chronaris,contiformer,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,0.11229598522186279,0.010975916264578701,0.21596156125888222,0.0392960703929607,48,False
17,clock_offset_-1.00s,held_out,chronaris,mult,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,-0.46763257930676144,-0.6075115308010329,-0.3272594687063247,9.999000099990002e-05,48,False
17,clock_offset_-1.00s,held_out,chronaris,naive_time_sync,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,-0.9258585891996821,-1.057913896852794,-0.793157791066915,9.999000099990002e-05,48,False
17,clock_offset_+1.00s,held_out,chronaris,contiformer,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.0751303710523475,-0.9743878356557377,1.0883508803278836,0.8956104389561044,48,False
17,clock_offset_+1.00s,held_out,chronaris,mult,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,4.816408300598113,3.245633178078812,6.364772943090537,9.999000099990002e-05,48,False
17,clock_offset_+1.00s,held_out,chronaris,naive_time_sync,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.49765748033997864,-0.581913900418669,1.5218706763672034,0.35826417358264173,48,False
17,clock_offset_+1.00s,held_out,chronaris,contiformer,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,0.12432589506109555,0.027289587787042064,0.22739602133321254,0.024897510248975102,48,False
17,clock_offset_+1.00s,held_out,chronaris,mult,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,-0.44855596000949544,-0.5849337273277342,-0.3074788428687804,9.999000099990002e-05,48,False
17,clock_offset_+1.00s,held_out,chronaris,naive_time_sync,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,-0.923207052052021,-1.057242701947689,-0.7862815823716421,9.999000099990002e-05,48,False
17,clock_offset_-3.00s,held_out,chronaris,contiformer,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.085420513014559,-1.0100124768112242,1.1294112758713986,0.881011898810119,48,False
17,clock_offset_-3.00s,held_out,chronaris,mult,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,4.661163662075647,3.0685912092936127,6.294108703090154,9.999000099990002e-05,48,False
17,clock_offset_-3.00s,held_out,chronaris,naive_time_sync,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.41661515656921416,-0.6434964577684731,1.444350390167927,0.44685531446855314,48,False
17,clock_offset_-3.00s,held_out,chronaris,contiformer,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,0.08194611283640067,-0.051389995791638894,0.21286839166035249,0.25147485251474855,48,False
17,clock_offset_-3.00s,held_out,chronaris,mult,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,-0.9131085940947136,-1.0492438412426661,-0.7798316582261274,9.999000099990002e-05,48,False
17,clock_offset_-3.00s,held_out,chronaris,naive_time_sync,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,-1.122392867691815,-1.2896068102136875,-0.9557295662118124,9.999000099990002e-05,48,False
17,clock_offset_+3.00s,held_out,chronaris,contiformer,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.10671110964898445,-0.9228763145856652,1.1354973729107725,0.8476152384761524,48,False
17,clock_offset_+3.00s,held_out,chronaris,mult,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,4.93168339137321,3.4176770236592997,6.4391926984999825,9.999000099990002e-05,48,False
17,clock_offset_+3.00s,held_out,chronaris,naive_time_sync,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.5385077819235866,-0.5496538675691975,1.5717357368200748,0.32196780321967805,48,False
17,clock_offset_+3.00s,held_out,chronaris,contiformer,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,0.08029255829751492,-0.06350793577730655,0.21462314665938367,0.2830716928307169,48,False
17,clock_offset_+3.00s,held_out,chronaris,mult,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,-0.8819691265622774,-1.0246732851335159,-0.743705678684637,9.999000099990002e-05,48,False
17,clock_offset_+3.00s,held_out,chronaris,naive_time_sync,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,-1.1083101416006684,-1.2730577855758989,-0.9404652168198178,9.999000099990002e-05,48,False
17,clock_drift_+000ppm,held_out,chronaris,contiformer,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.05326042617899481,-0.9952027096773071,1.070694921043658,0.9263073692630737,48,False
17,clock_drift_+000ppm,held_out,chronaris,mult,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,4.770378862023004,3.1808160475469633,6.332592856071236,9.999000099990002e-05,48,False
17,clock_drift_+000ppm,held_out,chronaris,naive_time_sync,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.47680652886706043,-0.5863799844810869,1.497235194313339,0.38046195380461956,48,False
17,clock_drift_+000ppm,held_out,chronaris,contiformer,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,-0.0063304466505845385,-0.12997083125325543,0.13438619412481767,0.9271072892710729,48,False
17,clock_drift_+000ppm,held_out,chronaris,mult,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,0.20674209607144198,0.0710147640046974,0.35137763841388114,0.007999200079992,48,False
17,clock_drift_+000ppm,held_out,chronaris,naive_time_sync,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,0.19949556390444437,0.11309912798460572,0.29267042537685484,0.00029997000299970003,48,False
17,clock_drift_-050ppm,held_out,chronaris,contiformer,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.8345567395047341,-0.09130071285801195,1.7344855116807067,0.08339166083391661,48,False
17,clock_drift_-050ppm,held_out,chronaris,mult,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,3.0657351782442728,1.8549175941489424,4.307953275344362,9.999000099990002e-05,48,False
17,clock_drift_-050ppm,held_out,chronaris,naive_time_sync,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.611959542615582,-0.4950081068690177,1.6743396081530706,0.2675732426757324,48,False
