seed,method,scenario_id,task,target,consumer,metric,value,direction,available,trajectory_count,tolerance_s,smoke_only
43,naive_time_sync,physiology_lag_02s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,6.587859864721067,lower,True,48,2.0,False
43,naive_time_sync,physiology_lag_02s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.375,higher,True,48,2.0,False
43,naive_time_sync,physiology_lag_02s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,-0.1214211923663032,higher,True,48,2.0,False
43,naive_time_sync,physiology_lag_05s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,mae_s,0.9676413436730703,lower,True,48,0.5,False
43,naive_time_sync,physiology_lag_05s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,rmse_s,0.9775490955576873,lower,True,48,0.5,False
43,naive_time_sync,physiology_lag_05s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,0.0,higher,True,48,0.5,False
43,naive_time_sync,physiology_lag_05s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False
43,naive_time_sync,physiology_lag_05s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,mae_s,4.705706025892802,lower,True,48,2.0,False
43,naive_time_sync,physiology_lag_05s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,5.600691095584243,lower,True,48,2.0,False
43,naive_time_sync,physiology_lag_05s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.22916666666666666,higher,True,48,2.0,False
43,naive_time_sync,physiology_lag_05s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,-0.11485788467082736,higher,True,48,2.0,False
43,naive_time_sync,physiology_lag_15s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,mae_s,0.9618795787294706,lower,True,48,0.5,False
43,naive_time_sync,physiology_lag_15s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,rmse_s,0.97179657582713,lower,True,48,0.5,False
43,naive_time_sync,physiology_lag_15s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,0.0,higher,True,48,0.5,False
43,naive_time_sync,physiology_lag_15s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False
