candidate_id,maneuver_mean_macro_f1,maneuver_median_macro_f1,maneuver_worst_macro_f1,response_median_rmse_ratio,response_mean_skill,response_positive_skill_count,high_response_mean_normalized_ap,high_response_median_normalized_ap,high_response_positive_split_count,maneuver_safe_support_count,response_safe_support_count,high_response_safe_support_count,maneuver_mean_improved,response_mean_improved,high_response_mean_improved,improved_task_count,gate_non_degenerate,partial_safety_passed,research_gate_passed,ranking_score,outer_test_opened
partial_ratio_0.02,0.9163580246913581,0.962962962962963,0.75,1.0071481116402126,-0.20409799965554987,3,0.3794203514739229,0.4201785714285714,5,6,6,6,False,False,True,1,True,True,False,1.2886302645250685,False
partial_ratio_0.05,0.9163580246913581,0.962962962962963,0.75,1.006697680950681,-0.20324914184554363,3,0.3773424293960008,0.4201785714285714,5,6,6,6,False,True,False,1,True,True,False,1.287002773136678,False
