candidate_id,direct_value,direction,direction_normalized_delta,metric,outer_test_opened,split_id,task,value,variant
observed_vehicle_scalar,0.7424450098311778,diagnostic,0.0,validation_std,False,leave_one_view_out__fold01__candidate_327,response,0.7424450098311778,full
observed_vehicle_scalar,0.8094986823286678,diagnostic,0.0,validation_iqr,False,leave_one_view_out__fold01__candidate_327,response,0.8094986823286678,full
observed_vehicle_scalar,1.4949326206115143,diagnostic,0.0,nrmse_std,False,leave_one_view_out__fold01__candidate_327,response,1.4949326206115143,full
observed_vehicle_scalar,1.37110200230842,diagnostic,0.0,nrmse_iqr,False,leave_one_view_out__fold01__candidate_327,response,1.37110200230842,full
observed_vehicle_scalar,0.9686999988458442,diagnostic,0.0,train_mean_baseline_rmse,False,leave_one_view_out__fold01__candidate_327,response,0.9686999988458442,full
observed_vehicle_scalar,1.1457677975939493,diagnostic,0.0,rmse_ratio,False,leave_one_view_out__fold01__candidate_327,response,1.1457677975939493,full
observed_vehicle_scalar,-0.31278384600328857,diagnostic,0.0,response_skill,False,leave_one_view_out__fold01__candidate_327,response,-0.31278384600328857,full
observed_vehicle_scalar,0.3636363636363637,diagnostic,0.0,spearman,False,leave_one_view_out__fold01__candidate_327,response,0.3636363636363637,full
observed_vehicle_scalar,0.7550459956709956,higher,0.0,auprc,False,leave_one_view_out__fold01__candidate_327,high_response,0.7550459956709956,full
observed_vehicle_scalar,0.6666666666666666,diagnostic,0.0,prevalence,False,leave_one_view_out__fold01__candidate_327,high_response,0.6666666666666666,full
observed_vehicle_scalar,0.6666666666666666,diagnostic,0.0,random_baseline_auprc,False,leave_one_view_out__fold01__candidate_327,high_response,0.6666666666666666,full
observed_vehicle_scalar,0.2651379870129869,diagnostic,0.0,normalized_ap,False,leave_one_view_out__fold01__candidate_327,high_response,0.2651379870129869,full
observed_vehicle_scalar,0.08837932900432899,diagnostic,0.0,auprc_lift,False,leave_one_view_out__fold01__candidate_327,high_response,0.08837932900432899,full
observed_vehicle_scalar,0.5,diagnostic,0.0,auroc,False,leave_one_view_out__fold01__candidate_327,high_response,0.5,full
observed_vehicle_scalar,0.5,diagnostic,0.0,balanced_accuracy,False,leave_one_view_out__fold01__candidate_327,high_response,0.5,full
vehicle_vehicle_scalar,,higher,,macro_f1,False,leave_one_view_out__fold01__candidate_327,maneuver,0.8222222222222223,direct_only
vehicle_vehicle_scalar,,diagnostic,,support_aware_macro_f1,False,leave_one_view_out__fold01__candidate_327,maneuver,0.8222222222222223,direct_only
