best_epoch,candidate_id,epoch,epoch_count,gate_high_response,gate_maneuver,gate_response,gradient_norm_before_clip,improved,outer_test_opened,safety_passed,split_id,train_maneuver_loss,train_response_loss,train_risk_loss,train_score_loss,train_total_loss,validation_safe,validation_selection_score
0,partial_ratio_0.02,1,6,0.04720057174563408,0.04720057174563408,0.04720057174563408,0.04243576526641846,False,False,True,leave_one_view_out__fold01__candidate_327,3.1939029693603516,0.8804284334182739,1.9307204484939575,0.6345757842063904,6.133863925933838,True,1.9151116951376976
0,partial_ratio_0.02,2,6,0.04698757827281952,0.04709702730178833,0.04702391102910042,0.056453853845596313,False,False,True,leave_one_view_out__fold01__candidate_327,3.193307638168335,0.8800381422042847,1.930516242980957,0.6340368390083313,6.132557392120361,True,1.9155179111530312
0,partial_ratio_0.02,3,6,0.04696899652481079,0.04722025990486145,0.04712739959359169,0.12702706456184387,False,False,True,leave_one_view_out__fold01__candidate_327,3.1911818981170654,0.8781435489654541,1.9297235012054443,0.63205486536026,6.127340316772461,True,1.9168258671294445
0,partial_ratio_0.02,4,6,0.04708226025104523,0.04737501218914986,0.04728306457400322,0.24254530668258667,False,False,True,leave_one_view_out__fold01__candidate_327,3.1858325004577637,0.876632571220398,1.9285143613815308,0.628689169883728,6.118598461151123,True,1.9192820236099633
0,partial_ratio_0.02,5,6,0.04723164439201355,0.047550883144140244,0.04744945466518402,0.2880660593509674,False,False,True,leave_one_view_out__fold01__candidate_327,3.1817195415496826,0.8713669180870056,1.9254679679870605,0.623856246471405,6.1052117347717285,True,1.923434069433331
0,partial_ratio_0.02,6,6,0.047402750700712204,0.047731947153806686,0.04763113334774971,0.5951939821243286,False,False,True,leave_one_view_out__fold01__candidate_327,3.1705942153930664,0.8677301406860352,1.923124074935913,0.6161989569664001,6.0865797996521,False,1.9272997920978905
0,partial_ratio_0.05,1,6,0.04720057174563408,0.04720057174563408,0.04720057174563408,0.041953496634960175,False,False,True,leave_one_view_out__fold01__candidate_327,3.1939029693603516,0.8804284334182739,1.9307204484939575,0.6345757842063904,6.133863925933838,True,1.915157064074033
0,partial_ratio_0.05,2,6,0.04698295518755913,0.04714672267436981,0.04697953164577484,0.05756825953722,False,False,True,leave_one_view_out__fold01__candidate_327,3.1931774616241455,0.8803236484527588,1.930564045906067,0.6338809728622437,6.1327290534973145,True,1.915420490318486
0,partial_ratio_0.05,3,6,0.04687679931521416,0.047280095517635345,0.047007184475660324,0.11082735657691956,False,False,True,leave_one_view_out__fold01__candidate_327,3.1906116008758545,0.8790270686149597,1.9300336837768555,0.6324591636657715,6.128045082092285,True,1.9165218408535782
0,partial_ratio_0.05,4,6,0.04697217419743538,0.047440558671951294,0.04713715612888336,0.24250464141368866,False,False,True,leave_one_view_out__fold01__candidate_327,3.18542218208313,0.8770115375518799,1.928444266319275,0.6293615698814392,6.1186299324035645,True,1.917952544276726
0,partial_ratio_0.05,5,6,0.04710741341114044,0.047616686671972275,0.04730169102549553,0.3944653868675232,False,False,True,leave_one_view_out__fold01__candidate_327,3.1793107986450195,0.8758515119552612,1.9289588928222656,0.6242159605026245,6.1108479499816895,True,1.9209682815361515
0,partial_ratio_0.05,6,6,0.04727264493703842,0.04779892414808273,0.0474744588136673,0.4297015368938446,False,False,True,leave_one_view_out__fold01__candidate_327,3.1675734519958496,0.8707614541053772,1.9275312423706055,0.6177259087562561,6.0913004875183105,True,1.9240996427660249
1,partial_ratio_0.02,1,7,0.046754222363233566,0.04720192030072212,0.04675424471497536,0.08026298135519028,True,False,True,leave_one_view_out__fold01__candidate_339,3.103389263153076,0.8290868997573853,1.7325185537338257,0.527127206325531,5.772299289703369,True,1.05762077367008
1,partial_ratio_0.02,2,7,0.0468733012676239,0.04742218926548958,0.04688690975308418,0.14751842617988586,False,False,True,leave_one_view_out__fold01__candidate_339,3.1026852130889893,0.8285560607910156,1.7300617694854736,0.5264740586280823,5.768472194671631,True,1.0584256919696884
1,partial_ratio_0.02,3,7,0.047040730714797974,0.047617435455322266,0.0470525324344635,0.18362504243850708,False,False,True,leave_one_view_out__fold01__candidate_339,3.099341869354248,0.8273912668228149,1.7271480560302734,0.5248368382453918,5.760725975036621,True,1.0600836069711739
1,partial_ratio_0.02,4,7,0.04722294211387634,0.04781853407621384,0.04723396152257919,0.2373923808336258,False,False,True,leave_one_view_out__fold01__candidate_339,3.096930980682373,0.8260645270347595,1.7229915857315063,0.5247875452041626,5.752825736999512,True,1.0621222103813934
1,partial_ratio_0.02,5,7,0.04741552472114563,0.048019666224718094,0.04742127284407616,0.34773603081703186,False,False,True,leave_one_view_out__fold01__candidate_339,3.091804027557373,0.8236863017082214,1.7187941074371338,0.5213353633880615,5.740436553955078,True,1.0650572210968896
1,partial_ratio_0.02,6,7,0.04761331155896187,0.04821941256523132,0.04761455953121185,0.42399072647094727,False,False,True,leave_one_view_out__fold01__candidate_339,3.0834760665893555,0.8207641839981079,1.7119791507720947,0.518388569355011,5.7217888832092285,False,1.0685813046763248
1,partial_ratio_0.02,7,7,0.047820739448070526,0.04842175170779228,0.04780273512005806,0.47470366954803467,False,False,True,leave_one_view_out__fold01__candidate_339,3.0739855766296387,0.8122949600219727,1.7168940305709839,0.5125314593315125,5.707579612731934,False,1.073169822365585
1,partial_ratio_0.05,1,7,0.04720185697078705,0.04720192030072212,0.04720190912485123,0.08484121412038803,True,False,True,leave_one_view_out__fold01__candidate_339,3.1040406227111816,0.8288190960884094,1.7319456338882446,0.5273641347885132,5.772157192230225,True,1.0576616748649084
1,partial_ratio_0.05,2,7,0.047371864318847656,0.047385670244693756,0.047402020543813705,0.12910382449626923,False,False,True,leave_one_view_out__fold01__candidate_339,3.1020944118499756,0.8283006548881531,1.7299213409423828,0.5264497399330139,5.767489910125732,True,1.058675874233695
1,partial_ratio_0.05,3,7,0.04755580052733421,0.04758482053875923,0.04757721722126007,0.17540112137794495,False,False,True,leave_one_view_out__fold01__candidate_339,3.1009364128112793,0.8258067965507507,1.7269928455352783,0.5250504016876221,5.7606329917907715,True,1.0600270029862116
1,partial_ratio_0.05,4,7,0.04773958772420883,0.04777767136693001,0.047770675271749496,0.2675880491733551,False,False,True,leave_one_view_out__fold01__candidate_339,3.096613645553589,0.8249090313911438,1.7204782962799072,0.5226259827613831,5.748416900634766,True,1.062243226574219
1,partial_ratio_0.05,5,7,0.047937024384737015,0.04797207564115524,0.04796316474676132,0.31476539373397827,False,False,True,leave_one_view_out__fold01__candidate_339,3.091327428817749,0.8202669024467468,1.7182579040527344,0.519936740398407,5.735735893249512,False,1.0652798205182057
1,partial_ratio_0.05,6,7,0.04813680052757263,0.04816884547472,0.04816308245062828,0.4609487056732178,False,False,True,leave_one_view_out__fold01__candidate_339,3.083552122116089,0.8168409466743469,1.7080620527267456,0.5177497863769531,5.7139081954956055,False,1.0694840832830437
1,partial_ratio_0.05,7,7,0.04834311082959175,0.04836870729923248,0.048370398581027985,0.5789944529533386,False,False,True,leave_one_view_out__fold01__candidate_339,3.073256731033325,0.8128666281700134,1.7011549472808838,0.5135625600814819,5.691901683807373,False,1.0719603885802962
0,partial_ratio_0.02,1,6,0.04720057174563408,0.04720057174563408,0.04720057174563408,0.03492876887321472,False,False,True,leave_one_view_out__fold01__candidate_340,2.423459053039551,0.9176634550094604,1.7731255292892456,0.5839359164237976,5.232932090759277,True,1.4288422154110143
0,partial_ratio_0.02,2,6,0.04698355123400688,0.04701126366853714,0.04701048508286476,0.039876412600278854,False,False,True,leave_one_view_out__fold01__candidate_340,2.4231173992156982,0.9173229336738586,1.772961974143982,0.5836235880851746,5.2320146560668945,True,1.4291229788672113
0,partial_ratio_0.02,3,6,0.04677378758788109,0.047068674117326736,0.046983927488327026,0.0755627378821373,False,False,True,leave_one_view_out__fold01__candidate_340,2.4220659732818604,0.9167804718017578,1.7728979587554932,0.5830550193786621,5.2302350997924805,True,1.429707677337788
0,partial_ratio_0.02,4,6,0.04676075279712677,0.04720747843384743,0.04710274934768677,0.11982354521751404,False,False,True,leave_one_view_out__fold01__candidate_340,2.4201114177703857,0.91496741771698,1.7719391584396362,0.5822466611862183,5.225343227386475,True,1.4305489715177373
0,partial_ratio_0.02,5,6,0.046821821480989456,0.047371890395879745,0.047255177050828934,0.18302074074745178,False,False,True,leave_one_view_out__fold01__candidate_340,2.417360544204712,0.9115929007530212,1.7719911336898804,0.581162691116333,5.219053745269775,True,1.4316632700762986
0,partial_ratio_0.02,6,6,0.04694288596510887,0.04755212366580963,0.047429654747247696,0.1992112100124359,False,False,True,leave_one_view_out__fold01__candidate_340,2.4145214557647705,0.9092604517936707,1.7714303731918335,0.5797563791275024,5.213042259216309,True,1.4327550747603048
0,partial_ratio_0.05,1,6,0.04720057174563408,0.04720057174563408,0.04720057174563408,0.03424685448408127,False,False,True,leave_one_view_out__fold01__candidate_340,2.423459053039551,0.9176634550094604,1.7731255292892456,0.5839359164237976,5.232932090759277,True,1.4285821008960435
0,partial_ratio_0.05,2,6,0.046988848596811295,0.04701698198914528,0.04700087010860443,0.048372793942689896,False,False,True,leave_one_view_out__fold01__candidate_340,2.4230940341949463,0.9173691272735596,1.7729105949401855,0.5834928154945374,5.231959819793701,True,1.4290922641204395
0,partial_ratio_0.05,3,6,0.04690220206975937,0.04710305109620094,0.047054219990968704,0.08275235444307327,False,False,True,leave_one_view_out__fold01__candidate_340,2.4216501712799072,0.9162148237228394,1.7724007368087769,0.5827611088752747,5.228697776794434,True,1.4295349351621764
0,partial_ratio_0.05,4,6,0.0468246154487133,0.04725142940878868,0.04719141498208046,0.10647759586572647,False,False,True,leave_one_view_out__fold01__candidate_340,2.4206080436706543,0.914535403251648,1.772681474685669,0.5827293395996094,5.2262492179870605,True,1.430954209481217
0,partial_ratio_0.05,5,6,0.04684436321258545,0.04741722717881203,0.04735603928565979,0.15116019546985626,False,False,True,leave_one_view_out__fold01__candidate_340,2.417229175567627,0.9118976593017578,1.7721854448318481,0.5804182291030884,5.219274044036865,True,1.43315187421848
0,partial_ratio_0.05,6,6,0.046961501240730286,0.047599129378795624,0.04753117263317108,0.23043762147426605,False,False,True,leave_one_view_out__fold01__candidate_340,2.4147865772247314,0.906703770160675,1.769855260848999,0.5791075229644775,5.209047794342041,True,1.4348109655767751
0,partial_ratio_0.02,1,6,0.04720057174563408,0.04720057174563408,0.04720057174563408,0.042009320110082626,False,False,True,leave_one_view_out__fold01__candidate_353,2.785257339477539,0.8396846652030945,1.711816430091858,0.5440264940261841,5.447460651397705,True,1.864364587615667
0,partial_ratio_0.02,2,6,0.04697967693209648,0.046984851360321045,0.04697824642062187,0.04887776076793671,False,False,True,leave_one_view_out__fold01__candidate_353,2.785078763961792,0.839607834815979,1.711708903312683,0.5440055727958679,5.447084426879883,True,1.8646976632630041
0,partial_ratio_0.02,3,6,0.046916961669921875,0.04700413718819618,0.04681522399187088,0.08060358464717865,False,False,True,leave_one_view_out__fold01__candidate_353,2.7840046882629395,0.8391779065132141,1.7109469175338745,0.5435370802879333,5.444715976715088,True,1.8650451732273292
