candidate_id,maneuver_anchor,response_anchor,gate_mode,maneuver_mean_macro_f1,maneuver_median_macro_f1,maneuver_worst_macro_f1,response_median_rmse_ratio,response_mean_skill,response_positive_skill_count,high_response_mean_normalized_ap,high_response_median_normalized_ap,high_response_positive_split_count,maneuver_safe_support_count,response_safe_support_count,high_response_safe_support_count,gate_non_degenerate,frozen_safety_passed,ranking_score,outer_test_opened
observed_vehicle_scalar,naive_time_sync,vehicle_only,scalar,0.6602613435946769,0.6323232323232323,0.3757575757575758,1.1362772748694168,-0.30023808479015274,1,0.12891626726448158,0.09776128633271487,6,6,6,6,True,True,0.6529003359897417,False
vehicle_vehicle_scalar,vehicle_only,vehicle_only,scalar,0.9037037037037038,0.925,0.75,1.1437762636127498,-0.3410581828092993,1,0.1282813466295609,0.09776128633271487,6,6,6,6,True,True,0.888208786720515,False
observed_physiology_scalar,naive_time_sync,physiology_only,scalar,0.6717091550424884,0.6666666666666666,0.3757575757575758,1.851391580786018,-2.8283929007606403,0,-0.07407132549989691,-0.034458874458874494,3,6,6,6,True,True,-0.2537537512434265,False
vehicle_observed_scalar,vehicle_only,naive_time_sync,scalar,0.9163580246913581,0.962962962962963,0.75,1.0071481116402126,-0.20350676752923294,3,0.3773424293960008,0.4201785714285714,5,6,6,6,True,True,1.2865523424471463,False
observed_vehicle_channel,naive_time_sync,vehicle_only,channel,0.6602613435946769,0.6323232323232323,0.3757575757575758,1.145060277229756,-0.3547773778134747,1,0.11950583642547925,0.09776128633271487,6,6,6,6,True,True,0.6347069027904002,False
