split_id,candidate_id,variant,task,metric,direction,value,direct_value,direction_normalized_delta,outer_test_opened
leave_one_view_out__fold01__candidate_327,vehicle_only,matched_task_anchor,response,nrmse_std,diagnostic,1.4949326206115143,,,False
leave_one_view_out__fold01__candidate_327,vehicle_only,matched_task_anchor,response,nrmse_iqr,diagnostic,1.37110200230842,,,False
leave_one_view_out__fold01__candidate_327,vehicle_only,matched_task_anchor,response,train_mean_baseline_rmse,diagnostic,0.9686999988458442,,,False
leave_one_view_out__fold01__candidate_327,vehicle_only,matched_task_anchor,response,rmse_ratio,diagnostic,1.1457677975939493,,,False
leave_one_view_out__fold01__candidate_327,vehicle_only,matched_task_anchor,response,response_skill,diagnostic,-0.31278384600328857,,,False
leave_one_view_out__fold01__candidate_327,vehicle_only,matched_task_anchor,response,spearman,diagnostic,0.3636363636363637,,,False
leave_one_view_out__fold01__candidate_327,vehicle_only,matched_task_anchor,high_response,auprc,higher,0.7550459956709956,,,False
leave_one_view_out__fold01__candidate_327,vehicle_only,matched_task_anchor,high_response,prevalence,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_327,vehicle_only,matched_task_anchor,high_response,random_baseline_auprc,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_327,vehicle_only,matched_task_anchor,high_response,normalized_ap,diagnostic,0.2651379870129869,,,False
leave_one_view_out__fold01__candidate_327,vehicle_only,matched_task_anchor,high_response,auprc_lift,diagnostic,0.08837932900432899,,,False
leave_one_view_out__fold01__candidate_327,vehicle_only,matched_task_anchor,high_response,auroc,diagnostic,0.5,,,False
leave_one_view_out__fold01__candidate_327,vehicle_only,matched_task_anchor,high_response,balanced_accuracy,diagnostic,0.5,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,maneuver,macro_f1,higher,0.7090909090909091,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,maneuver,support_aware_macro_f1,diagnostic,0.7090909090909091,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,maneuver,majority_macro_f1,diagnostic,0.19607843137254902,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,maneuver,macro_f1_lift,diagnostic,0.5130124777183601,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,maneuver,recall_low,diagnostic,0.8,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,maneuver,recall_medium,diagnostic,0.3333333333333333,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,maneuver,recall_high,diagnostic,1.0,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,maneuver,minimum_class_recall,diagnostic,0.3333333333333333,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,maneuver,ordinal_mae,diagnostic,0.25,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,maneuver,score_mae,diagnostic,0.38139202914806886,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,maneuver,score_spearman,diagnostic,0.7622377622377624,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,response,rmse,lower,1.1377419994354308,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,response,mae,diagnostic,0.9184632956288136,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,response,validation_std,diagnostic,0.7424450098311778,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,response,validation_iqr,diagnostic,0.8094986823286678,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,response,nrmse_std,diagnostic,1.5324259498951152,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,response,nrmse_iqr,diagnostic,1.4054896249645672,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,response,train_mean_baseline_rmse,diagnostic,0.9686999988458442,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,response,rmse_ratio,diagnostic,1.174503975215228,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,response,response_skill,diagnostic,-0.37945958779637246,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,response,spearman,diagnostic,0.3356643356643357,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,high_response,auprc,higher,0.8125,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,high_response,prevalence,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,high_response,random_baseline_auprc,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,high_response,normalized_ap,diagnostic,0.43750000000000006,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,high_response,auprc_lift,diagnostic,0.14583333333333337,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,high_response,auroc,diagnostic,0.625,,,False
leave_one_view_out__fold01__candidate_327,naive_time_sync,matched_task_anchor,high_response,balanced_accuracy,diagnostic,0.5,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,maneuver,macro_f1,higher,0.2558922558922559,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,maneuver,support_aware_macro_f1,diagnostic,0.2558922558922559,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,maneuver,majority_macro_f1,diagnostic,0.19607843137254902,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,maneuver,macro_f1_lift,diagnostic,0.059813824519706876,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,maneuver,recall_low,diagnostic,0.6,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,maneuver,recall_medium,diagnostic,0.3333333333333333,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,maneuver,recall_high,diagnostic,0.0,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,maneuver,minimum_class_recall,diagnostic,0.0,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,maneuver,ordinal_mae,diagnostic,0.75,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,maneuver,score_mae,diagnostic,2.0703124882414,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,maneuver,score_spearman,diagnostic,-0.07692307692307693,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,response,rmse,lower,1.1978194469655898,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,response,mae,diagnostic,1.022872543314114,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,response,validation_std,diagnostic,0.7424450098311778,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,response,validation_iqr,diagnostic,0.8094986823286678,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,response,nrmse_std,diagnostic,1.6133443300237928,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,response,nrmse_iqr,diagnostic,1.4797052461158402,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,response,train_mean_baseline_rmse,diagnostic,0.9686999988458442,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,response,rmse_ratio,diagnostic,1.2365226059592542,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,response,response_skill,diagnostic,-0.5289881550482649,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,response,spearman,diagnostic,0.2937062937062937,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,high_response,auprc,higher,0.7680871212121212,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,high_response,prevalence,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,high_response,random_baseline_auprc,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,high_response,normalized_ap,diagnostic,0.30426136363636364,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,high_response,auprc_lift,diagnostic,0.10142045454545456,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,high_response,auroc,diagnostic,0.5,,,False
leave_one_view_out__fold01__candidate_327,mult,matched_task_anchor,high_response,balanced_accuracy,diagnostic,0.375,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,maneuver,macro_f1,higher,0.8222222222222223,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,maneuver,support_aware_macro_f1,diagnostic,0.8222222222222223,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,maneuver,majority_macro_f1,diagnostic,0.19607843137254902,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,maneuver,macro_f1_lift,diagnostic,0.6261437908496733,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,maneuver,recall_low,diagnostic,0.8,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,maneuver,recall_medium,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,maneuver,recall_high,diagnostic,1.0,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,maneuver,minimum_class_recall,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,maneuver,ordinal_mae,diagnostic,0.16666666666666666,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,maneuver,score_mae,diagnostic,0.47350990405532783,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,maneuver,score_spearman,diagnostic,0.6153846153846154,,,False
