seed,task,consumer,metric,direction,full_method,ablation_method,full_value,ablation_value,full_advantage_normalized,positive_favors_full
17,simulated_maneuver_state_segmentation,causal_tcn_duration,boundary_f1_1s,higher,chronaris,chronaris_no_missingness_curriculum,0.1962368547846489,0.21442238742330652,-0.01818553263865763,True
17,simulated_maneuver_state_segmentation,causal_tcn_duration,boundary_f1_2s,higher,chronaris,chronaris_no_corrected_physics,0.2882631878266069,0.31145687356624857,-0.023193685739641645,True
17,simulated_maneuver_state_segmentation,causal_tcn_duration,boundary_f1_2s,higher,chronaris,chronaris_no_missingness_curriculum,0.2882631878266069,0.3041684342006033,-0.015905246373996373,True
17,simulated_maneuver_state_segmentation,causal_tcn_duration,edit_score,higher,chronaris,chronaris_no_corrected_physics,0.5335907437469938,0.5280267331048581,0.005564010642135631,True
17,simulated_maneuver_state_segmentation,causal_tcn_duration,edit_score,higher,chronaris,chronaris_no_missingness_curriculum,0.5335907437469938,0.52586899500962,0.007721748737373746,True
17,simulated_maneuver_state_segmentation,causal_tcn_duration,frame_macro_f1,higher,chronaris,chronaris_no_corrected_physics,0.3441411010983114,0.3495884696612368,-0.005447368562925381,True
17,simulated_maneuver_state_segmentation,causal_tcn_duration,frame_macro_f1,higher,chronaris,chronaris_no_missingness_curriculum,0.3441411010983114,0.3508951888254432,-0.006754087727131763,True
17,simulated_maneuver_state_segmentation,causal_tcn_duration,segmental_f1_iou_0.10,higher,chronaris,chronaris_no_corrected_physics,0.5472812290657686,0.5699206575355472,-0.022639428469778622,True
17,simulated_maneuver_state_segmentation,causal_tcn_duration,segmental_f1_iou_0.10,higher,chronaris,chronaris_no_missingness_curriculum,0.5472812290657686,0.563726208154662,-0.01644497908889342,True
17,simulated_maneuver_state_segmentation,causal_tcn_duration,segmental_f1_iou_0.25,higher,chronaris,chronaris_no_corrected_physics,0.3901180652619797,0.45452466923055157,-0.0644066039685719,True
17,simulated_maneuver_state_segmentation,causal_tcn_duration,segmental_f1_iou_0.25,higher,chronaris,chronaris_no_missingness_curriculum,0.3901180652619797,0.4300434176873322,-0.0399253524253525,True
17,simulated_maneuver_state_segmentation,causal_tcn_duration,segmental_f1_iou_0.50,higher,chronaris,chronaris_no_corrected_physics,0.2469303844303844,0.28477176163297485,-0.037841377202590454,True
17,simulated_maneuver_state_segmentation,causal_tcn_duration,segmental_f1_iou_0.50,higher,chronaris,chronaris_no_missingness_curriculum,0.2469303844303844,0.2731736001267251,-0.026243215696340694,True
17,simulated_maneuver_state_segmentation,causal_tcn_raw,boundary_detection_delay_s,lower,chronaris,chronaris_no_corrected_physics,5.35167638483965,5.058928571428571,-0.29274781341107925,True
17,simulated_maneuver_state_segmentation,causal_tcn_raw,boundary_detection_delay_s,lower,chronaris,chronaris_no_missingness_curriculum,5.35167638483965,4.9928977272727275,-0.35877865756692273,True
17,simulated_maneuver_state_segmentation,causal_tcn_raw,boundary_f1_1s,higher,chronaris,chronaris_no_corrected_physics,0.1991881093443593,0.2156795903578992,-0.016491481013539894,True
17,simulated_maneuver_state_segmentation,causal_tcn_raw,boundary_f1_1s,higher,chronaris,chronaris_no_missingness_curriculum,0.1991881093443593,0.19991179884392926,-0.0007236894995699683,True
17,simulated_maneuver_state_segmentation,causal_tcn_raw,boundary_f1_2s,higher,chronaris,chronaris_no_corrected_physics,0.2755352575665076,0.2890455702725923,-0.013510312706084715,True
17,simulated_maneuver_state_segmentation,causal_tcn_raw,boundary_f1_2s,higher,chronaris,chronaris_no_missingness_curriculum,0.2755352575665076,0.27705047642523456,-0.0015152188587269633,True
17,simulated_maneuver_state_segmentation,causal_tcn_raw,edit_score,higher,chronaris,chronaris_no_corrected_physics,0.4166479064916564,0.41447196381709256,0.0021759426745638355,True
17,simulated_maneuver_state_segmentation,causal_tcn_raw,edit_score,higher,chronaris,chronaris_no_missingness_curriculum,0.4166479064916564,0.40092999448468203,0.015717912006974366,True
17,simulated_maneuver_state_segmentation,causal_tcn_raw,frame_macro_f1,higher,chronaris,chronaris_no_corrected_physics,0.3191625024471415,0.32161084725430555,-0.002448344807164049,True
17,simulated_maneuver_state_segmentation,causal_tcn_raw,frame_macro_f1,higher,chronaris,chronaris_no_missingness_curriculum,0.3191625024471415,0.31777967675183116,0.0013828256953103413,True
17,simulated_maneuver_state_segmentation,causal_tcn_raw,segmental_f1_iou_0.10,higher,chronaris,chronaris_no_corrected_physics,0.4408810186613495,0.4442583610346768,-0.003377342373327319,True
17,simulated_maneuver_state_segmentation,causal_tcn_raw,segmental_f1_iou_0.10,higher,chronaris,chronaris_no_missingness_curriculum,0.4408810186613495,0.43787329519358353,0.003007723467765955,True
17,simulated_maneuver_state_segmentation,causal_tcn_raw,segmental_f1_iou_0.25,higher,chronaris,chronaris_no_corrected_physics,0.2911782984852838,0.31451712578357316,-0.023338827298289344,True
17,simulated_maneuver_state_segmentation,causal_tcn_raw,segmental_f1_iou_0.25,higher,chronaris,chronaris_no_missingness_curriculum,0.2911782984852838,0.28930203353577966,0.0018762649495041583,True
17,simulated_maneuver_state_segmentation,causal_tcn_raw,segmental_f1_iou_0.50,higher,chronaris,chronaris_no_corrected_physics,0.165913452356467,0.18113152989797723,-0.015218077541510222,True
17,simulated_maneuver_state_segmentation,causal_tcn_raw,segmental_f1_iou_0.50,higher,chronaris,chronaris_no_missingness_curriculum,0.165913452356467,0.16028030447293218,0.005633147883534834,True
29,simulated_future_workload_classification,linear,balanced_accuracy,higher,chronaris,chronaris_no_corrected_physics,0.4263820192336219,0.4052284257505054,0.021153593483116517,True
29,simulated_future_workload_classification,linear,balanced_accuracy,higher,chronaris,chronaris_no_missingness_curriculum,0.4263820192336219,0.4242797987632501,0.002102220470371785,True
29,simulated_future_workload_classification,linear,brier_score,lower,chronaris,chronaris_no_corrected_physics,0.6584499915638163,0.6622778483158612,0.003827856752044889,True
29,simulated_future_workload_classification,linear,brier_score,lower,chronaris,chronaris_no_missingness_curriculum,0.6584499915638163,0.6484173282294854,-0.010032663334330949,True
29,simulated_future_workload_classification,linear,ece_10_bins,lower,chronaris,chronaris_no_corrected_physics,0.1713328475254429,0.18893176929621344,0.017598921770770548,True
29,simulated_future_workload_classification,linear,ece_10_bins,lower,chronaris,chronaris_no_missingness_curriculum,0.1713328475254429,0.18980485248252776,0.01847200495708487,True
29,simulated_future_workload_classification,linear,macro_auprc,higher,chronaris,chronaris_no_corrected_physics,0.4367682320468533,0.4229066951709637,0.01386153687588959,True
29,simulated_future_workload_classification,linear,macro_auprc,higher,chronaris,chronaris_no_missingness_curriculum,0.4367682320468533,0.4400849612658703,-0.003316729219017045,True
29,simulated_future_workload_classification,linear,macro_f1,higher,chronaris,chronaris_no_corrected_physics,0.4265864507329128,0.4046981630154609,0.021888287717451882,True
29,simulated_future_workload_classification,linear,macro_f1,higher,chronaris,chronaris_no_missingness_curriculum,0.4265864507329128,0.4257298180062021,0.0008566327267107154,True
29,simulated_future_workload_classification,minirocket,balanced_accuracy,higher,chronaris,chronaris_no_corrected_physics,0.3973684098990849,0.39754430132956964,-0.00017589143048474254,True
29,simulated_future_workload_classification,minirocket,balanced_accuracy,higher,chronaris,chronaris_no_missingness_curriculum,0.3973684098990849,0.4194205330993765,-0.022052123200291596,True
29,simulated_future_workload_classification,minirocket,brier_score,lower,chronaris,chronaris_no_corrected_physics,1.2500484836864902,1.3719008206031693,0.12185233691667907,True
29,simulated_future_workload_classification,minirocket,brier_score,lower,chronaris,chronaris_no_missingness_curriculum,1.2500484836864902,1.1778619117292612,-0.072186571957229,True
29,simulated_future_workload_classification,minirocket,ece_10_bins,lower,chronaris,chronaris_no_corrected_physics,0.6174509451556509,0.6615706283434736,0.04411968318782267,True
29,simulated_future_workload_classification,minirocket,ece_10_bins,lower,chronaris,chronaris_no_missingness_curriculum,0.6174509451556509,0.5998443770945372,-0.017606568061113714,True
29,simulated_future_workload_classification,minirocket,macro_auprc,higher,chronaris,chronaris_no_corrected_physics,0.4822163591994421,0.4485145225435562,0.033701836655885886,True
29,simulated_future_workload_classification,minirocket,macro_auprc,higher,chronaris,chronaris_no_missingness_curriculum,0.4822163591994421,0.49701262385652484,-0.014796264657082725,True
29,simulated_future_workload_classification,minirocket,macro_f1,higher,chronaris,chronaris_no_corrected_physics,0.2418021697226337,0.24045820845820845,0.0013439612644252363,True
29,simulated_future_workload_classification,minirocket,macro_f1,higher,chronaris,chronaris_no_missingness_curriculum,0.2418021697226337,0.27424662268861993,-0.03244445296598625,True
29,simulated_future_workload_regression,linear,mae,lower,chronaris,chronaris_no_corrected_physics,0.1675192159600556,0.1705195722170174,0.0030003562569618225,True
29,simulated_future_workload_regression,linear,mae,lower,chronaris,chronaris_no_missingness_curriculum,0.1675192159600556,0.1674921236311396,-2.709232891598412e-05,True
29,simulated_future_workload_regression,linear,rmse,lower,chronaris,chronaris_no_corrected_physics,0.2054016097887502,0.21056066181151728,0.005159052022767091,True
29,simulated_future_workload_regression,linear,rmse,lower,chronaris,chronaris_no_missingness_curriculum,0.2054016097887502,0.20630858571790103,0.0009069759291508439,True
29,simulated_future_workload_regression,linear,spearman,higher,chronaris,chronaris_no_corrected_physics,0.454216649408259,0.39492614330690123,0.059290506101357776,True
29,simulated_future_workload_regression,linear,spearman,higher,chronaris,chronaris_no_missingness_curriculum,0.454216649408259,0.45753383199868825,-0.003317182590429235,True
29,simulated_future_workload_regression,minirocket,mae,lower,chronaris,chronaris_no_corrected_physics,0.2742858645506203,0.27209419741605717,-0.0021916671345631467,True
29,simulated_future_workload_regression,minirocket,mae,lower,chronaris,chronaris_no_missingness_curriculum,0.2742858645506203,0.255462908030798,-0.018822956519822298,True
29,simulated_future_workload_regression,minirocket,rmse,lower,chronaris,chronaris_no_corrected_physics,0.3233924165634645,0.3217358834549465,-0.001656533108517988,True
29,simulated_future_workload_regression,minirocket,rmse,lower,chronaris,chronaris_no_missingness_curriculum,0.3233924165634645,0.29882441073758637,-0.024568005825878148,True
29,simulated_future_workload_regression,minirocket,spearman,higher,chronaris,chronaris_no_corrected_physics,0.4258353675414109,0.48709685486504006,-0.06126148732362918,True
29,simulated_future_workload_regression,minirocket,spearman,higher,chronaris,chronaris_no_missingness_curriculum,0.4258353675414109,0.570715627253169,-0.14488025971175816,True
29,simulated_maneuver_state_segmentation,causal_tcn_duration,boundary_detection_delay_s,lower,chronaris,chronaris_no_corrected_physics,4.549731182795699,4.4186643835616435,-0.1310667992340555,True
29,simulated_maneuver_state_segmentation,causal_tcn_duration,boundary_detection_delay_s,lower,chronaris,chronaris_no_missingness_curriculum,4.549731182795699,4.985795454545454,0.43606427174975515,True
29,simulated_maneuver_state_segmentation,causal_tcn_duration,boundary_f1_1s,higher,chronaris,chronaris_no_corrected_physics,0.2142333505614755,0.20003542204949906,0.014197928511976432,True
29,simulated_maneuver_state_segmentation,causal_tcn_duration,boundary_f1_1s,higher,chronaris,chronaris_no_missingness_curriculum,0.2142333505614755,0.21016521519738432,0.004068135364091174,True
29,simulated_maneuver_state_segmentation,causal_tcn_duration,boundary_f1_2s,higher,chronaris,chronaris_no_corrected_physics,0.32519663496226,0.30978211343681544,0.015414521525444536,True
29,simulated_maneuver_state_segmentation,causal_tcn_duration,boundary_f1_2s,higher,chronaris,chronaris_no_missingness_curriculum,0.32519663496226,0.30996146929051344,0.015235165671746542,True
29,simulated_maneuver_state_segmentation,causal_tcn_duration,edit_score,higher,chronaris,chronaris_no_corrected_physics,0.6161021414927665,0.5851265560249935,0.030975585467773015,True
29,simulated_maneuver_state_segmentation,causal_tcn_duration,edit_score,higher,chronaris,chronaris_no_missingness_curriculum,0.6161021414927665,0.613388528427591,0.0027136130651755908,True
29,simulated_maneuver_state_segmentation,causal_tcn_duration,frame_macro_f1,higher,chronaris,chronaris_no_corrected_physics,0.4416756447714342,0.4468130682864552,-0.005137423515021,True
29,simulated_maneuver_state_segmentation,causal_tcn_duration,frame_macro_f1,higher,chronaris,chronaris_no_missingness_curriculum,0.4416756447714342,0.42808276289518776,0.01359288187624641,True
29,simulated_maneuver_state_segmentation,causal_tcn_duration,segmental_f1_iou_0.10,higher,chronaris,chronaris_no_corrected_physics,0.6155932643064996,0.6048064726954046,0.010786791611095081,True
29,simulated_maneuver_state_segmentation,causal_tcn_duration,segmental_f1_iou_0.10,higher,chronaris,chronaris_no_missingness_curriculum,0.6155932643064996,0.6041020808665448,0.01149118343995481,True
29,simulated_maneuver_state_segmentation,causal_tcn_duration,segmental_f1_iou_0.25,higher,chronaris,chronaris_no_corrected_physics,0.478383695892887,0.4983046711737695,-0.01992097528088249,True
29,simulated_maneuver_state_segmentation,causal_tcn_duration,segmental_f1_iou_0.25,higher,chronaris,chronaris_no_missingness_curriculum,0.478383695892887,0.4653127328969047,0.01307096299598226,True
