seed,variant,method_name,status,protocol_sha256,hyperparameter_selection_role
17,no_corrected_physics,chronaris_no_corrected_physics,completed,c1a678d94f32bb436c7775dbd8f50256a51f53ea6cf1cd78d0675763a18fdcd2,validation
17,no_missingness_curriculum,chronaris_no_missingness_curriculum,completed,0d9673e4ff6bacec5a2630934a96afad850aaff78367271fafeb5a2c70997ace,validation
29,no_corrected_physics,chronaris_no_corrected_physics,completed,2ee713e3a22a7db9a3a01b5d230c9368d5eabc2370c754a96c0070df57c5d9d1,validation
29,no_missingness_curriculum,chronaris_no_missingness_curriculum,completed,b8a3c633f41ea153924aa499b2b80a162bb9c61a79146bd18072154c731ae4d2,validation
43,no_corrected_physics,chronaris_no_corrected_physics,completed,ffec922245ceb669fee325ee49eb0fff2387809fb5316af187b626ba4647733d,validation
43,no_missingness_curriculum,chronaris_no_missingness_curriculum,completed,df11963a9f88d6291de5c82b9520d7ba5f26893fecbaea359af84edd7e906042,validation
