task_name,split_strategy,metric,chronaris_v2_task_heads,v2_no_contrastive_t3_loss,v2_no_residual_t2_head,v2_no_vehicle_aux_head
T1_maneuver_intensity_class,leave_one_sortie_out,balanced_accuracy,0.34188034188034183,0.34188034188034183,0.34188034188034183,0.3269230769230769
T1_maneuver_intensity_class,leave_one_sortie_out,macro_f1,0.21606549292067587,0.21606549292067587,0.21606549292067587,0.18904537885359893
T1_maneuver_intensity_class,leave_one_view_out,balanced_accuracy,0.3447293447293447,0.3447293447293447,0.3447293447293447,0.3304843304843305
T1_maneuver_intensity_class,leave_one_view_out,macro_f1,0.18748899717491407,0.18637032748481583,0.18637032748481583,0.16703044338302697
T2_next_window_physiology_response,leave_one_sortie_out,mae,317.4096145629883,317.4096145629883,317.9777374267578,317.4096145629883
T2_next_window_physiology_response,leave_one_sortie_out,nrmse,2.0503246188163757,2.0503246188163757,2.054646094640096,2.0503246188163757
T2_next_window_physiology_response,leave_one_sortie_out,rmse,415.36117280723573,415.36117280723573,415.8368045231445,415.36117280723573
T2_next_window_physiology_response,leave_one_view_out,mae,276.5041080050998,276.5041080050998,276.98780992296,276.5041080050998
T2_next_window_physiology_response,leave_one_view_out,nrmse,2.2594488859176636,2.2594488859176636,2.2634459733963013,2.2594488859176636
T2_next_window_physiology_response,leave_one_view_out,rmse,346.82748186696887,346.82748186696887,347.23828201502073,346.82748186696887
T3_paired_pilot_window_retrieval,leave_one_view_out,mrr,0.11793914556713048,0.11793914556713048,0.11793914556713048,0.11793914556713048
T3_paired_pilot_window_retrieval,leave_one_view_out,top1,0.031531531531531536,0.031531531531531536,0.031531531531531536,0.031531531531531536
T3_paired_pilot_window_retrieval,leave_one_view_out,top3,0.0855855855855856,0.0855855855855856,0.0855855855855856,0.0855855855855856
T3_paired_pilot_window_retrieval,leave_one_view_out,top5,0.13963963963963963,0.13963963963963963,0.13963963963963963,0.13963963963963963
