task_name,model_name,split_strategy,metric,value_mean,value_std,seed_count,completed_fold_count,sample_count,higher_is_better
T3_paired_pilot_window_retrieval,v2_no_vehicle_aux_head,leave_one_view_out,top3,0.0855855855855856,0.006370331362040969,3,6,222,True
T3_paired_pilot_window_retrieval,v2_no_vehicle_aux_head,leave_one_view_out,top5,0.13963963963963963,0.006370331362040969,3,6,222,True
T3_paired_pilot_window_retrieval,v2_no_vehicle_aux_head,leave_one_view_out,mrr,0.11793914556713048,0.003102664947011117,3,6,222,True
T3_paired_pilot_window_retrieval,v2_no_residual_t2_head,leave_one_view_out,top1,0.031531531531531536,0.006370331362040969,3,6,222,True
T3_paired_pilot_window_retrieval,v2_no_residual_t2_head,leave_one_view_out,top3,0.0855855855855856,0.006370331362040969,3,6,222,True
T3_paired_pilot_window_retrieval,v2_no_residual_t2_head,leave_one_view_out,top5,0.13963963963963963,0.006370331362040969,3,6,222,True
T3_paired_pilot_window_retrieval,v2_no_residual_t2_head,leave_one_view_out,mrr,0.11793914556713048,0.003102664947011117,3,6,222,True
T3_paired_pilot_window_retrieval,v2_no_contrastive_t3_loss,leave_one_view_out,top1,0.031531531531531536,0.006370331362040969,3,6,222,True
T3_paired_pilot_window_retrieval,v2_no_contrastive_t3_loss,leave_one_view_out,top3,0.0855855855855856,0.006370331362040969,3,6,222,True
T3_paired_pilot_window_retrieval,v2_no_contrastive_t3_loss,leave_one_view_out,top5,0.13963963963963963,0.006370331362040969,3,6,222,True
T3_paired_pilot_window_retrieval,v2_no_contrastive_t3_loss,leave_one_view_out,mrr,0.11793914556713048,0.003102664947011117,3,6,222,True
