task_name,model_name,split_strategy,seed,completed_fold_count,sample_count,macro_f1,balanced_accuracy,rmse,mae,nrmse,top1,top3,top5,mrr
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_view_out,17,3,108,,,346.8515707381437,276.5051625569661,2.2605157693227134,,,,
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_view_out,29,3,108,,,346.9564781029319,276.72474670410156,2.2587347825368247,,,,
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_sortie_out,42,2,108,,,414.99168185184374,316.93316650390625,2.0477744936943054,,,,
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_sortie_out,17,2,108,,,415.4767980044949,317.5362014770508,2.0517653822898865,,,,
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_sortie_out,29,2,108,,,415.6150385653684,317.7594757080078,2.0514339804649353,,,,
T3_paired_pilot_window_retrieval,chronaris_v2_task_heads,leave_one_view_out,42,2,74,,,,,,0.02702702702702703,0.0945945945945946,0.14864864864864866,0.11994791108940953
T3_paired_pilot_window_retrieval,chronaris_v2_task_heads,leave_one_view_out,17,2,74,,,,,,0.04054054054054054,0.08108108108108109,0.13513513513513514,0.12031314118436935
T3_paired_pilot_window_retrieval,chronaris_v2_task_heads,leave_one_view_out,29,2,74,,,,,,0.02702702702702703,0.08108108108108109,0.13513513513513514,0.1135563844276126
T3_paired_pilot_window_retrieval,v2_no_vehicle_aux_head,leave_one_view_out,42,2,74,,,,,,0.02702702702702703,0.0945945945945946,0.14864864864864866,0.11994791108940953
T3_paired_pilot_window_retrieval,v2_no_vehicle_aux_head,leave_one_view_out,17,2,74,,,,,,0.04054054054054054,0.08108108108108109,0.13513513513513514,0.12031314118436935
T3_paired_pilot_window_retrieval,v2_no_vehicle_aux_head,leave_one_view_out,29,2,74,,,,,,0.02702702702702703,0.08108108108108109,0.13513513513513514,0.1135563844276126
T3_paired_pilot_window_retrieval,v2_no_residual_t2_head,leave_one_view_out,42,2,74,,,,,,0.02702702702702703,0.0945945945945946,0.14864864864864866,0.11994791108940953
T3_paired_pilot_window_retrieval,v2_no_residual_t2_head,leave_one_view_out,17,2,74,,,,,,0.04054054054054054,0.08108108108108109,0.13513513513513514,0.12031314118436935
T3_paired_pilot_window_retrieval,v2_no_residual_t2_head,leave_one_view_out,29,2,74,,,,,,0.02702702702702703,0.08108108108108109,0.13513513513513514,0.1135563844276126
T3_paired_pilot_window_retrieval,v2_no_contrastive_t3_loss,leave_one_view_out,42,2,74,,,,,,0.02702702702702703,0.0945945945945946,0.14864864864864866,0.11994791108940953
T3_paired_pilot_window_retrieval,v2_no_contrastive_t3_loss,leave_one_view_out,17,2,74,,,,,,0.04054054054054054,0.08108108108108109,0.13513513513513514,0.12031314118436935
T3_paired_pilot_window_retrieval,v2_no_contrastive_t3_loss,leave_one_view_out,29,2,74,,,,,,0.02702702702702703,0.08108108108108109,0.13513513513513514,0.1135563844276126
