row_type,view_rank,view_id,sortie_id,pilot_id,sample_count,dominant_query,mean_event_token_count,mean_top_event_attribution,top_sample,top_sample_query,top_sample_event_attribution,query_count,query_names,source_path,evidence_layer,case_definition
view_attribution,1,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,20251005_四01_ACT-4_云_J20_22#01,10033,37,risk_proxy,1.0,7.8715556988845,20251005_四01_ACT-4_云_J20_22#01:0000,risk_proxy,8.255189895629883,3,risk_proxy;workload_proxy;event_replay_tag,docs/artifacts/assets/stage_i_support/20260607T-stage-i-support-semantic-r2/support_summary.json;docs/artifacts/assets/stage_i_semantic_event_support/20260607T-stage-i-semantic-support-r2/semantic_event_support_summary.json,semantic_support,"view-level event-token and query-to-event attribution support, not a performance claim"
view_attribution,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20251002_单01_ACT-8_翼云_J16_12#01,10035,37,risk_proxy,1.0270270109176636,7.476044445424466,20251002_单01_ACT-8_翼云_J16_12#01:0002,risk_proxy,7.737074375152588,3,risk_proxy;workload_proxy;event_replay_tag,docs/artifacts/assets/stage_i_support/20260607T-stage-i-support-semantic-r2/support_summary.json;docs/artifacts/assets/stage_i_semantic_event_support/20260607T-stage-i-semantic-support-r2/semantic_event_support_summary.json,semantic_support,"view-level event-token and query-to-event attribution support, not a performance claim"
view_attribution,3,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,20251002_单01_ACT-8_翼云_J16_12#01,10033,37,risk_proxy,1.0,6.904233478211068,20251002_单01_ACT-8_翼云_J16_12#01:0000,risk_proxy,8.179655075073242,3,risk_proxy;workload_proxy;event_replay_tag,docs/artifacts/assets/stage_i_support/20260607T-stage-i-support-semantic-r2/support_summary.json;docs/artifacts/assets/stage_i_semantic_event_support/20260607T-stage-i-semantic-support-r2/semantic_event_support_summary.json,semantic_support,"view-level event-token and query-to-event attribution support, not a performance claim"
