view_id,sortie_id,pilot_id,verdict,window_count,selected_window_count,case_partition_sample_count,mean_projection_cosine,projection_cosine_cv,mean_projection_l2_gap,projection_l2_gap_cv,mean_attention_entropy,mean_max_attention,mean_top_event_score,mean_top_contribution_score,exported_hidden_fused_vs_projection_baseline_cosine
20251005_四01_ACT-4_云_J20_22#01__pilot_10033,20251005_四01_ACT-4_云_J20_22#01,10033,PASS,37,37,8,0.8194446485338004,0.0875033760637727,0.10033348744359606,0.20697505615488312,0.9297644421458244,0.23280493542551994,1.0,2.1242539286613464,0.758324921131134
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,20251002_单01_ACT-8_翼云_J16_12#01,10035,PASS,37,37,8,0.733689788767247,0.10545215192299118,0.10819334211344751,0.16633755043989595,0.9345391318202019,0.22814021818339825,1.0,2.646299809217453,0.7717307806015015
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,20251002_单01_ACT-8_翼云_J16_12#01,10033,WARN,37,37,8,0.5636222323352342,0.29822718052566133,0.09719819762669298,0.5585019313514468,0.9277549982070923,0.23762932792305946,1.0,2.4288233816623688,0.7673187851905823
