seed,method,task,consumer,metric,direction,fold_count,available_fold_count,mean,std,minimum,maximum,worst_fold_value,statistical_unit,window_level_p_value_reported,representation_family
17,chronaris,physiology_response_regression,minirocket,spearman,higher,3,3,0.6352984797923619,0.5063273887023997,-0.08075639599555061,0.9937708565072303,-0.08075639599555061,view_fold,False,frozen_task_agnostic_v2
17,contiformer,high_physiology_response_classification,linear,balanced_accuracy,higher,3,3,0.7356060606060605,0.1489209736135304,0.525,0.8409090909090908,0.525,view_fold,False,frozen_task_agnostic_v2
17,contiformer,high_physiology_response_classification,linear,brier_score,lower,3,3,0.6115201217178098,0.3836160946032109,0.33691106044601554,1.154021344909924,1.154021344909924,view_fold,False,frozen_task_agnostic_v2
17,contiformer,high_physiology_response_classification,linear,ece_10_bins,lower,3,3,0.2514649117560644,0.24848240383004674,0.06649600856334276,0.6027062688805653,0.6027062688805653,view_fold,False,frozen_task_agnostic_v2
17,contiformer,high_physiology_response_classification,linear,high_response_recall,higher,3,3,0.6833333333333332,0.44783429475148007,0.05,1.0,0.05,view_fold,False,frozen_task_agnostic_v2
17,contiformer,high_physiology_response_classification,linear,macro_auprc,higher,3,3,0.7160740354068835,0.043298578971658785,0.6549440193868745,0.749719833492914,0.6549440193868745,view_fold,False,frozen_task_agnostic_v2
17,contiformer,high_physiology_response_classification,linear,macro_f1,higher,3,3,0.6034974295843861,0.211755942329223,0.304029304029304,0.7532314923619272,0.304029304029304,view_fold,False,frozen_task_agnostic_v2
17,contiformer,high_physiology_response_classification,minirocket,balanced_accuracy,higher,3,3,0.875,0.1767766952966369,0.625,1.0,0.625,view_fold,False,frozen_task_agnostic_v2
17,contiformer,high_physiology_response_classification,minirocket,brier_score,lower,3,3,0.3340011365047743,0.4720989038307052,0.0001694511684207439,1.0016498090296997,1.0016498090296997,view_fold,False,frozen_task_agnostic_v2
17,contiformer,high_physiology_response_classification,minirocket,ece_10_bins,lower,3,3,0.1723229777208011,0.2328456908735285,0.007480557954073319,0.5016164341642909,0.5016164341642909,view_fold,False,frozen_task_agnostic_v2
17,contiformer,high_physiology_response_classification,minirocket,high_response_recall,higher,3,3,0.75,0.3535533905932738,0.25,1.0,0.25,view_fold,False,frozen_task_agnostic_v2
