dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,sample_count,threshold_scope,smoke_only,representation_family
dingxin_existing_dual_stream,maneuver_intensity_classification,linear,mult,29,leave_one_sortie_out__fold02,held_out,macro_f1,0.21428571428571427,higher,available,,31,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,maneuver_intensity_classification,linear,mult,29,leave_one_sortie_out__fold02,held_out,balanced_accuracy,0.2777777777777778,higher,available,,31,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,maneuver_intensity_classification,linear,mult,29,leave_one_sortie_out__fold02,held_out,macro_auprc,0.4164691563874961,higher,available,,31,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,maneuver_intensity_classification,linear,mult,29,leave_one_sortie_out__fold02,held_out,brier_score,1.1276285635457413,lower,available,,31,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,maneuver_intensity_classification,linear,mult,29,leave_one_sortie_out__fold02,held_out,ece_10_bins,0.5032038761822126,lower,available,,31,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,physiology_response_regression,linear,mult,29,leave_one_sortie_out__fold02,held_out,mae,15.310103933944983,lower,available,,30,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,physiology_response_regression,linear,mult,29,leave_one_sortie_out__fold02,held_out,rmse,15.477873540408511,lower,available,,30,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,physiology_response_regression,linear,mult,29,leave_one_sortie_out__fold02,held_out,spearman,-0.16796440489432704,higher,available,,30,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,high_physiology_response_classification,linear,mult,29,leave_one_sortie_out__fold02,held_out,macro_f1,0.25,higher,available,,30,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,high_physiology_response_classification,linear,mult,29,leave_one_sortie_out__fold02,held_out,balanced_accuracy,0.5,higher,available,,30,inner_train_nested,False,frozen_task_agnostic_v2
