seed,fold_id,method,consumer,status,elapsed_s,smoke_only
29,leave_one_view_out__fold01,chronaris,linear,completed,0.027419636957347393,False
29,leave_one_view_out__fold01,chronaris,minirocket,completed,0.4521088697947562,False
29,leave_one_view_out__fold02,physiology_only,linear,completed,0.035516572184860706,False
29,leave_one_view_out__fold02,physiology_only,minirocket,completed,0.42371146520599723,False
29,leave_one_view_out__fold02,vehicle_only,linear,completed,0.03101808112114668,False
29,leave_one_view_out__fold02,vehicle_only,minirocket,completed,0.4014057833701372,False
29,leave_one_view_out__fold02,naive_time_sync,linear,completed,0.02222023718059063,False
29,leave_one_view_out__fold02,naive_time_sync,minirocket,completed,0.44168797228485346,False
29,leave_one_view_out__fold02,mult,linear,completed,0.02801170712336898,False
29,leave_one_view_out__fold02,mult,minirocket,completed,0.3725120900198817,False
29,leave_one_view_out__fold02,contiformer,linear,completed,0.02972194319590926,False
29,leave_one_view_out__fold02,contiformer,minirocket,completed,0.3918910198844969,False
29,leave_one_view_out__fold02,chronaris,linear,completed,0.02779253199696541,False
29,leave_one_view_out__fold02,chronaris,minirocket,completed,0.43182610999792814,False
29,leave_one_view_out__fold03,physiology_only,linear,completed,0.031222695019096136,False
29,leave_one_view_out__fold03,physiology_only,minirocket,completed,0.41304773930460215,False
29,leave_one_view_out__fold03,vehicle_only,linear,completed,0.023193493019789457,False
29,leave_one_view_out__fold03,vehicle_only,minirocket,completed,0.372257502283901,False
29,leave_one_view_out__fold03,naive_time_sync,linear,completed,0.024477012921124697,False
29,leave_one_view_out__fold03,naive_time_sync,minirocket,completed,0.4013924691826105,False
29,leave_one_view_out__fold03,mult,linear,completed,0.02432112628594041,False
29,leave_one_view_out__fold03,mult,minirocket,completed,0.3821567492559552,False
29,leave_one_view_out__fold03,contiformer,linear,completed,0.028457291889935732,False
29,leave_one_view_out__fold03,contiformer,minirocket,completed,0.4104022169485688,False
29,leave_one_view_out__fold03,chronaris,linear,completed,0.03235625009983778,False
29,leave_one_view_out__fold03,chronaris,minirocket,completed,0.47348749823868275,False
29,leave_one_sortie_out__fold01,physiology_only,linear,completed,0.025074131321161985,False
29,leave_one_sortie_out__fold01,physiology_only,minirocket,completed,0.2310724128037691,False
29,leave_one_sortie_out__fold01,vehicle_only,linear,completed,0.02359088324010372,False
29,leave_one_sortie_out__fold01,vehicle_only,minirocket,completed,0.20445837685838342,False
29,leave_one_sortie_out__fold01,naive_time_sync,linear,completed,0.021527536679059267,False
29,leave_one_sortie_out__fold01,naive_time_sync,minirocket,completed,0.2522224080748856,False
29,leave_one_sortie_out__fold01,mult,linear,completed,0.02497033914551139,False
29,leave_one_sortie_out__fold01,mult,minirocket,completed,0.22546624671667814,False
29,leave_one_sortie_out__fold01,contiformer,linear,completed,0.03196827182546258,False
29,leave_one_sortie_out__fold01,contiformer,minirocket,completed,0.22593385307118297,False
29,leave_one_sortie_out__fold01,chronaris,linear,completed,0.030455126892775297,False
