method_name,method_label,maneuver_macro_f1,maneuver_balanced_accuracy,maneuver_spearman,maneuver_normalized_mae,maneuver_skill_vs_current_maneuver,maneuver_rmse_ratio_vs_current,physiology_standardized_rmse_macro,physiology_standardized_mae_macro,physiology_skill_vs_persistence,physiology_rmse_ratio_vs_persistence,physiology_positive_skill_field_ratio,physiology_eeg_rmse_macro,physiology_spo2_rmse_macro
physiology_only,生理单流,0.1703431372549019,0.3166666666666666,-0.11672228401928066,42.429764026099015,-873.6035508806681,23.773906445153553,21.70861812054898,21.602078247552186,-5263.133857764899,70.17900968110793,0.0,18.25169864587125,39.42144061536957
vehicle_only,航电单流,0.8083707604885869,0.8111111111111112,0.6165368928439007,0.7155233971093627,0.6684512257565,0.5755407964398309,7.083758117045963,6.89062528762178,-1276.3749441210034,33.464571435181966,0.0,8.007629227901047,2.6502096649689837
naive_time_sync,朴素时间同步,0.1666666666666666,0.3333333333333333,0.5056729699666296,32.371972354345246,-469.43088639399775,18.08995181898557,16.049266070257854,15.990822655325251,-2359.6886947217404,48.42942500418295,0.0,16.028636103265516,15.891482435549195
mult,MulT,0.19719556230712412,0.3333333333333333,0.19985168705969591,18.461891874211677,-223.14010903901783,10.579596279308491,12.47664796422084,12.379095561735374,-2191.1200995117974,43.68721963863441,0.0,12.816753885049266,11.055723322966768
contiformer,ContiFormer,0.3843173619640649,0.4777777777777778,0.5088616981831665,2.223990118177527,-1.4614415219132006,1.4081260482426952,7.227150715957188,7.083390326926036,-1283.5043247460576,33.54956042900147,0.0,8.101786895088885,3.0212635748437955
chronaris,Chronaris,0.19475568004979762,0.3444444444444444,0.06852057842046715,19.418350358269855,-123.5859137369901,10.90873226779228,8.890097372764638,8.736999450774736,-1268.8988846079658,34.48383222457989,0.0,9.139451202516994,7.715624609724606
