method,timestamp_jitter_ms,absolute_clock_offset_s,absolute_clock_drift_ppm,random_missing_rate,contiguous_gap_s,additional_physiology_lag_s,snr_degradation_db
physiology_only,0.0097228012048602,-0.0052972896036388,0.0073427086666728,-0.0232636426419898,-0.0397867178255442,-0.1482917310312398,-0.4232328962644445
vehicle_only,0.0008431706661486,1.6381015514585493e-17,3.986324082361197e-17,0.0089652482379774,-0.0368809167329936,-6.374750121931148e-17,-0.0112091201965079
naive_time_sync,-0.0172328346418456,0.0038777705205412,0.0033837518760045,-0.0516941098923821,-0.1039250656093879,-0.0559535579038638,-0.1514180754939734
mult,0.0301985123889452,-0.0047853744553328,-0.0037165091004788,0.0238209610389841,-0.125801991349272,-0.0216823995084635,-0.0777528421825651
contiformer,0.0037346145953216,0.0041454936660794,0.0019007170506243,7.20515613876999e-05,-0.0166411525594093,-0.0256316137872171,-0.043225698797326
chronaris,0.0021601345938139,0.0038999301628862,-0.0007751713608538,-0.0733229711104711,-0.1264275852736406,-0.0360879602504295,-0.0383168462030576
