fold_id,method_name,task_name,metric_name,mean,std,seed_count
leave_one_sortie_out__fold01,mult,future_maneuver,spearman,0.3115313311086392,0.1130883009046319,3
leave_one_sortie_out__fold01,naive_time_sync,future_maneuver,spearman,0.3744160177975528,0.0,3
leave_one_sortie_out__fold01,physiology_only,future_maneuver,spearman,-0.1885799035965888,0.012365243958231983,3
leave_one_sortie_out__fold01,vehicle_only,future_maneuver,spearman,0.6063774564330738,0.04277047945045691,3
leave_one_sortie_out__fold02,chronaris,future_maneuver,spearman,0.034482758620689634,0.1614870496772971,3
leave_one_sortie_out__fold02,contiformer,future_maneuver,spearman,0.5136818687430479,0.08380455468699971,3
leave_one_sortie_out__fold02,mult,future_maneuver,spearman,0.08817204301075264,0.0926940452226134,3
leave_one_sortie_out__fold02,naive_time_sync,future_maneuver,spearman,0.6369299221357063,0.0,3
leave_one_sortie_out__fold02,physiology_only,future_maneuver,spearman,-0.044864664441972534,0.017188311647219897,3
leave_one_sortie_out__fold02,vehicle_only,future_maneuver,spearman,0.6266963292547274,0.056762406327800136,3
leave_one_sortie_out__fold01,chronaris,future_physiology,positive_skill_field_ratio,0.0,0.0,3
leave_one_sortie_out__fold01,contiformer,future_physiology,positive_skill_field_ratio,0.0,0.0,3
leave_one_sortie_out__fold01,mult,future_physiology,positive_skill_field_ratio,0.0,0.0,3
leave_one_sortie_out__fold01,naive_time_sync,future_physiology,positive_skill_field_ratio,0.0,0.0,3
leave_one_sortie_out__fold01,physiology_only,future_physiology,positive_skill_field_ratio,0.0,0.0,3
leave_one_sortie_out__fold01,vehicle_only,future_physiology,positive_skill_field_ratio,0.0,0.0,3
leave_one_sortie_out__fold02,chronaris,future_physiology,positive_skill_field_ratio,0.0,0.0,3
leave_one_sortie_out__fold02,contiformer,future_physiology,positive_skill_field_ratio,0.0,0.0,3
leave_one_sortie_out__fold02,mult,future_physiology,positive_skill_field_ratio,0.0,0.0,3
leave_one_sortie_out__fold02,naive_time_sync,future_physiology,positive_skill_field_ratio,0.0,0.0,3
