fold_run_id,fold_id,method_name,initial_status,initial_component_count,resume_component_count,resume_all_components,prediction_hash_match,prediction_sha256,protocol_sha256,consumer_config_sha256,representation_checkpoint_sha256,label_used_for_encoder_training,threshold_scope
2026-07-11_dingxin-fold-pretraining-view02,leave_one_view_out__fold02,contiformer,completed,2,2,True,True,ab007750d5ad8bf189ffa31294addac69d4502e947df74eb9cdb3ff2bbade3d8,9c72ab9f1d8f5f33962c5e4ca6262c23641904a152cced89b71161c2fa5f47e1,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""c05e65086a32fbb50fac9d0f54b67f1f9480f1846ffe46ee966fab4d65d6b97c"", ""train"": ""c05e65086a32fbb50fac9d0f54b67f1f9480f1846ffe46ee966fab4d65d6b97c"", ""validation"": ""c05e65086a32fbb50fac9d0f54b67f1f9480f1846ffe46ee966fab4d65d6b97c""}",False,outer_train_smoke_only
2026-07-11_dingxin-fold-pretraining-view02,leave_one_view_out__fold02,chronaris,completed,2,2,True,True,2d6af2137af6e0a73c94bbe5f33735a59e18f8bee7c1b1e5b56fe30170ee8898,3ddbf73b4a0c319037ca3cb0842aa71bda93fdfe1483c42bdb0b9394da0ebc13,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""bb5f97a6efa042adc2172bcb771963bb0d3a9b630a908e423db1cd4f6ee7f3f2"", ""train"": ""bb5f97a6efa042adc2172bcb771963bb0d3a9b630a908e423db1cd4f6ee7f3f2"", ""validation"": ""bb5f97a6efa042adc2172bcb771963bb0d3a9b630a908e423db1cd4f6ee7f3f2""}",False,outer_train_smoke_only
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,physiology_only,completed,2,2,True,True,9867b06213b586e9dec0e392bce7f5819df7c5dfff789516ce15ecb10d20ef06,ec5ed379e38971a153305bc435b89fff44a5333640e42821178cf671fbd5ef4d,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""a1ee4da4341323a484035eaaaf2c8bde0f663a1bcd45d1cf71ea5217357dfaf8"", ""train"": ""a1ee4da4341323a484035eaaaf2c8bde0f663a1bcd45d1cf71ea5217357dfaf8"", ""validation"": ""a1ee4da4341323a484035eaaaf2c8bde0f663a1bcd45d1cf71ea5217357dfaf8""}",False,outer_train_smoke_only
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,vehicle_only,completed,2,2,True,True,a58ac8dfce8b932f2d9196957a38639f0c742bec2ea5cdbd4e8de4732eed307a,00d018a4cc4ca6b7bb87af126e5aab92fed225925518e9ff4851b96e48208ff7,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""b4a584933edea5c7e739e403751474ec6ea85bef5dd7ceee86e072cdf149e4c5"", ""train"": ""b4a584933edea5c7e739e403751474ec6ea85bef5dd7ceee86e072cdf149e4c5"", ""validation"": ""b4a584933edea5c7e739e403751474ec6ea85bef5dd7ceee86e072cdf149e4c5""}",False,outer_train_smoke_only
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,naive_time_sync,completed,2,2,True,True,e8f7488e4039392c8ad5c663cd574abb921c61330394ba07a24046b8df39f1ba,78cc4ea226c5144699d495f3f1432aab1261490e7ed013dca0d9cd7edbc14523,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""ec8c079e8810f07e082fea69796c2888b10a21f64400b135e6ff998d9ec271b9"", ""train"": ""ec8c079e8810f07e082fea69796c2888b10a21f64400b135e6ff998d9ec271b9"", ""validation"": ""ec8c079e8810f07e082fea69796c2888b10a21f64400b135e6ff998d9ec271b9""}",False,outer_train_smoke_only
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,mult,completed,2,2,True,True,d3dc88f541d5c726d858186e2ea9e548b1d6364bd58febc00b1bb356e57f453e,80816abc2cac96401a8161c37cdeca8bd5a14cbc42750b05dc16ce66dbed39e6,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""cbc7c93f431d6513ce0810d411238409f119d18465c323d0cdf0e8b4c78311ac"", ""train"": ""cbc7c93f431d6513ce0810d411238409f119d18465c323d0cdf0e8b4c78311ac"", ""validation"": ""cbc7c93f431d6513ce0810d411238409f119d18465c323d0cdf0e8b4c78311ac""}",False,outer_train_smoke_only
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,contiformer,completed,2,2,True,True,1890f761aa5e55648d3e8e3deea4cea6be1682e67ef9b662d0bf58bfb3166451,0f0dc89fb8a8bc9086845c6af96ae163e0599ea312a45826d9f3d5ca31b27205,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""b3fa4ebb6877ef7fef68af19e45fdd47c828047260ca5137094bd9327f61ab40"", ""train"": ""b3fa4ebb6877ef7fef68af19e45fdd47c828047260ca5137094bd9327f61ab40"", ""validation"": ""b3fa4ebb6877ef7fef68af19e45fdd47c828047260ca5137094bd9327f61ab40""}",False,outer_train_smoke_only
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,chronaris,completed,2,2,True,True,3155d541e89f729729d7114057c15ecff1f4db8beb9bf3c92a14327752621842,0483670db8d4f8792d3510c59f1d3b28b11e770ae2514cd41a654adbb26c3ba2,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""23914fafff12353badaa1a1f33be93971996c7c8a11b94840e5f64e0bb53f926"", ""train"": ""23914fafff12353badaa1a1f33be93971996c7c8a11b94840e5f64e0bb53f926"", ""validation"": ""23914fafff12353badaa1a1f33be93971996c7c8a11b94840e5f64e0bb53f926""}",False,outer_train_smoke_only
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,physiology_only,completed,2,2,True,True,ce8586939d1eb18651b7d8ad3c461aabf45c045b66f22e206d281656c3fee4cc,0f2ca93364a0ee5b12b181fa6366a1a02689be16e0a0ded01c991d156c752596,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""78d91eb29db0ada41afe2c1d24aa9b3b7bce92c6faa67a2b385b0ce7edc748b9"", ""train"": ""78d91eb29db0ada41afe2c1d24aa9b3b7bce92c6faa67a2b385b0ce7edc748b9"", ""validation"": ""78d91eb29db0ada41afe2c1d24aa9b3b7bce92c6faa67a2b385b0ce7edc748b9""}",False,outer_train_smoke_only
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,vehicle_only,completed,2,2,True,True,8a165c9b9bc687ce342f10d9f34ce505d6e58cd3bbf626c6f7962b1a2a075c4b,f546a5704cafac7a55d24c1657b06a559e17049e7ac7ebdb46ba4f5387f9b377,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""9d25cf65c3e0026766a1a141e84e8542641d47eb2f32f0ac10040a458f5b5389"", ""train"": ""9d25cf65c3e0026766a1a141e84e8542641d47eb2f32f0ac10040a458f5b5389"", ""validation"": ""9d25cf65c3e0026766a1a141e84e8542641d47eb2f32f0ac10040a458f5b5389""}",False,outer_train_smoke_only
