split_id,generator_family,scenario_id,trajectory_count,mean_vehicle_missing_ratio,mean_physiology_missing_ratio,workload_low_ratio,workload_medium_ratio,workload_high_ratio
train,g1_state_space,clean_asynchronous,96,0.0,0.0,0.20445891203703703,0.4128559027777778,0.3826851851851852
train,g1_state_space,sampling_jitter,96,0.0,0.0,0.20445891203703703,0.4128559027777778,0.3826851851851852
train,g1_state_space,clock_offset_and_drift,96,0.0,0.0,0.20445891203703703,0.4128559027777778,0.3826851851851852
train,g1_state_space,random_missing,96,0.09929976851851852,0.3003472222222222,0.20445891203703703,0.4128559027777778,0.3826851851851852
train,g1_state_space,block_missing_and_long_lag,96,0.02777777777777779,0.08333333333333337,0.20445891203703703,0.4128559027777778,0.3826851851851852
train,g1_state_space,mixed_severe,96,0.3573263888888889,0.3597222222222222,0.20445891203703703,0.4128559027777778,0.3826851851851852
validation,g1_state_space,clean_asynchronous,24,0.0,0.0,0.21101851851851852,0.4501851851851852,0.33879629629629626
validation,g1_state_space,sampling_jitter,24,0.0,0.0,0.21101851851851852,0.4501851851851852,0.33879629629629626
validation,g1_state_space,clock_offset_and_drift,24,0.0,0.0,0.21101851851851852,0.4501851851851852,0.33879629629629626
validation,g1_state_space,random_missing,24,0.09944444444444445,0.3033564814814815,0.21101851851851852,0.4501851851851852,0.33879629629629626
validation,g1_state_space,block_missing_and_long_lag,24,0.02777777777777779,0.08333333333333337,0.21101851851851852,0.4501851851851852,0.33879629629629626
validation,g1_state_space,mixed_severe,24,0.35909722222222223,0.3645833333333333,0.21101851851851852,0.4501851851851852,0.33879629629629626
locked_test,g2_event_spline,clean_asynchronous,48,0.0,0.0,0.30167824074074073,0.4556770833333333,0.2426446759259259
locked_test,g2_event_spline,sampling_jitter,48,0.0,0.0,0.30167824074074073,0.4556770833333333,0.2426446759259259
locked_test,g2_event_spline,clock_offset_and_drift,48,0.0,0.0,0.30167824074074073,0.4556770833333333,0.2426446759259259
locked_test,g2_event_spline,random_missing,48,0.09988425925925926,0.2975115740740741,0.30167824074074073,0.4556770833333333,0.2426446759259259
locked_test,g2_event_spline,block_missing_and_long_lag,48,0.02777777777777779,0.08333333333333337,0.30167824074074073,0.4556770833333333,0.2426446759259259
locked_test,g2_event_spline,mixed_severe,48,0.3571875,0.3568865740740741,0.30167824074074073,0.4556770833333333,0.2426446759259259
