stage,dataset_id,candidate_id,seed,track,evaluation_group,split_group,sample_count,macro_f1,balanced_accuracy
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,loft_only,subject_21,91,0.6969696969696969,0.7326839826839827
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,loft_only,subject_22,91,0.6930172552814063,0.704004329004329
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,loft_only,subject_23,69,0.7827586206896552,0.75
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,loft_only,subject_24,69,0.7827586206896552,0.75
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,loft_only,subject_25,52,0.8061771561771561,0.7916666666666666
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,loft_only,subject_26,51,0.43414634146341463,0.4444444444444444
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,loft_only,subject_5,99,0.6516853932584269,0.6666666666666666
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,loft_only,subject_6,99,0.6516853932584269,0.6666666666666666
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,loft_only,subject_9,100,0.6431383847114184,0.5794573643410853
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,combined,subject_10,187,0.5081232492997199,0.5481835338523237
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,combined,subject_11,165,0.5406643757159221,0.6642857142857143
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,combined,subject_12,166,0.4826781719399169,0.46970899470899474
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,combined,subject_13,164,0.5324074074074074,0.5253086419753087
