task_name,split_strategy,metric,p30_chronaris_v1,p34_chronaris_v2,delta_abs_positive_is_better
T1_maneuver_intensity_class,leave_one_sortie_out,balanced_accuracy,0.3333333333333333,0.3418803418803418,0.008547008547008461
T1_maneuver_intensity_class,leave_one_sortie_out,macro_f1,0.1733333333333333,0.2160654929206758,0.0427321595873425
T1_maneuver_intensity_class,leave_one_view_out,balanced_accuracy,0.3333333333333333,0.3447293447293447,0.011396011396011374
T1_maneuver_intensity_class,leave_one_view_out,macro_f1,0.1733333333333333,0.187488997174914,0.014155663841580679
T2_next_window_physiology_response,leave_one_sortie_out,mae,992.5238629050956,317.4096145629883,675.1142483421073
T2_next_window_physiology_response,leave_one_sortie_out,nrmse,11.316336677838498,2.050324618816376,9.266012059022122
T2_next_window_physiology_response,leave_one_sortie_out,rmse,1111.978941346788,415.3611728072357,696.6177685395522
T2_next_window_physiology_response,leave_one_view_out,mae,762.5578999733825,276.5041080050998,486.0537919682827
T2_next_window_physiology_response,leave_one_view_out,nrmse,8.780987018657159,2.259448885917664,6.5215381327394955
T2_next_window_physiology_response,leave_one_view_out,rmse,838.121039184215,346.82748186696887,491.2935573172461
T3_paired_pilot_window_retrieval,leave_one_view_out,mrr,0.1199479110894095,0.1179391455671304,-0.0020087655222791045
T3_paired_pilot_window_retrieval,leave_one_view_out,top1,0.027027027027027,0.0315315315315315,0.0045045045045045
T3_paired_pilot_window_retrieval,leave_one_view_out,top3,0.0945945945945945,0.0855855855855856,-0.009009009009008903
T3_paired_pilot_window_retrieval,leave_one_view_out,top5,0.1486486486486486,0.1396396396396396,-0.009009009009009
