task_name,model_name,split_strategy,seed,fold_index,test_group,sample_count,status,macro_f1,balanced_accuracy,rmse,mae,nrmse,top1,top3,top5,mrr,fold_skipped_reason
T2_next_window_physiology_response,v2_no_vehicle_aux_head,leave_one_view_out,42,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,36,completed,,,209.26734172464657,194.07205200195312,2.6736505031585693,,,,,
T2_next_window_physiology_response,v2_no_vehicle_aux_head,leave_one_view_out,42,3,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,36,completed,,,620.4757247467462,439.6083679199219,1.4170478582382202,,,,,
T2_next_window_physiology_response,v2_no_vehicle_aux_head,leave_one_view_out,17,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,36,completed,,,209.8649398273804,194.73220825195312,2.6812856197357178,,,,,
T2_next_window_physiology_response,v2_no_vehicle_aux_head,leave_one_view_out,17,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,36,completed,,,209.9727474876204,194.8287811279297,2.6826627254486084,,,,,
T2_next_window_physiology_response,v2_no_vehicle_aux_head,leave_one_view_out,17,3,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,36,completed,,,620.7170248994303,439.9544982910156,1.4175989627838135,,,,,
T2_next_window_physiology_response,v2_no_vehicle_aux_head,leave_one_view_out,29,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,36,completed,,,209.1982089430978,194.0188751220703,2.672767162322998,,,,,
T2_next_window_physiology_response,v2_no_vehicle_aux_head,leave_one_view_out,29,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,36,completed,,,210.0617468745797,194.91793823242188,2.683799982070923,,,,,
T2_next_window_physiology_response,v2_no_vehicle_aux_head,leave_one_view_out,29,3,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,36,completed,,,621.6094784911182,441.2374267578125,1.4196372032165527,,,,,
T2_next_window_physiology_response,v2_no_vehicle_aux_head,leave_one_sortie_out,42,1,20251002_单01_ACT-8_翼云_J16_12#01,72,completed,,,209.6773656269317,194.51165771484375,2.6788887977600098,,,,,
T2_next_window_physiology_response,v2_no_vehicle_aux_head,leave_one_sortie_out,42,2,20251005_四01_ACT-4_云_J20_22#01,36,completed,,,620.3059980767557,439.35467529296875,1.416660189628601,,,,,
T2_next_window_physiology_response,v2_no_vehicle_aux_head,leave_one_sortie_out,17,1,20251002_单01_ACT-8_翼云_J16_12#01,72,completed,,,210.22690494439573,195.1150665283203,2.6859097480773926,,,,,
T2_next_window_physiology_response,v2_no_vehicle_aux_head,leave_one_sortie_out,17,2,20251005_四01_ACT-4_云_J20_22#01,36,completed,,,620.7266910645941,439.95733642578125,1.4176210165023804,,,,,
T2_next_window_physiology_response,v2_no_vehicle_aux_head,leave_one_sortie_out,29,1,20251002_单01_ACT-8_翼云_J16_12#01,72,completed,,,210.10355519659822,194.98220825195312,2.6843338012695312,,,,,
T2_next_window_physiology_response,v2_no_vehicle_aux_head,leave_one_sortie_out,29,2,20251005_四01_ACT-4_云_J20_22#01,36,completed,,,621.1265219341386,440.5367431640625,1.4185341596603394,,,,,
T2_next_window_physiology_response,v2_no_residual_t2_head,leave_one_view_out,42,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,36,completed,,,210.07159307900247,194.9446563720703,2.6839256286621094,,,,,
T2_next_window_physiology_response,v2_no_residual_t2_head,leave_one_view_out,42,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,36,completed,,,210.67015465532845,195.593505859375,2.691572904586792,,,,,
T2_next_window_physiology_response,v2_no_residual_t2_head,leave_one_view_out,42,3,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,36,completed,,,621.2061101196607,440.6466064453125,1.4187159538269043,,,,,
T2_next_window_physiology_response,v2_no_residual_t2_head,leave_one_view_out,17,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,36,completed,,,210.15371048651508,195.03515625,2.6849749088287354,,,,,
T2_next_window_physiology_response,v2_no_residual_t2_head,leave_one_view_out,17,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,36,completed,,,209.7305469972126,194.5686798095703,2.679568290710449,,,,,
T2_next_window_physiology_response,v2_no_residual_t2_head,leave_one_view_out,17,3,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,36,completed,,,621.330527980076,440.8275451660156,1.4190000295639038,,,,,
T2_next_window_physiology_response,v2_no_residual_t2_head,leave_one_view_out,29,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,36,completed,,,210.40065945714144,195.3056640625,2.6881299018859863,,,,,
T2_next_window_physiology_response,v2_no_residual_t2_head,leave_one_view_out,29,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,36,completed,,,210.24230812327,195.12286376953125,2.6861069202423096,,,,,
T2_next_window_physiology_response,v2_no_residual_t2_head,leave_one_view_out,29,3,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,36,completed,,,621.3389272369791,440.8456115722656,1.4190192222595215,,,,,
T2_next_window_physiology_response,v2_no_residual_t2_head,leave_one_sortie_out,42,1,20251002_单01_ACT-8_翼云_J16_12#01,72,completed,,,210.62053036800566,195.53533935546875,2.690938711166382,,,,,
T2_next_window_physiology_response,v2_no_residual_t2_head,leave_one_sortie_out,42,2,20251005_四01_ACT-4_云_J20_22#01,36,completed,,,621.2507796775792,440.692626953125,1.4188179969787598,,,,,
T2_next_window_physiology_response,v2_no_residual_t2_head,leave_one_sortie_out,17,1,20251002_单01_ACT-8_翼云_J16_12#01,72,completed,,,210.37362596105055,195.2724609375,2.687784194946289,,,,,
T2_next_window_physiology_response,v2_no_residual_t2_head,leave_one_sortie_out,17,2,20251005_四01_ACT-4_云_J20_22#01,36,completed,,,620.6881261954348,439.8939514160156,1.4175329208374023,,,,,
T2_next_window_physiology_response,v2_no_residual_t2_head,leave_one_sortie_out,29,1,20251002_单01_ACT-8_翼云_J16_12#01,72,completed,,,210.86374636539588,195.79998779296875,2.6940460205078125,,,,,
T2_next_window_physiology_response,v2_no_residual_t2_head,leave_one_sortie_out,29,2,20251005_四01_ACT-4_云_J20_22#01,36,completed,,,621.2240185714007,440.67205810546875,1.4187567234039307,,,,,
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_view_out,42,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,36,completed,,,210.2801238081003,195.1668243408203,2.6865899562835693,,,,,
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_view_out,42,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,36,completed,,,209.26734172464657,194.07205200195312,2.6736505031585693,,,,,
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_view_out,42,3,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,36,completed,,,620.4757247467462,439.6083679199219,1.4170478582382202,,,,,
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_view_out,17,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,36,completed,,,209.8649398273804,194.73220825195312,2.6812856197357178,,,,,
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_view_out,17,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,36,completed,,,209.9727474876204,194.8287811279297,2.6826627254486084,,,,,
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_view_out,17,3,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,36,completed,,,620.7170248994303,439.9544982910156,1.4175989627838135,,,,,
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_view_out,29,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,36,completed,,,209.1982089430978,194.0188751220703,2.672767162322998,,,,,
